river_type,kind,entry_hsm,entry_square_point,center_point,exit_square_point,exit_hsm,exit_square_point_2,exit_hsm_2,lake_point,lake_width,lake_height
river_single_094,single,HSM2,S3,C0,S1,HSM5,"","","","",""
river_single_095,single,HSM2,S3,C0,S1,HSM6,"","","","",""
river_single_101,single,HSM2,S3,C0,S4,HSM1,"","","","",""
river_single_104,single,HSM2,S3,C0,S4,HSM5,"","","","",""
river_single_105,single,HSM2,S3,C0,S4,HSM6,"","","","",""
river_single_112,single,HSM2,S4,C0,S2,HSM3,"","","","",""
river_single_113,single,HSM2,S4,C0,S2,HSM4,"","","","",""
river_single_114,single,HSM2,S4,C0,S2,HSM5,"","","","",""
river_single_115,single,HSM2,S4,C0,S2,HSM6,"","","","",""
river_single_117,single,HSM2,S4,C0,S3,HSM3,"","","","",""
river_single_118,single,HSM2,S4,C0,S3,HSM4,"","","","",""
river_single_119,single,HSM2,S4,C0,S3,HSM5,"","","","",""
river_single_120,single,HSM2,S4,C0,S3,HSM6,"","","","",""
river_single_123,single,HSM3,S1,C0,S2,HSM4,"","","","",""
river_single_124,single,HSM3,S1,C0,S2,HSM5,"","","","",""
river_single_125,single,HSM3,S1,C0,S2,HSM6,"","","","",""
river_single_126,single,HSM3,S1,C0,S3,HSM1,"","","","",""
river_single_128,single,HSM3,S1,C0,S3,HSM4,"","","","",""
river_single_129,single,HSM3,S1,C0,S3,HSM5,"","","","",""
river_single_130,single,HSM3,S1,C0,S3,HSM6,"","","","",""
river_single_131,single,HSM3,S1,C0,S4,HSM1,"","","","",""
river_single_133,single,HSM3,S1,C0,S4,HSM4,"","","","",""
river_single_134,single,HSM3,S1,C0,S4,HSM5,"","","","",""
river_single_135,single,HSM3,S1,C0,S4,HSM6,"","","","",""
river_single_136,single,HSM3,S2,C0,S1,HSM1,"","","","",""
river_single_137,single,HSM3,S2,C0,S1,HSM2,"","","","",""
river_single_139,single,HSM3,S2,C0,S1,HSM5,"","","","",""
river_single_140,single,HSM3,S2,C0,S1,HSM6,"","","","",""
river_single_141,single,HSM3,S2,C0,S3,HSM1,"","","","",""
river_single_143,single,HSM3,S2,C0,S3,HSM4,"","","","",""
river_single_144,single,HSM3,S2,C0,S3,HSM5,"","","","",""
river_single_145,single,HSM3,S2,C0,S3,HSM6,"","","","",""
river_single_146,single,HSM3,S2,C0,S4,HSM1,"","","","",""
river_single_147,single,HSM3,S2,C0,S4,HSM2,"","","","",""
river_single_148,single,HSM3,S2,C0,S4,HSM4,"","","","",""
river_single_149,single,HSM3,S2,C0,S4,HSM5,"","","","",""
river_single_150,single,HSM3,S2,C0,S4,HSM6,"","","","",""
river_single_151,single,HSM3,S3,C0,S1,HSM1,"","","","",""
river_single_152,single,HSM3,S3,C0,S1,HSM2,"","","","",""
river_single_154,single,HSM3,S3,C0,S1,HSM5,"","","","",""
river_single_155,single,HSM3,S3,C0,S1,HSM6,"","","","",""
river_single_161,single,HSM3,S3,C0,S4,HSM1,"","","","",""
river_single_162,single,HSM3,S3,C0,S4,HSM2,"","","","",""
river_single_164,single,HSM3,S3,C0,S4,HSM5,"","","","",""
river_single_165,single,HSM3,S3,C0,S4,HSM6,"","","","",""
river_single_173,single,HSM3,S4,C0,S2,HSM4,"","","","",""
river_single_174,single,HSM3,S4,C0,S2,HSM5,"","","","",""
river_single_175,single,HSM3,S4,C0,S2,HSM6,"","","","",""
river_single_178,single,HSM3,S4,C0,S3,HSM4,"","","","",""
river_single_179,single,HSM3,S4,C0,S3,HSM5,"","","","",""
river_single_180,single,HSM3,S4,C0,S3,HSM6,"","","","",""
river_single_186,single,HSM4,S1,C0,S3,HSM1,"","","","",""
river_single_189,single,HSM4,S1,C0,S3,HSM5,"","","","",""
river_single_190,single,HSM4,S1,C0,S3,HSM6,"","","","",""
river_single_191,single,HSM4,S1,C0,S4,HSM1,"","","","",""
river_single_194,single,HSM4,S1,C0,S4,HSM5,"","","","",""
river_single_195,single,HSM4,S1,C0,S4,HSM6,"","","","",""
river_single_196,single,HSM4,S2,C0,S1,HSM1,"","","","",""
river_single_197,single,HSM4,S2,C0,S1,HSM2,"","","","",""
river_single_198,single,HSM4,S2,C0,S1,HSM3,"","","","",""
river_single_199,single,HSM4,S2,C0,S1,HSM5,"","","","",""
river_single_200,single,HSM4,S2,C0,S1,HSM6,"","","","",""
river_single_201,single,HSM4,S2,C0,S3,HSM1,"","","","",""
river_single_204,single,HSM4,S2,C0,S3,HSM5,"","","","",""
river_single_205,single,HSM4,S2,C0,S3,HSM6,"","","","",""
river_single_206,single,HSM4,S2,C0,S4,HSM1,"","","","",""
river_single_207,single,HSM4,S2,C0,S4,HSM2,"","","","",""
river_single_208,single,HSM4,S2,C0,S4,HSM3,"","","","",""
river_single_209,single,HSM4,S2,C0,S4,HSM5,"","","","",""
river_single_210,single,HSM4,S2,C0,S4,HSM6,"","","","",""
river_single_211,single,HSM4,S3,C0,S1,HSM1,"","","","",""
river_single_212,single,HSM4,S3,C0,S1,HSM2,"","","","",""
river_single_213,single,HSM4,S3,C0,S1,HSM3,"","","","",""
river_single_214,single,HSM4,S3,C0,S1,HSM5,"","","","",""
river_single_215,single,HSM4,S3,C0,S1,HSM6,"","","","",""
river_single_216,single,HSM4,S3,C0,S2,HSM1,"","","","",""
river_single_217,single,HSM4,S3,C0,S2,HSM2,"","","","",""
river_single_218,single,HSM4,S3,C0,S2,HSM3,"","","","",""
river_single_221,single,HSM4,S3,C0,S4,HSM1,"","","","",""
river_single_222,single,HSM4,S3,C0,S4,HSM2,"","","","",""
river_single_223,single,HSM4,S3,C0,S4,HSM3,"","","","",""
river_single_224,single,HSM4,S3,C0,S4,HSM5,"","","","",""
river_single_225,single,HSM4,S3,C0,S4,HSM6,"","","","",""
river_single_226,single,HSM4,S4,C0,S1,HSM1,"","","","",""
river_single_227,single,HSM4,S4,C0,S1,HSM2,"","","","",""
river_single_228,single,HSM4,S4,C0,S1,HSM3,"","","","",""
river_single_231,single,HSM4,S4,C0,S2,HSM1,"","","","",""
river_single_232,single,HSM4,S4,C0,S2,HSM2,"","","","",""
river_single_233,single,HSM4,S4,C0,S2,HSM3,"","","","",""
river_single_242,single,HSM5,S1,C0,S2,HSM2,"","","","",""
river_single_243,single,HSM5,S1,C0,S2,HSM3,"","","","",""
river_single_244,single,HSM5,S1,C0,S2,HSM4,"","","","",""
river_single_247,single,HSM5,S1,C0,S3,HSM2,"","","","",""
river_single_248,single,HSM5,S1,C0,S3,HSM3,"","","","",""
river_single_249,single,HSM5,S1,C0,S3,HSM4,"","","","",""
river_single_256,single,HSM5,S2,C0,S1,HSM1,"","","","",""
river_single_257,single,HSM5,S2,C0,S1,HSM2,"","","","",""
river_single_258,single,HSM5,S2,C0,S1,HSM3,"","","","",""
river_single_260,single,HSM5,S2,C0,S1,HSM6,"","","","",""
river_single_266,single,HSM5,S2,C0,S4,HSM1,"","","","",""
river_single_267,single,HSM5,S2,C0,S4,HSM2,"","","","",""
river_single_268,single,HSM5,S2,C0,S4,HSM3,"","","","",""
river_single_270,single,HSM5,S2,C0,S4,HSM6,"","","","",""
river_single_271,single,HSM5,S3,C0,S1,HSM1,"","","","",""
river_single_272,single,HSM5,S3,C0,S1,HSM2,"","","","",""
river_single_273,single,HSM5,S3,C0,S1,HSM3,"","","","",""
river_single_274,single,HSM5,S3,C0,S1,HSM4,"","","","",""
river_single_275,single,HSM5,S3,C0,S1,HSM6,"","","","",""
river_single_276,single,HSM5,S3,C0,S2,HSM1,"","","","",""
river_single_277,single,HSM5,S3,C0,S2,HSM2,"","","","",""
river_single_278,single,HSM5,S3,C0,S2,HSM3,"","","","",""
river_single_279,single,HSM5,S3,C0,S2,HSM4,"","","","",""
river_single_281,single,HSM5,S3,C0,S4,HSM1,"","","","",""
river_single_282,single,HSM5,S3,C0,S4,HSM2,"","","","",""
river_single_283,single,HSM5,S3,C0,S4,HSM3,"","","","",""
river_single_285,single,HSM5,S3,C0,S4,HSM6,"","","","",""
river_single_286,single,HSM5,S4,C0,S1,HSM1,"","","","",""
river_single_287,single,HSM5,S4,C0,S1,HSM2,"","","","",""
river_single_288,single,HSM5,S4,C0,S1,HSM3,"","","","",""
river_single_289,single,HSM5,S4,C0,S1,HSM4,"","","","",""
river_single_291,single,HSM5,S4,C0,S2,HSM1,"","","","",""
river_single_292,single,HSM5,S4,C0,S2,HSM2,"","","","",""
river_single_293,single,HSM5,S4,C0,S2,HSM3,"","","","",""
river_single_294,single,HSM5,S4,C0,S2,HSM4,"","","","",""
river_single_297,single,HSM5,S4,C0,S3,HSM2,"","","","",""
river_single_298,single,HSM5,S4,C0,S3,HSM3,"","","","",""
river_single_299,single,HSM5,S4,C0,S3,HSM4,"","","","",""
river_single_302,single,HSM6,S1,C0,S2,HSM2,"","","","",""
river_single_303,single,HSM6,S1,C0,S2,HSM3,"","","","",""
river_single_304,single,HSM6,S1,C0,S2,HSM4,"","","","",""
river_single_305,single,HSM6,S1,C0,S2,HSM5,"","","","",""
river_single_307,single,HSM6,S1,C0,S3,HSM2,"","","","",""
river_single_308,single,HSM6,S1,C0,S3,HSM3,"","","","",""
river_single_309,single,HSM6,S1,C0,S3,HSM4,"","","","",""
river_single_310,single,HSM6,S1,C0,S3,HSM5,"","","","",""
river_single_316,single,HSM6,S2,C0,S1,HSM1,"","","","",""
river_single_317,single,HSM6,S2,C0,S1,HSM2,"","","","",""
river_single_318,single,HSM6,S2,C0,S1,HSM3,"","","","",""
river_single_326,single,HSM6,S2,C0,S4,HSM1,"","","","",""
river_single_327,single,HSM6,S2,C0,S4,HSM2,"","","","",""
river_single_328,single,HSM6,S2,C0,S4,HSM3,"","","","",""
river_single_331,single,HSM6,S3,C0,S1,HSM1,"","","","",""
river_single_332,single,HSM6,S3,C0,S1,HSM2,"","","","",""
river_single_333,single,HSM6,S3,C0,S1,HSM3,"","","","",""
river_single_334,single,HSM6,S3,C0,S1,HSM4,"","","","",""
river_single_336,single,HSM6,S3,C0,S2,HSM1,"","","","",""
river_single_337,single,HSM6,S3,C0,S2,HSM2,"","","","",""
river_single_338,single,HSM6,S3,C0,S2,HSM3,"","","","",""
river_single_339,single,HSM6,S3,C0,S2,HSM4,"","","","",""
river_single_341,single,HSM6,S3,C0,S4,HSM1,"","","","",""
river_single_342,single,HSM6,S3,C0,S4,HSM2,"","","","",""
river_single_343,single,HSM6,S3,C0,S4,HSM3,"","","","",""
river_single_346,single,HSM6,S4,C0,S1,HSM1,"","","","",""
river_single_347,single,HSM6,S4,C0,S1,HSM2,"","","","",""
river_single_348,single,HSM6,S4,C0,S1,HSM3,"","","","",""
river_single_349,single,HSM6,S4,C0,S1,HSM4,"","","","",""
river_single_351,single,HSM6,S4,C0,S2,HSM1,"","","","",""
river_single_352,single,HSM6,S4,C0,S2,HSM2,"","","","",""
river_single_353,single,HSM6,S4,C0,S2,HSM3,"","","","",""
river_single_354,single,HSM6,S4,C0,S2,HSM4,"","","","",""
river_single_355,single,HSM6,S4,C0,S2,HSM5,"","","","",""
river_single_357,single,HSM6,S4,C0,S3,HSM2,"","","","",""
river_single_358,single,HSM6,S4,C0,S3,HSM3,"","","","",""
river_single_359,single,HSM6,S4,C0,S3,HSM4,"","","","",""
river_single_360,single,HSM6,S4,C0,S3,HSM5,"","","","",""
river_joint_001,joint,HSM1,S1,C0,S2,HSM3,S3,HSM4,"","",""
river_joint_002,joint,HSM1,S1,C0,S2,HSM3,S3,HSM5,"","",""
river_joint_003,joint,HSM1,S1,C0,S2,HSM3,S4,HSM6,"","",""
river_joint_004,joint,HSM1,S1,C0,S2,HSM4,S3,HSM5,"","",""
river_joint_005,joint,HSM1,S1,C0,S2,HSM4,S4,HSM6,"","",""
river_joint_006,joint,HSM1,S1,C0,S3,HSM4,S4,HSM6,"","",""
river_joint_007,joint,HSM1,S1,C0,S3,HSM5,S4,HSM6,"","",""
river_joint_008,joint,HSM1,S4,C0,S1,HSM2,S2,HSM3,"","",""
river_joint_009,joint,HSM1,S4,C0,S1,HSM2,S2,HSM4,"","",""
river_joint_010,joint,HSM1,S4,C0,S1,HSM2,S3,HSM4,"","",""
river_joint_011,joint,HSM1,S4,C0,S1,HSM2,S3,HSM5,"","",""
river_joint_012,joint,HSM1,S4,C0,S2,HSM3,S3,HSM4,"","",""
river_joint_013,joint,HSM1,S4,C0,S2,HSM3,S3,HSM5,"","",""
river_joint_014,joint,HSM1,S4,C0,S2,HSM4,S3,HSM5,"","",""
river_joint_015,joint,HSM2,S1,C0,S4,HSM1,S2,HSM3,"","",""
river_joint_016,joint,HSM2,S1,C0,S4,HSM1,S2,HSM4,"","",""
river_joint_017,joint,HSM2,S1,C0,S4,HSM1,S3,HSM4,"","",""
river_joint_018,joint,HSM2,S1,C0,S4,HSM1,S3,HSM5,"","",""
river_joint_019,joint,HSM2,S1,C0,S2,HSM3,S3,HSM4,"","",""
river_joint_020,joint,HSM2,S1,C0,S2,HSM3,S3,HSM5,"","",""
river_joint_021,joint,HSM2,S1,C0,S2,HSM3,S4,HSM6,"","",""
river_joint_022,joint,HSM2,S1,C0,S2,HSM4,S3,HSM5,"","",""
river_joint_023,joint,HSM2,S1,C0,S2,HSM4,S4,HSM6,"","",""
river_joint_024,joint,HSM2,S1,C0,S3,HSM4,S4,HSM6,"","",""
river_joint_025,joint,HSM2,S1,C0,S3,HSM5,S4,HSM6,"","",""
river_joint_026,joint,HSM3,S2,C0,S1,HSM1,S3,HSM4,"","",""
river_joint_027,joint,HSM3,S2,C0,S1,HSM1,S3,HSM5,"","",""
river_joint_028,joint,HSM3,S2,C0,S1,HSM1,S4,HSM6,"","",""
river_joint_029,joint,HSM3,S2,C0,S4,HSM1,S1,HSM2,"","",""
river_joint_030,joint,HSM3,S2,C0,S4,HSM1,S3,HSM4,"","",""
river_joint_031,joint,HSM3,S2,C0,S4,HSM1,S3,HSM5,"","",""
river_joint_032,joint,HSM3,S2,C0,S1,HSM2,S3,HSM4,"","",""
river_joint_033,joint,HSM3,S2,C0,S1,HSM2,S3,HSM5,"","",""
river_joint_034,joint,HSM3,S2,C0,S1,HSM2,S4,HSM6,"","",""
river_joint_035,joint,HSM3,S2,C0,S3,HSM4,S4,HSM6,"","",""
river_joint_036,joint,HSM3,S2,C0,S3,HSM5,S4,HSM6,"","",""
river_joint_037,joint,HSM4,S2,C0,S1,HSM1,S3,HSM5,"","",""
river_joint_038,joint,HSM4,S2,C0,S1,HSM1,S4,HSM6,"","",""
river_joint_039,joint,HSM4,S2,C0,S4,HSM1,S1,HSM2,"","",""
river_joint_040,joint,HSM4,S2,C0,S4,HSM1,S3,HSM5,"","",""
river_joint_041,joint,HSM4,S2,C0,S1,HSM2,S3,HSM5,"","",""
river_joint_042,joint,HSM4,S2,C0,S1,HSM2,S4,HSM6,"","",""
river_joint_043,joint,HSM4,S2,C0,S3,HSM5,S4,HSM6,"","",""
river_joint_044,joint,HSM4,S3,C0,S1,HSM1,S2,HSM3,"","",""
river_joint_045,joint,HSM4,S3,C0,S1,HSM1,S4,HSM6,"","",""
river_joint_046,joint,HSM4,S3,C0,S4,HSM1,S1,HSM2,"","",""
river_joint_047,joint,HSM4,S3,C0,S4,HSM1,S2,HSM3,"","",""
river_joint_048,joint,HSM4,S3,C0,S1,HSM2,S2,HSM3,"","",""
river_joint_049,joint,HSM4,S3,C0,S1,HSM2,S4,HSM6,"","",""
river_joint_050,joint,HSM4,S3,C0,S2,HSM3,S4,HSM6,"","",""
river_joint_051,joint,HSM5,S3,C0,S1,HSM1,S2,HSM3,"","",""
river_joint_052,joint,HSM5,S3,C0,S1,HSM1,S2,HSM4,"","",""
river_joint_053,joint,HSM5,S3,C0,S1,HSM1,S4,HSM6,"","",""
river_joint_054,joint,HSM5,S3,C0,S4,HSM1,S1,HSM2,"","",""
river_joint_055,joint,HSM5,S3,C0,S4,HSM1,S2,HSM3,"","",""
river_joint_056,joint,HSM5,S3,C0,S4,HSM1,S2,HSM4,"","",""
river_joint_057,joint,HSM5,S3,C0,S1,HSM2,S2,HSM3,"","",""
river_joint_058,joint,HSM5,S3,C0,S1,HSM2,S2,HSM4,"","",""
river_joint_059,joint,HSM5,S3,C0,S1,HSM2,S4,HSM6,"","",""
river_joint_060,joint,HSM5,S3,C0,S2,HSM3,S4,HSM6,"","",""
river_joint_061,joint,HSM5,S3,C0,S2,HSM4,S4,HSM6,"","",""
river_joint_062,joint,HSM6,S4,C0,S1,HSM1,S2,HSM3,"","",""
river_joint_063,joint,HSM6,S4,C0,S1,HSM1,S2,HSM4,"","",""
river_joint_064,joint,HSM6,S4,C0,S1,HSM1,S3,HSM4,"","",""
river_joint_065,joint,HSM6,S4,C0,S1,HSM1,S3,HSM5,"","",""
river_joint_066,joint,HSM6,S4,C0,S1,HSM2,S2,HSM3,"","",""
river_joint_067,joint,HSM6,S4,C0,S1,HSM2,S2,HSM4,"","",""
river_joint_068,joint,HSM6,S4,C0,S1,HSM2,S3,HSM4,"","",""
river_joint_069,joint,HSM6,S4,C0,S1,HSM2,S3,HSM5,"","",""
river_joint_070,joint,HSM6,S4,C0,S2,HSM3,S3,HSM4,"","",""
river_joint_071,joint,HSM6,S4,C0,S2,HSM3,S3,HSM5,"","",""
river_joint_072,joint,HSM6,S4,C0,S2,HSM4,S3,HSM5,"","",""
river_source_001,source,"","","",S1,HSM1,"","",C0,200,150
river_source_002,source,"","","",S4,HSM1,"","",C0,200,150
river_source_003,source,"","","",S1,HSM2,"","",C0,200,150
river_source_004,source,"","","",S2,HSM3,"","",C0,200,150
river_source_005,source,"","","",S2,HSM4,"","",C0,200,150
river_source_006,source,"","","",S3,HSM4,"","",C0,200,150
river_source_007,source,"","","",S3,HSM5,"","",C0,200,150
river_source_008,source,"","","",S4,HSM6,"","",C0,200,150
river_source_009,source,"","","",S1,HSM1,S2,HSM3,C0,200,150
river_source_010,source,"","","",S1,HSM1,S2,HSM4,C0,200,150
river_source_011,source,"","","",S1,HSM1,S3,HSM4,C0,200,150
river_source_012,source,"","","",S1,HSM1,S3,HSM5,C0,200,150
river_source_013,source,"","","",S1,HSM1,S4,HSM6,C0,200,150
river_source_014,source,"","","",S4,HSM1,S1,HSM2,C0,200,150
river_source_015,source,"","","",S4,HSM1,S2,HSM3,C0,200,150
river_source_016,source,"","","",S4,HSM1,S2,HSM4,C0,200,150
river_source_017,source,"","","",S4,HSM1,S3,HSM4,C0,200,150
river_source_018,source,"","","",S4,HSM1,S3,HSM5,C0,200,150
river_source_019,source,"","","",S1,HSM2,S2,HSM3,C0,200,150
river_source_020,source,"","","",S1,HSM2,S2,HSM4,C0,200,150
river_source_021,source,"","","",S1,HSM2,S3,HSM4,C0,200,150
river_source_022,source,"","","",S1,HSM2,S3,HSM5,C0,200,150
river_source_023,source,"","","",S1,HSM2,S4,HSM6,C0,200,150
river_source_024,source,"","","",S2,HSM3,S3,HSM4,C0,200,150
river_source_025,source,"","","",S2,HSM3,S3,HSM5,C0,200,150
river_source_026,source,"","","",S2,HSM3,S4,HSM6,C0,200,150
river_source_027,source,"","","",S2,HSM4,S3,HSM5,C0,200,150
river_source_028,source,"","","",S2,HSM4,S4,HSM6,C0,200,150
river_source_029,source,"","","",S3,HSM4,S4,HSM6,C0,200,150
river_source_030,source,"","","",S3,HSM5,S4,HSM6,C0,200,150
river_merge_001,merge,HSM6,S4,C0,"","",S3,HSM5,"","",""
