ID,internal_name,display_name,category,transport_class,transport_cost,transport_duration,transport_method,good_type,decay_rate,base_price,is_buyable,is_sellable,green_sales_premium,is_fossil_fuel,co2_tax_multiplier
g_029,copper_ingots,Copper Ingots,metals,solid_heavy,1,1,vehicle,intermediate,0.002,1.5,TRUE,TRUE,0,no,0
g_030,tin_ingots,Tin Ingots,metals,solid_heavy,1,1,vehicle,intermediate,0.002,1.5,TRUE,TRUE,0,no,0
g_031,aluminium,Aluminium,metals,solid_heavy,1,1,vehicle,intermediate,0.002,2.5,TRUE,TRUE,0,no,0
g_032,refined_lithium,Lithium Carbonate,metals,solid_heavy,1,1,vehicle,intermediate,0.002,4,TRUE,TRUE,0,no,0
g_033,refined_ree,Refined Rare Earths,metals,solid_heavy,1,1,vehicle,intermediate,0.002,6,TRUE,TRUE,0,no,0
g_034,graphite,Graphite,chems,solid_heavy,1,1,vehicle,intermediate,0.002,12,TRUE,TRUE,0.5,no,0
g_035,sodium_hydroxide,Sodium Hydroxide,chems,liquid,2,1,pipe,intermediate,0.002,2,TRUE,TRUE,0,no,0
g_036,plastics,Plastics,construction,solid_light,1,1,vehicle,finished,0.0005,5,TRUE,TRUE,0,no,0
g_037,rubber,Rubber,construction,solid_light,1,1,vehicle,finished,0.0005,5,TRUE,TRUE,0,no,0
g_038,silica,Silica,chems,solid_heavy,1,1,vehicle,intermediate,0.002,1.5,TRUE,TRUE,0,no,0
g_039,glass,Glass,construction,solid_light,2,1,vehicle,finished,0.0005,2.5,TRUE,TRUE,0,no,0
g_040,concrete,Concrete,construction,solid_heavy,1,1,vehicle,intermediate,0.002,1,TRUE,TRUE,0,no,0
g_041,copper_wire,Copper Wire,construction,solid_light,1,1,vehicle,intermediate,0.002,2,TRUE,TRUE,0,no,0
g_042,copper_pipe,Copper Pipe,construction,solid_heavy,1,1,vehicle,intermediate,0.002,2,TRUE,TRUE,0,no,0
g_043,motor,Motor,component,solid_heavy,1,1,vehicle,intermediate,0.002,6,TRUE,TRUE,0,no,0
g_044,construction_equipment_ice,Construction Equipment (Combustion),construction,ultra_heavy,3,1,vehicle,finished,0.0005,8,TRUE,TRUE,0,no,0
g_045,construction_equipment_ev,Construction Equipment (Electric),construction,ultra_heavy,3,1,vehicle,finished,0.0005,8,TRUE,TRUE,0,no,0
g_046,engine_ice,Combustion Engine,component,solid_heavy,1,1,vehicle,intermediate,0.002,7,TRUE,TRUE,0,no,0
g_047,engine_ev,Electric Engine,component,solid_heavy,1,1,vehicle,intermediate,0.002,7,TRUE,TRUE,0,no,0
g_048,lead_battery,Lead Battery,component,solid_heavy,1,1,vehicle,intermediate,0.002,3,TRUE,TRUE,0,no,0
g_049,lithium_battery,Lithium Ion Battery,hightech,ultra_heavy,2,1,vehicle,finished,0.0005,5,TRUE,TRUE,0,no,0
g_050,sodium_battery,Sodium Ion Battery,hightech,ultra_heavy,2,1,vehicle,finished,0.0005,4,TRUE,TRUE,0,no,0
g_051,computer,Computer,hightech,solid_light,1,1,vehicle,finished,0.0005,10,TRUE,TRUE,0,no,0
g_052,ai_chip,AI Chip,hightech,solid_light,1,1,vehicle,finished,0.0005,15,TRUE,TRUE,0,no,0
g_053,grey_power,Hydrocarbon Power,power,electricity,0,0,cable,power,0,1,TRUE,TRUE,0,yes,0
g_054,green_power,Green Power,power,electricity,0,0,cable,power,0,1,TRUE,TRUE,0,no,0
g_055,city_waste,Municipal Waste,waste,solid_heavy,1,1,vehicle,waste,0,0.1,FALSE,FALSE,0,no,0
g_056,cleaning_products,Cleaning Products,consumer,solid_light,1,1,vehicle,finished,0.0005,6,TRUE,TRUE,0,no,0
g_057,silicon,Silicon,hightech,solid_light,1,1,vehicle,intermediate,0.002,5,TRUE,TRUE,0,no,0
g_058,soda_drink,Carbonated Drinks,consumer,solid_light,1,1,vehicle,finished,0.0005,4,TRUE,TRUE,0,no,0
g_059,car_ice,Diesel Car,consumer,ultra_heavy,2,1,vehicle,finished,0.0005,12,TRUE,TRUE,0,no,0
g_060,car_ev,Electric Car,consumer,ultra_heavy,2,1,vehicle,finished,0.0005,12,TRUE,TRUE,0,no,0
g_061,nitrogen,Nitrogen,chems,liquid,1,1,pipe,raw,0.005,1,TRUE,TRUE,0,no,0
g_062,waste_water,Waste Water,waste,liquid,1,1,pipe,waste,0,0.1,FALSE,FALSE,0,no,0
g_063,fuels,Diesel Fuel,energy,liquid,2,1,pipe,finished,0.0005,6,TRUE,TRUE,0,no,0
g_064,fibreglass,Fibreglass,component,solid_light,1,1,vehicle,intermediate,0.002,4,TRUE,TRUE,0,no,0
g_065,carbon_fibre,Carbon Fibre,hightech,solid_light,2,1,vehicle,finished,0.0005,7,TRUE,TRUE,0,no,0
