recipe_id,display_name,building_id,research,tech_rank,primary_output,standalone_target,target_profit,target_min,target_max,standalone_revenue,standalone_inputs_bill,standalone_power_units,standalone_energy_bill,standalone_maintenance_bill,current_standalone_profit,mine_startup_revenue_live_penalty,mine_startup_profit_live_penalty,minimum_labour_unskilled,minimum_labour_skilled,minimum_labour_h_skilled,minimum_labour_cost,diagnostic_target_fitted_labour_unskilled,diagnostic_target_fitted_labour_skilled,diagnostic_target_fitted_labour_h_skilled,diagnostic_target_fitted_labour_cost,diagnostic_target_fitted_standalone_profit,minimum_labour_standalone_profit,fractional_one_layer_cost_proxy_profit,proxy_cheapest_direct_suppliers,imputed_market_input_cost_proxy_profit,imputed_full_cost_proxy_profit,cap_reduction_needed,route_assumption,one_turn_transport_cost,one_turn_storage_cost,diagnostic_target_fitted_profit_after_one_turn_friction,recommendation,flags
r_011,Water Pumping,water_pump,,0,pure_water,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,21.312,0,20.0,2.0,1.0,11.134,21.312,11.134,500,100,50,4.16,999,349,133,10.803,7.509,14.152,7.509,,7.509,8.309,0,pipe_1_turn,1.44,1.44,4.629,ok,input_band;full_band
r_012,Chlor-Alkali Process,chem_plant,,0,chlorine,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,123.64,43.613,200.0,20.0,4.0,20.21,,,500,100,50,4.16,2040,1640,820,48.512,7.515,51.867,27.936,basic_salt: r_010 Salt Mining; pure_water: r_105 Water Treatment,28.364,37.862,0,pipe_1_turn+rail_1_turn,4.62,10.56,-7.665,ok,full_band
r_014,Oil Drilling,oil_well,,0,crude_oil,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,21.32,0,30.0,3.0,1.0,8.709,21.32,8.709,500,100,50,4.16,924,312,120,9.792,7.528,13.16,7.528,,7.528,8.728,0,pipe_1_turn,0.6,0.6,6.328,ok,input_band;full_band
r_015,Bauxite Mining,mine,,0,bauxite_ore,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.0,0,30.0,3.0,2.0,8.0,19.55,4.55,500,100,50,4.16,1669,279,77,10.483,7.517,13.84,7.517,,7.517,8.717,0,rail_1_turn,0.3,0.2,7.017,ok,input_band;full_band
r_016,Lithium Mining,mine,,0,lithium_ore,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,22.704,0,30.0,3.0,2.0,7.704,22.704,7.704,500,100,50,4.16,1614,270,76,10.189,7.515,13.544,7.515,,7.515,8.715,0,rail_1_turn,0.12,0.08,7.315,ok,input_band;full_band
r_017,Rare Earth Mining,mine,,0,ree_ore,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,22.8,0,30.0,3.0,2.0,7.8,15.2,0.2,500,100,50,4.16,1632,273,76,10.275,7.525,13.64,7.525,,7.525,8.725,0,rail_1_turn,0.18,0.12,7.225,ok,input_band;full_band
r_018,Sand Excavation,mine,,0,sand,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.625,0,30.0,3.0,2.0,8.625,16.8,1.8,500,100,50,4.16,1784,296,80,11.11,7.515,14.465,7.515,,7.515,8.715,0,rail_1_turn,0.675,0.45,6.39,ok,input_band;full_band
r_019,Limestone Mining,mine,,0,limestone,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.125,0,30.0,3.0,2.0,8.125,16.65,1.65,500,100,50,4.16,1692,282,78,10.618,7.507,13.965,7.507,,7.507,8.707,0,rail_1_turn,0.375,0.25,6.882,ok,input_band;full_band
r_020,Flash Copper Smelting,furnace,Electric Arc Refining,2,copper_ingots,rank II default,30.0,20.0,60.0,85.104,28.287,140.0,14.0,1.0,33.839,,,500,100,50,4.16,1359,407,111,11.808,30.009,37.657,38.148,copper_ore: r_006 Copper Mining; industrial_acids: r_114 Hydrochloric Acid Production; oxygen: r_080 Membraneless Electrolysis,39.656,46.829,0,pipe_1_turn+rail_1_turn,1.11,1.06,27.839,ok,full_band
r_022,Fuels Refining,petro_refinery,,0,fuels,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,52.074,27.877,70.0,7.0,1.0,9.422,,,500,100,50,4.16,840,270,106,8.672,7.525,12.037,13.036,processed_oil: r_180 Oil Refining,22.518,27.051,0,pipe_1_turn,0.96,0.96,5.605,ok,full_band
r_023,Ethylene Refining,petro_refinery,,0,ethylene,ethylene keeps the upper starter margin,5.0,0.0,5.0,49.946,27.877,70.0,7.0,1.0,7.294,,,500,100,50,4.16,868,284,111,9.056,5.013,9.909,10.524,processed_oil: r_180 Oil Refining,20.006,24.539,0,pipe_1_turn,0.69,1.6,2.723,labour,standalone_band;full_band
r_024,Plastics Manufacturing,poly_plant,,0,plastics,plastics keeps the upper starter margin,5.0,0.0,5.0,61.92,40.341,70.0,7.0,1.0,6.539,,,500,100,50,4.16,631,268,124,8.56,5.019,9.419,28.38,ethylene: r_228 Bio Ethylene,30.492,34.747,0,pipe_1_turn+rail_1_turn,0.42,1.12,3.479,labour,standalone_band;full_band
r_025,Basic Oxygen Steelmaking,furnace,Oxygen-Enriched Blast,1,steel,rank I default,15.0,5.0,30.0,73.4,23.213,140.0,14.0,1.0,28.115,,,500,100,50,4.16,2298,742,178,20.173,15.014,31.027,21.225,iron_ingots: r_031 Direct Reduced Iron Smelting; oxygen: r_080 Membraneless Electrolysis; limestone: r_019 Limestone Mining,24.22,31.93,0,pipe_1_turn+rail_1_turn,1.02,0.92,13.074,ok,full_band
r_026,Copper Pipe Hot Rolling,furnace,,0,copper_pipe,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,54.324,32.269,70.0,7.0,1.0,8.267,,,500,100,50,4.16,768,196,69,6.547,7.508,9.895,19.881,copper_ingots: r_020 Flash Copper Smelting,23.365,28.755,0,rail_1_turn,0.465,0.31,6.733,ok,full_band
r_028,Synthetic Rubber Production,poly_plant,,0,rubber,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,66.096,41.391,70.0,7.0,1.0,9.665,,,500,100,50,4.16,649,292,135,9.2,7.505,12.545,31.314,ethylene: r_228 Bio Ethylene; oxygen: r_080 Membraneless Electrolysis,33.479,37.862,0,pipe_1_turn+rail_1_turn,0.59,1.57,5.345,ok,full_band
r_029,Concrete Firing,furnace,,0,concrete,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,86.306,54.044,140.0,14.0,1.0,8.325,,,500,100,50,4.16,1128,324,95,9.76,7.502,13.102,24.988,limestone: r_019 Limestone Mining; pure_water: r_105 Water Treatment; silica: r_035 Silica Washing; coal: r_001 Coal Mining,28.74,37.89,0,pipe_1_turn+rail_1_turn,1.155,0.87,5.477,ok,full_band
r_030,Electric Concrete Production,eaf,,0,concrete,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,109.844,66.555,140.0,14.0,2.0,9.929,,,500,100,50,4.16,962,694,313,19.757,7.532,23.129,28.97,limestone: r_019 Limestone Mining; pure_water: r_105 Water Treatment; silica: r_035 Silica Washing,33.849,43.885,0,pipe_1_turn+rail_1_turn,1.38,1.05,5.102,ok,full_band
r_031,Direct Reduced Iron Smelting,furnace,Basic Blast Furnaces,1,iron_ingots,rank I default,15.0,5.0,30.0,79.04,35.816,140.0,14.0,1.0,20.154,,,500,100,50,4.16,1516,463,122,13.2,15.024,24.064,28.942,iron_ore: r_002 Iron Mining; hydrogen: r_080 Membraneless Electrolysis,29.807,38.431,0,pipe_1_turn+rail_1_turn,1.8,1.6,11.624,ok,full_band
r_032,Lithium Ion Battery Manufacturing,industrial_factory,Lithium Battery Storage,1,lithium_battery,lithium batteries should be deliberately unprofitable,-10.0,-50.0,-1.0,150.0,132.294,20.0,2.0,7.0,-25.275,,,500,100,50,4.16,1656,716,204,18.701,-9.995,4.546,18.101,lithium_carbonate: r_227 Rudimentary Lithium Refinement; electrical_components: r_127 Precision Electrical Components; graphite: r_042 Bio-Graphitisation; alloy_ingots: r_133 Alloy Metal Electrolysis,43.102,54.771,0,rail_1_turn,0.36,0.24,-10.595,ok,
r_033,Construction Equiment Assembly (ICE),industrial_factory,,0,construction_equipment_ice,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,420.408,335.765,20.0,2.0,7.0,18.626,,,500,100,50,4.16,5583,2811,727,68.115,7.528,71.483,95.333,steel: r_077 HIsarna Steel Making; rubber: r_107 E-Waste Recycling; plastics: r_024 Plastics Manufacturing; fuels: r_154 Coal Liquefaction; motor: r_065 SynRM Magnetless Motors,159.767,173.776,0,pipe_1_turn+rail_1_turn,1.38,0.98,5.168,ok,input_band
r_034,Construction Equipment Assembly (EV),industrial_factory,Electric Plant & Machinery,2,construction_equipment_ev,rank II default,30.0,20.0,60.0,399.492,298.929,20.0,2.0,7.0,40.91,,,500,100,50,4.16,5061,2532,658,61.558,30.005,87.403,109.122,steel: r_077 HIsarna Steel Making; rubber: r_107 E-Waste Recycling; plastics: r_024 Plastics Manufacturing; lithium_battery: r_099 Lithium Phosphate Batteries; motor: r_065 SynRM Magnetless Motors,166.243,179.755,0,rail_1_turn,0.88,0.52,28.605,ok,input_band
r_035,Silica Washing,petro_refinery,,0,silica,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,34.489,10.175,70.0,7.0,1.0,8.676,,,500,100,50,4.16,849,274,108,8.803,7.511,12.154,12.166,sand: r_018 Sand Excavation; pure_water: r_105 Water Treatment,12.263,15.404,0,pipe_1_turn+rail_1_turn,0.645,0.53,6.336,ok,input_band;full_band
r_037,Onshore wind generation,onshore_wind_farm,,0,power,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,13.68,0,0.0,0.0,2.0,7.52,,,500,100,50,4.16,501,101,50,4.173,7.507,7.52,7.507,,7.507,7.507,0,road_1_turn,4.56,0.0,2.947,ok,input_band;full_band
r_038,Gas Combined Cycle Turbines,coal_power,,0,power,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,25.8,11.151,0.0,0.0,2.0,7.727,,,500,100,50,4.16,574,137,62,5.136,7.513,8.489,9.718,processed_oil: r_180 Oil Refining,13.51,14.204,0,pipe_1_turn+road_1_turn,8.72,0.12,-1.327,ok,input_band;full_band
r_039,Lithium Electrolysis,electrolyser,Solid-Oxide Electrolysis,3,lithium_carbonate,lithium electrolysis remains a modest advanced route,20.0,15.0,25.0,59.877,32.779,160.0,16.0,1.0,-63.924,,,500,100,50,4.16,500,100,50,4.16,5.938,5.938,17.832,lithium_ore: r_016 Lithium Mining,17.832,25.882,0,rail_1_turn,0.3,0.2,5.438,quantity_or_price,standalone_band;input_band;full_band
r_040,Bayer Process,furnace,,0,alumina,alumina supports the aluminium starter chain,3.6,0.0,5.0,59.16,30.87,140.0,14.0,1.0,5.904,,,500,100,50,4.16,1120,322,94,9.683,3.607,9.13,12.983,bauxite_ore: r_015 Bauxite Mining; sodium_hydroxide: r_012 Chlor-Alkali Process,14.062,21.353,0,pipe_1_turn+rail_1_turn,0.99,1.3,1.317,ok,input_band;full_band
r_041,Rare Earth Reduction,electrolyser,,0,refined_ree,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,69.948,27.93,240.0,24.0,1.0,9.197,,,500,100,50,4.16,591,263,159,9.504,7.514,12.858,15.577,ree_ore: r_017 Rare Earth Mining; sodium_hydroxide: r_012 Chlor-Alkali Process; chlorine: r_012 Chlor-Alkali Process,16.858,28.042,0,pipe_1_turn+rail_1_turn,0.54,1.16,5.814,ok,input_band;full_band
r_042,Bio-Graphitisation,furnace,Biomass Cracking,3,graphite,rank III default,60.0,30.0,100.0,199.562,57.164,240.0,24.0,1.0,111.158,,,500,100,50,4.16,6472,2233,476,57.379,60.019,113.238,69.91,carbonised_biomass: r_217 Biomass Carbonisation; ammonia: r_046 Haber Bosch Process,84.041,99.547,0,pipe_1_turn+rail_1_turn,0.63,0.58,58.809,ok,
r_044,Silicon Smelting,eaf,,0,metallurgical_silicon,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,70.56,36.257,140.0,14.0,2.0,8.752,,,500,100,50,4.16,696,352,162,10.79,7.513,14.143,17.528,silica: r_035 Silica Washing; coal: r_001 Coal Mining,21.183,29.599,0,rail_1_turn,0.75,0.5,6.263,ok,full_band
r_045,Polysilicon (Siemens) Smelting,chem_plant,,0,polysilicon,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,73.509,18.522,240.0,24.0,4.0,7.701,,,500,100,50,4.16,1032,632,316,19.482,7.505,22.827,10.266,metallurgical_silicon: r_044 Silicon Smelting,13.683,25.387,0,rail_1_turn,0.12,0.08,7.305,ok,input_band;full_band
r_046,Haber Bosch Process,chem_plant,,0,ammonia,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,105.99,51.458,140.0,14.0,4.0,14.0,,,500,100,50,4.16,1363,963,482,29.03,7.501,32.372,28.124,nitrogen: r_087 Nitrogen Air Separation; hydrogen: r_080 Membraneless Electrolysis,30.198,41.794,0,pipe_1_turn,1.5,5.0,1.001,ok,full_band
r_047,Fertilisers Production,chem_plant,,0,fertilisers,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,291.936,41.895,70.0,7.0,4.0,216.51,,,500,100,50,4.16,8395,7995,3997,231.52,7.521,234.881,16.37,ammonia: r_046 Haber Bosch Process; chem_salts: r_010 Salt Mining; biomass: r_214 Sustainable Forestry - Biomass,22.423,28.771,0,pipe_1_turn+rail_1_turn,0.76,1.16,5.601,ok,full_band
r_050,Aluminium (Hall Heroult) Smelting,furnace,,0,aluminium,aluminium keeps the upper starter margin,5.0,0.0,5.0,113.82,75.236,240.0,24.0,1.0,6.199,,,500,100,50,4.16,996,277,85,8.566,5.018,9.424,21.237,alumina: r_082 Electric Calcination Alumina; graphite: r_042 Bio-Graphitisation; chem_salts: r_010 Salt Mining,31.364,48.37,0,rail_1_turn,0.72,0.48,3.818,labour,standalone_band;full_band
r_051,Desalination,desal,,0,pure_water,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,27.76,0,70.0,7.0,1.0,10.522,,,500,100,50,4.16,1107,404,151,12.253,7.507,15.6,7.507,,7.507,10.307,0,pipe_1_turn+rail_1_turn,1.425,1.35,4.732,ok,input_band;full_band
r_053,Industrial Glassmaking,furnace,,0,glass,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,67.296,32.839,140.0,14.0,1.0,10.28,,,500,100,50,4.16,1374,412,112,11.936,7.521,15.297,17.235,sand: r_018 Sand Excavation; sodium_hydroxide: r_012 Chlor-Alkali Process; limestone: r_019 Limestone Mining,18.449,25.834,0,pipe_1_turn+rail_1_turn,1.175,1.61,4.736,ok,input_band;full_band
r_054,High Strength Glassmaking,furnace,High Strength Glassmaking,1,glass,rank I default,15.0,5.0,30.0,65.193,29.037,140.0,14.0,1.0,15.368,,,500,100,50,4.16,723,180,66,6.154,15.003,16.996,21.659,silica: r_035 Silica Washing; alumina: r_082 Electric Calcination Alumina; sulphur: r_179 Sulphur Mining,25.171,33.392,0,rail_1_turn,0.52,0.45,14.033,ok,full_band
r_055,uPVC Window Manufacturing,industrial_factory,,0,windows,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,206.55,136.242,20.0,2.0,7.0,8.819,,,500,100,50,4.16,4444,2204,575,53.779,7.529,57.148,34.672,glass: r_054 High Strength Glassmaking; pvc: r_175 PVC Polymerisation,69.732,82.739,0,rail_1_turn,0.7,0.61,6.219,ok,
r_056,Window Manufacturing,industrial_factory,,0,windows,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,195.075,121.584,40.0,4.0,7.0,11.23,,,500,100,50,4.16,4538,2254,588,54.976,7.515,58.331,46.607,glass: r_054 High Strength Glassmaking; aluminium: r_107 E-Waste Recycling,60.37,75.78,0,rail_1_turn,0.685,0.55,6.28,ok,
r_057,Building Frame Manufacture,assembly_plant,,0,building_frame,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,381.238,245.681,20.0,2.0,13.0,9.546,,,500,100,50,4.16,2960,3790,2100,113.056,7.501,116.397,47.706,steel: r_077 HIsarna Steel Making; windows: r_056 Window Manufacturing; copper_pipe: r_219 Copper Pipe Moulding; electrical_components: r_127 Precision Electrical Components,109.749,125.824,0,rail_1_turn,1.38,0.66,5.461,ok,input_band
r_058,Solar Panel Manufacturing,assembly_plant,,0,solar_panel,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,246.744,128.654,20.0,2.0,13.0,8.549,,,500,100,50,4.16,2565,3198,1771,95.581,7.509,98.93,31.788,metallurgical_silicon: r_044 Silicon Smelting; electrical_components: r_127 Precision Electrical Components; alloy_ingots: r_133 Alloy Metal Electrolysis; aluminium: r_107 E-Waste Recycling,56.111,68.915,0,rail_1_turn,0.675,0.37,6.464,ok,
r_059,Wind Turbine Manufacturing,assembly_plant,,0,wind_turbine,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,207.273,117.134,20.0,2.0,13.0,7.85,,,500,100,50,4.16,1934,2251,1245,67.638,7.501,70.979,33.973,fibreglass: r_135 Fibreglass Production; refined_ree: r_226 Magnetic Separation Electrolysis; motor: r_065 SynRM Magnetless Motors; electrical_components: r_127 Precision Electrical Components,52.688,59.649,0,rail_1_turn,0.22,0.13,7.151,ok,
r_060,Durable Perovskite Solar Panels,assembly_plant,Atomic Layer Deposition,3,solar_panel,research-unlocked solar panels should be modestly profitable,50.0,40.0,60.0,370.116,191.981,20.0,2.0,13.0,95.845,,,500,100,50,4.16,2962,3792,2101,113.114,50.021,158.975,125.049,polysilicon: r_081 Fluidised Bed Reactor + CZ Silicon; electrical_components: r_127 Precision Electrical Components; alloy_ingots: r_133 Alloy Metal Electrolysis; aluminium: r_107 E-Waste Recycling; plastics: r_024 Plastics Manufacturing,146.492,162.716,0,rail_1_turn,0.54,0.25,49.231,ok,input_band
r_061,Segmented Assembly Wind Turbines,assembly_plant,Segmented Blade Assembly,2,wind_turbine,rank II default,30.0,20.0,60.0,207.273,92.524,20.0,2.0,13.0,32.459,,,500,100,50,4.16,1981,2322,1284,69.718,30.031,95.589,52.823,fibreglass: r_135 Fibreglass Production; refined_ree: r_226 Magnetic Separation Electrolysis; motor: r_065 SynRM Magnetless Motors; electrical_components: r_127 Precision Electrical Components,67.821,73.895,0,rail_1_turn,0.2,0.11,29.721,ok,
r_063,Heterojunction Solar Panels,high_tech_manufactory,Heterojunction Cell Lines,3,solar_panel,research-unlocked solar panels should be modestly profitable,50.0,40.0,60.0,370.116,243.437,20.0,2.0,9.0,66.748,,,500,100,50,4.16,1261,1813,1382,65.664,50.015,111.519,147.501,polysilicon: r_081 Fluidised Bed Reactor + CZ Silicon; electrical_components: r_127 Precision Electrical Components; alloy_ingots: r_133 Alloy Metal Electrolysis; aluminium: r_107 E-Waste Recycling; plastics: r_024 Plastics Manufacturing,172.697,193.198,0,rail_1_turn,0.57,0.27,49.175,ok,input_band
r_064,Triple Tandem Solar Panels,high_tech_manufactory,Tandem Cell Stacking,3,solar_panel,research-unlocked solar panels should be modestly profitable,50.0,40.0,60.0,462.645,314.972,20.0,2.0,9.0,84.561,,,500,100,50,4.16,1521,2398,1837,86.672,50.001,132.513,179.649,polysilicon: r_081 Fluidised Bed Reactor + CZ Silicon; electrical_components: r_127 Precision Electrical Components; alloy_ingots: r_133 Alloy Metal Electrolysis; aluminium: r_107 E-Waste Recycling; refined_ree: r_226 Magnetic Separation Electrolysis,207.639,234.911,0,rail_1_turn,0.705,0.32,48.976,ok,input_band
r_065,SynRM Magnetless Motors,assembly_plant,Synchronous Reluctance Drives,3,motor,rank III default,60.0,30.0,100.0,253.692,92.159,20.0,2.0,13.0,58.754,,,500,100,50,4.16,2361,2891,1600,86.509,60.025,142.374,90.539,steel: r_077 HIsarna Steel Making; copper_wiring: r_107 E-Waste Recycling; plastics: r_024 Plastics Manufacturing,98.507,102.637,0,rail_1_turn,0.685,0.52,58.82,ok,
r_066,Axial Flux Motors,assembly_plant,Axial Flux Motor Lines,1,motor,rank I default,15.0,5.0,30.0,263.088,101.84,20.0,2.0,13.0,15.017,,,500,100,50,4.16,3371,4406,2442,131.229,15.02,142.089,54.081,steel: r_077 HIsarna Steel Making; copper_wiring: r_107 E-Waste Recycling; refined_ree: r_226 Magnetic Separation Electrolysis; alloy_ingots: r_133 Alloy Metal Electrolysis,59.759,67.643,0,rail_1_turn,0.72,0.52,13.78,ok,
r_067,Rubber Vulcanisation,chem_plant,,0,tyres,tyres support modest direct integration,4.2,0.0,5.0,136.625,81.522,20.0,2.0,4.0,21.999,,,500,100,50,4.16,1914,1514,757,44.883,4.22,44.943,34.792,rubber: r_107 E-Waste Recycling; sulphur: r_179 Sulphur Mining,45.332,51.115,0,rail_1_turn,0.725,0.54,2.955,ok,
r_068,Car Body Manufacturing,industrial_factory,,0,car_body,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,158.256,96.618,20.0,2.0,7.0,8.805,,,500,100,50,4.16,3756,1836,484,45.133,7.505,48.478,39.197,steel: r_077 HIsarna Steel Making; aluminium: r_107 E-Waste Recycling; plastics: r_024 Plastics Manufacturing,54.105,64.047,0,rail_1_turn,0.855,0.44,6.21,ok,
r_069,Lightweight Car Bodies,assembly_plant,Composite Panel Pressing,2,car_body,rank II default,30.0,20.0,60.0,226.08,95.889,20.0,2.0,13.0,34.736,,,500,100,50,4.16,2330,2845,1575,85.168,30.023,111.031,57.409,steel: r_077 HIsarna Steel Making; aluminium: r_107 E-Waste Recycling; fibreglass: r_135 Fibreglass Production,68.931,77.057,0,rail_1_turn,0.9,0.41,28.713,ok,
r_071,ICE Engine Manufacturing,industrial_factory,,0,engine,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,275.358,200.116,20.0,2.0,7.0,9.224,,,500,100,50,4.16,4836,2413,628,58.736,7.506,62.082,69.949,steel: r_077 HIsarna Steel Making; copper_wiring: r_107 E-Waste Recycling; aluminium: r_107 E-Waste Recycling; processed_oil: r_180 Oil Refining; alkaline_battery: r_101 Alkaline Battery Manufacturing,91.117,104.512,0,pipe_1_turn+rail_1_turn,1.005,0.72,5.781,ok,
r_072,V8 Engine Manufacturing,industrial_factory,Precision Assembly Lines,1,engine,rank I default,15.0,5.0,30.0,275.358,163.699,20.0,2.0,7.0,15.02,,,500,100,50,4.16,7134,3638,934,87.642,15.017,98.499,56.138,steel: r_077 HIsarna Steel Making; aluminium: r_107 E-Waste Recycling; processed_oil: r_180 Oil Refining; electrical_components: r_127 Precision Electrical Components; alkaline_battery: r_101 Alkaline Battery Manufacturing,87.052,99.569,0,pipe_1_turn+rail_1_turn,0.84,0.58,13.597,ok,
r_073,Large Vehicle Engine Manufacturing,assembly_plant,Heavy Engine Casting,1,large_engine,rank I default,15.0,5.0,30.0,465.641,307.961,20.0,2.0,13.0,17.714,,,500,100,50,4.16,3290,4285,2375,127.664,15.016,138.52,96.604,steel: r_077 HIsarna Steel Making; aluminium: r_107 E-Waste Recycling; processed_oil: r_180 Oil Refining; electrical_components: r_127 Precision Electrical Components; alkaline_battery: r_101 Alkaline Battery Manufacturing,150.726,174.665,0,pipe_1_turn+rail_1_turn,1.62,1.09,12.306,ok,input_band
