recipe_id,recipe,primary_output,start_unlocked,research_unlock,unlock_exists,revenue,market_input_bill,grid_power_bill,labour_bill,maintenance_bill,freight,working_inventory_reserve,profit
r_078,Methane Pyrolysis,hydrogen,False,Methane Pyrolysis,True,125.368,44.604,14.0,7.165,1.0,1.08,2.16,55.359
r_079,Water Electrolysis,hydrogen,True,,True,47.95,6.527,24.0,6.931,1.0,1.05,2.52,5.922
r_080,Membraneless Electrolysis,hydrogen,False,Membraneless Electrolysis,True,75.35,6.527,24.0,6.931,1.0,1.41,3.72,31.762
r_081,Fluidised Bed Reactor + CZ Silicon,polysilicon,False,Czochralski Crystal Growth,True,147.018,30.801,24.0,19.286,4.0,0.285,0.51,68.136
r_082,Electric Calcination Alumina,alumina,True,,True,106.488,43.05,20.0,27.552,4.0,1.41,1.74,8.736
r_083,ELYSIS Aluminium,aluminium,False,Electric Arc Refining,True,87.047,37.359,20.0,11.178,2.0,0.555,0.37,15.585
r_084,Aluminium Direct Carbothermic Electrolysis,aluminium,False,Ultra-High-Power Arcs,True,130.893,69.157,20.0,10.65,2.0,0.63,0.42,28.036
r_087,Nitrogen Air Separation,nitrogen,False,Process Intensification,True,58.8,0,14.0,19.286,4.0,1.5,5.0,15.014
r_099,Lithium Phosphate Batteries,lithium_battery,False,Lithium Iron Phosphate Cells,True,200.0,97.436,2.0,48.429,9.0,0.405,0.44,42.29
r_101,Alkaline Battery Manufacturing,alkaline_battery,True,,True,131.832,60.522,2.0,53.104,7.0,1.02,0.68,7.506
r_102,Sodium Ion Battery Manufacturing,sodium_battery,False,Sodium Battery Storage,True,90.0,23.576,0.2,4.16,13.0,0.195,0.13,48.739
r_105,Water Treatment,pure_water,False,Wastewater Bioreactors,True,53.28,2.52,2.0,8.445,1.0,4.32,4.32,30.675
r_106,Scrap Recycling,steel,True,,True,49.545,20.16,7.0,11.958,2.0,0.765,0.51,7.152
r_107,E-Waste Recycling,copper_wiring,False,Advanced Oxidation Loops,True,41.443,18.9,2.0,13.376,2.0,0.59,0.41,4.167
r_108,Biowaste Recycling,biomass,False,Biowaste Digestion,True,43.632,9.45,2.0,13.376,2.0,0.78,0.78,15.246
r_114,Hydrochloric Acid Production,industrial_acids,True,,True,156.15,75.978,7.0,48.029,7.0,2.43,8.1,7.613
r_115,Sulphuric Acid Production,industrial_acids,True,,True,10.41,29.137,7.0,49.341,7.0,0.915,1.02,-84.003
r_116,Generic Acid Production,industrial_acids,True,,True,124.92,66.78,7.0,48.029,7.0,1.8,5.04,-10.729
r_117,ICE Car Production,ice_car,True,,True,613.824,531.958,2.0,56.042,7.0,1.155,0.67,14.999
r_118,Automated ICE Car Assembly,ice_car,False,Automated Body-in-White Lines,True,920.736,690.15,2.0,173.194,13.0,1.52,0.87,40.002
r_119,EV Assembly,ev_car,False,Electric Vehicle Assembly,True,702.045,495.93,2.0,117.76,13.0,0.87,0.5,71.985
r_120,Basic Circuit Soldering,circuit_board,True,,True,177.468,118.572,2.0,41.61,7.0,0.405,0.39,7.491
r_121,Circuit Printing,circuit_board,False,300mm Wafer Lines,True,162.679,54.606,2.0,67.29,13.0,0.24,0.23,25.313
r_122,Semiconductor Fabbing,cpu,True,,True,354.055,266.007,2.0,82.352,13.0,0.335,0.36,-9.999
r_123,Fabless Semiconductors,cpu,False,Advanced Photolithography,True,354.055,159.501,2.0,146.858,9.0,0.175,0.14,36.381
r_124,Semiconductor 3D Printing,cpu,False,Additive Semiconductor Printing,True,354.055,130.682,2.0,152.102,9.0,0.135,0.11,60.026
r_125,Computer Assembly,computer,True,,True,479.97,372.197,2.0,67.29,13.0,0.22,0.21,25.054
r_126,Electrical Components Production,electrical_components,True,,True,135.432,80.598,2.0,37.568,7.0,0.425,0.34,7.501
r_127,Precision Electrical Components,electrical_components,False,Precision Electronics Assembly,True,237.006,139.272,2.0,59.261,9.0,0.56,0.43,26.483
r_131,Hydrogen Power,power,False,Hydrogen Combustion Turbines,True,152.4,6.93,0.0,4.922,2.0,0.06,0.2,138.288
r_132,Alloy Metal Smelting,alloy_ingots,True,,True,50.46,20.202,14.0,6.493,1.0,0.75,0.5,7.515
r_133,Alloy Metal Electrolysis,alloy_ingots,False,Molten Salt Alloy Electrolysis,True,84.1,24.402,20.0,8.56,1.0,1.2,1.2,27.738
r_134,Alloy Metal Mining,alloy_ore,True,,True,23.088,0,3.0,10.0,2.0,0.36,0.24,7.488
r_135,Fibreglass Production,fibreglass,True,,True,70.314,22.878,2.0,30.694,7.0,0.12,0.12,7.501
r_136,Iron Air Batteries,iron_battery,False,Iron-Air Battery Cells,True,30.0,16.321,0.5,4.16,7.0,0.42,0.48,1.119
r_145,Offshore Wind Power Generation,power,True,,True,14.7,0,0.0,4.16,3.0,0.0,0.0,7.54
r_146,Solar Power Generation,power,True,,True,13.68,0,0.0,4.16,2.0,0.0,0.0,7.52
r_150,Petroleum Needle Coke Calcination,graphite,True,,True,90.71,50.551,24.0,7.005,1.0,0.39,0.26,7.504
r_151,Petroleum Needle Coke Power,power,True,,True,40.8,25.276,0.0,6.774,1.0,0.12,0.08,7.55
r_154,Coal Liquefaction,fuels,False,Fischer-Tropsch Synthesis,True,201.195,11.13,7.0,19.286,4.0,2.76,2.85,154.169
r_165,Radial Axial Tire Production,tyres,True,,True,196.74,114.964,2.0,54.902,7.0,1.165,0.83,15.878
r_175,PVC Polymerisation,pvc,True,,True,90.848,62.271,7.0,9.376,1.0,0.94,2.76,7.501
r_177,Shale Oil Fracking,crude_oil,False,Shale Oil Fracturing,True,30.914,0,3.0,9.664,2.0,0.87,0.87,14.51
r_178,Offshore Oil Extraction,crude_oil,False,Offshore Drilling Platforms,True,47.97,0,3.0,9.664,2.0,1.35,1.35,30.606
r_179,Sulphur Mining,sulphur,True,,True,23.088,0,3.0,10.0,2.0,0.36,0.24,7.488
r_180,Oil Refining,processed_oil,True,,True,47.79,22.386,7.0,7.638,1.0,1.14,1.14,7.486
r_181,Oil Power Production,power,True,,True,31.5,16.727,0.0,4.922,2.0,0.18,0.18,7.492
r_203,Hairpin Stator Motors,motor,False,Hairpin Stator Winding,True,263.088,100.395,2.0,132.666,13.0,0.705,0.51,13.813
r_204,Heavy Vehicles Assembly,heavy_vehicle,True,,True,1140.0,893.52,2.0,219.434,7.0,1.665,1.03,15.352
r_205,Heavy Vehicles Automated Manufacturing,heavy_vehicle,False,Heavy Vehicle Assembly,True,1140.0,893.52,2.0,178.451,13.0,1.665,1.03,50.334
r_206,Electric Heavy Vehicles Manufacturing,heavy_vehicle,False,Electric Drivetrain Integration,True,1140.0,891.342,2.0,169.77,13.0,1.035,0.39,62.464
r_207,Heavy Electric Motor,large_engine,False,Motor Winding Automation,True,550.303,355.19,2.0,124.966,13.0,1.17,0.65,53.327
r_208,Sustainable Biomass Production,biomass,False,Energy Crop Cultivation,True,14.135,12.772,1.0,6.102,1.0,0.315,0.31,-7.365
r_209,Strip Farming - Biomass,biomass,True,,True,23.316,52.021,1.0,6.102,1.0,0.81,0.79,-38.408
r_211,Agri Solar Farming - Biomass,biomass,True,,True,9.59,0,1.0,6.102,1.0,0.25,0.25,0.988
r_212,Livestock Farming - Biomass,biomass,True,,True,11.908,1.399,1.0,6.102,1.0,0.51,0.51,1.387
r_213,Aggressive Logging - Biomass,biomass,True,,True,27.27,0,1.0,15.174,3.0,0.3,0.3,7.496
r_214,Sustainable Forestry - Biomass,biomass,False,Sustainable Forestry,True,49.995,0,1.0,15.174,3.0,0.55,0.55,29.721
r_215,Gentle Pruning - Biomass,biomass,True,,True,27.27,0,1.0,15.174,3.0,0.3,0.3,7.496
r_217,Biomass Carbonisation,carbonised_biomass,True,,True,53.298,22.907,14.0,6.963,1.0,0.51,0.42,7.498
r_218,Petroleum Coking,pet_coke,True,,True,54.162,22.386,14.0,7.638,1.0,0.87,0.78,7.488
r_219,Copper Pipe Moulding,copper_pipe,False,Alloy Heat Treatment,True,81.486,36.851,7.0,5.971,1.0,0.645,0.43,29.589
r_220,Copper Pipe Manufacturing,copper_pipe,False,Precision Tube Drawing,True,144.864,38.394,7.0,31.018,7.0,0.96,0.72,59.772
r_221,Deepwater Oil Extraction,crude_oil,False,Dynamic-Positioning Drilling,True,47.97,0,3.0,9.664,2.0,1.35,1.35,30.606
r_222,Subsea Manifold Extraction,crude_oil,False,Subsea Production Systems,True,79.95,0,3.0,9.664,2.0,2.25,2.25,60.786
r_223,Floating Offshore Wind Power,power,False,Floating Offshore Wind Farms,True,67.2,0,0.0,4.16,3.0,0.0,0.0,60.04
r_224,Hydroelectric Power,power,False,hydro,False,22.2,0,0.0,4.16,3.0,0.0,0.0,15.04
r_226,Magnetic Separation Electrolysis,refined_ree,False,Molten Salt Alloy Electrolysis,True,81.606,21.815,24.0,6.931,1.0,0.375,0.29,27.195
r_227,Rudimentary Lithium Refinement,lithium_carbonate,True,,True,59.877,34.77,10.0,5.789,1.0,0.345,0.47,7.503
r_228,Bio Ethylene,ethylene,False,Biomass Cracking,True,107.576,9.545,10.0,19.286,4.0,0.94,2.9,60.905
