recipe_id,recipe,building,primary_output,formula_price,output_ratio,suggested_outputs,current_output_qty,canonical_supply_floor,unrounded_output_qty,suggested_output_qty,output_rounding,output_multiplier,labour_unskilled,labour_skilled,labour_h_skilled,labour_bill,input_bill,energy_bill,maintenance_bill,one_turn_inbound_freight,one_turn_outbound_freight,one_turn_working_inventory_warehouse_reserve,target_profit,planned_pre_tax_cash_after_freight_and_warehouse,target_min,target_max,in_target_band
r_019,Limestone Mining,mine,limestone,0.925,limestone:1,limestone:25,25.0,25.0,25.0,25,unit precision,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.375,0.25,7.5,7.5,5.0,10.0,True
r_020,Flash Copper Smelting,furnace,copper_ingots,2.364,copper_ingots:1,copper_ingots:36,36.0,24.0,35.29,36,approved industrial batch,1.0,937,352,50,7.978,28.287,14.0,1.0,0.57,0.54,1.06,30.0,31.66,20.0,60.0,True
r_022,Fuels Refining,petro_refinery,fuels,2.367,fuels:1,fuels:22,22.0,22.0,22.0,22,unit precision,1.0,756,287,50,6.774,27.881,7.0,1.0,0.3,0.66,0.96,7.5,7.5,5.0,10.0,True
r_023,Ethylene Refining,petro_refinery,ethylene,3.842,ethylene:1,ethylene:13,13.0,13.0,13.0,13,unit precision,1.0,756,287,50,6.774,27.881,7.0,1.0,0.3,0.39,1.6,5.0,5.0,0.0,5.0,True
r_024,Plastics Manufacturing,poly_plant,plastics,5.16,plastics:1,plastics:12,12.0,12.0,12.0,12,unit precision,1.0,553,329,66,7.04,40.34,7.0,1.0,0.3,0.12,1.12,5.0,5.0,0.0,5.0,True
r_025,Basic Oxygen Steelmaking,furnace,steel,1.748,steel:1,steel:35,40.0,48.0,35.402,35,unit precision,0.875,804,302,50,7.072,22.984,14.0,1.0,0.42,0.525,0.87,15.0,14.307,5.0,30.0,True
r_026,Copper Pipe Hot Rolling,furnace,copper_pipe,3.018,copper_pipe:1,copper_pipe:18,18.0,18.0,18.0,18,unit precision,1.0,616,231,50,5.789,32.265,7.0,1.0,0.195,0.27,0.31,7.5,7.5,5.0,10.0,True
r_028,Synthetic Rubber Production,poly_plant,rubber,3.888,rubber:1,rubber:17,17.0,17.0,16.998,17,unit precision,1.0,553,329,66,7.04,41.39,7.0,1.0,0.42,0.17,1.57,7.5,7.506,5.0,10.0,True
r_029,Concrete Firing,furnace,concrete,3.909,concrete:1,concrete:22,22.0,28.0,22.31,22,unit precision,1.0,1078,405,50,8.938,53.744,14.0,1.0,0.825,0.33,0.87,7.5,6.295,5.0,10.0,True
r_030,Electric Concrete Production,eaf,concrete,3.909,concrete:1,concrete:28,28.0,28.0,28.0,28,unit precision,1.0,2158,819,81,17.36,66.166,14.0,2.0,0.96,0.42,1.05,7.5,7.5,5.0,10.0,True
r_031,Direct Reduced Iron Smelting,furnace,iron_ingots,0.974,iron_ingots:1,iron_ingots:80,80.0,70.0,79.32,80,approved industrial batch,1.0,951,357,50,8.07,35.831,14.0,1.0,0.6,1.2,1.6,15.0,15.646,5.0,30.0,True
r_032,Lithium Ion Battery Manufacturing,industrial_factory,lithium_battery,25.0,lithium_battery:1,lithium_battery:6,6.0,6.0,6.605,6,approved industrial batch,1.0,4239,1590,161,33.981,131.541,2.0,7.0,0.27,0.09,0.24,-10.0,-25.122,-50.0,-1.0,True
r_033,Construction Equiment Assembly (ICE),industrial_factory,construction_equipment_ice,34.041,construction_equipment_ice:1,construction_equipment_ice:12,12.0,12.0,12.0,12,unit precision,1.0,7114,2668,270,57.018,332.61,2.0,7.0,1.02,0.36,0.98,7.5,7.5,5.0,10.0,True
r_034,Construction Equipment Assembly (EV),industrial_factory,construction_equipment_ev,32.337,construction_equipment_ev:1,construction_equipment_ev:12,12.0,12.0,12.0,12,unit precision,1.0,6319,2370,240,50.653,296.986,2.0,7.0,0.52,0.36,0.52,30.0,30.0,20.0,60.0,True
r_035,Silica Washing,petro_refinery,silica,2.64,silica:1,silica:13,13.0,13.0,13.0,13,unit precision,1.0,882,335,50,7.638,10.009,7.0,1.0,0.45,0.195,0.53,7.5,7.5,5.0,10.0,True
r_037,Onshore wind generation,onshore_wind_farm,power,0.06,power:1,power:228,228.0,,227.667,228,multiple of 12,1.0,500,100,50,4.16,0,0.0,2.0,0.0,0.0,0.0,7.5,7.52,5.0,10.0,True
r_038,Gas Combined Cycle Turbines,coal_power,power,0.06,power:1,power:430,430.0,,430.23,430,multiple of 5,1.0,500,126,66,4.922,11.152,0.0,2.0,0.12,0.0,0.12,7.5,7.486,5.0,10.0,True
r_039,Lithium Electrolysis,electrolyser,lithium_carbonate,6.653,lithium_carbonate:1,lithium_carbonate:12,9.0,9.0,11.614,12,unit precision,1.333,784,294,50,6.931,32.773,16.0,1.0,0.165,0.18,0.23,20.0,22.557,15.0,25.0,True
r_040,Bayer Process,furnace,alumina,1.924,alumina:1,alumina:30,30.0,30.0,30.0,30,unit precision,1.0,851,319,50,7.386,29.444,14.0,1.0,0.54,0.45,1.3,3.6,3.6,0.0,5.0,True
r_041,Rare Earth Reduction,electrolyser,refined_ree,11.376,refined_ree:1,refined_ree:6,6.0,6.0,6.0,6,unit precision,1.0,915,343,50,7.821,26.236,24.0,1.0,0.45,0.09,1.16,7.5,7.5,5.0,10.0,True
r_042,Bio-Graphitisation,furnace,graphite,9.071,graphite:1,graphite:16,22.0,10.0,15.841,16,unit precision,0.727,682,256,50,6.24,51.394,24.0,1.0,0.3,0.24,0.52,60.0,61.44,30.0,100.0,True
r_044,Silicon Smelting,eaf,metallurgical_silicon,3.528,metallurgical_silicon:1,metallurgical_silicon:20,20.0,20.0,21.044,20,approved industrial batch,1.0,1660,630,62,13.344,36.122,14.0,2.0,0.45,0.3,0.5,7.5,3.844,5.0,10.0,False
r_045,Polysilicon (Siemens) Smelting,chem_plant,polysilicon,24.503,polysilicon:1,polysilicon:3,3.0,3.0,3.0,3,unit precision,1.0,2408,903,91,19.286,18.522,24.0,4.0,0.075,0.045,0.08,7.5,7.501,5.0,10.0,True
r_046,Haber Bosch Process,chem_plant,ammonia,3.533,ammonia:1,ammonia:30,30.0,30.0,29.999,30,unit precision,1.0,2809,1054,107,22.531,51.456,14.0,4.0,0.6,0.9,5.0,7.5,7.503,5.0,10.0,True
r_047,Fertilisers Production,chem_plant,fertilisers,3.302,fertilisers:1,fertilisers:24,24.0,24.0,24.0,24,unit precision,1.0,2809,1054,107,22.531,36.291,7.0,4.0,0.4,0.36,1.16,7.5,7.5,5.0,10.0,True
r_050,Aluminium (Hall Heroult) Smelting,furnace,aluminium,5.498,aluminium:1,aluminium:20,20.0,20.0,20.0,20,unit precision,1.0,851,319,50,7.386,71.369,24.0,1.0,0.42,0.3,0.48,5.0,5.0,0.0,5.0,False
r_051,Desalination,desal,pure_water,0.428,pure_water:8|basic_salt:2|chem_salts:1,pure_water:56|basic_salt:14|chem_salts:7,40.0,48.0,52.323,56,integer ratio batch,1.4,1631,252,50,9.238,0,7.0,1.0,0.0,1.995,1.89,7.5,9.238,5.0,10.0,True
r_053,Industrial Glassmaking,furnace,glass,2.053,glass:1,glass:32,32.0,32.0,32.0,32,unit precision,1.0,1114,418,50,9.178,31.234,14.0,1.0,0.855,0.32,1.61,7.5,7.5,5.0,10.0,True
r_054,High Strength Glassmaking,furnace,glass,2.053,glass:1,glass:32,31.0,32.0,31.921,32,unit precision,1.032,616,231,50,5.789,28.757,14.0,1.0,0.21,0.32,0.46,15.0,15.161,5.0,30.0,True
r_055,uPVC Window Manufacturing,industrial_factory,windows,11.298,windows:1,windows:18,18.0,18.0,18.0,18,unit precision,1.0,6552,2457,248,52.49,133.056,2.0,7.0,0.43,0.27,0.61,7.5,7.5,5.0,10.0,True
r_056,Window Manufacturing,industrial_factory,windows,11.298,windows:1,windows:17,17.0,18.0,16.736,17,unit precision,1.0,6159,2310,293,51.261,118.085,4.0,7.0,0.43,0.255,0.55,7.5,10.477,5.0,10.0,False
r_057,Building Frame Manufacture,assembly_plant,building_frame,14.475,building_frame:1,building_frame:26,26.0,26.0,26.0,26,unit precision,1.0,5208,4631,1559,111.011,240.799,2.0,13.0,0.6,0.78,0.66,7.5,7.5,5.0,10.0,True
r_058,Solar Panel Manufacturing,assembly_plant,solar_panel,30.843,solar_panel:1,solar_panel:8,8.0,8.0,7.962,8,unit precision,1.0,4435,3943,1328,94.541,127.496,2.0,13.0,0.435,0.24,0.37,7.5,8.662,5.0,10.0,True
r_059,Wind Turbine Manufacturing,assembly_plant,wind_turbine,68.621,wind_turbine:1,wind_turbine:3,3.0,3.0,3.0,3,unit precision,1.0,3157,2807,945,67.29,115.724,2.0,13.0,0.13,0.09,0.13,7.5,7.5,5.0,10.0,True
r_060,Durable Perovskite Solar Panels,assembly_plant,solar_panel,30.843,solar_panel:1,solar_panel:11,12.0,8.0,10.523,11,unit precision,0.917,3157,2807,945,67.29,191.527,2.0,13.0,0.18,0.33,0.24,50.0,64.706,40.0,60.0,False
r_061,Segmented Assembly Wind Turbines,assembly_plant,wind_turbine,68.621,wind_turbine:1,wind_turbine:3,3.0,3.0,2.969,3,unit precision,1.0,3157,2807,945,67.29,91.17,2.0,13.0,0.11,0.09,0.11,30.0,32.094,20.0,60.0,True
r_063,Heterojunction Solar Panels,high_tech_manufactory,solar_panel,30.843,solar_panel:1,solar_panel:11,12.0,8.0,11.469,11,unit precision,0.917,2299,2044,686,48.931,242.983,2.0,9.0,0.21,0.33,0.26,50.0,35.558,40.0,60.0,False
r_064,Triple Tandem Solar Panels,high_tech_manufactory,solar_panel,30.843,solar_panel:1,solar_panel:14,15.0,8.0,13.869,14,unit precision,0.933,2447,2176,731,52.112,313.675,2.0,9.0,0.255,0.42,0.31,50.0,54.03,40.0,60.0,True
r_065,SynRM Magnetless Motors,assembly_plant,motor,9.298,motor:1,motor:27,27.0,28.0,27.49,27,unit precision,1.0,4118,3661,1233,87.779,91.604,2.0,13.0,0.28,0.405,0.52,60.0,55.458,30.0,100.0,True
r_066,Axial Flux Motors,assembly_plant,motor,9.298,motor:1,motor:23,28.0,28.0,23.395,23,unit precision,0.821,4034,3587,1208,86.0,100.398,2.0,13.0,0.3,0.345,0.47,15.0,11.34,5.0,30.0,True
r_067,Rubber Vulcanisation,chem_plant,tyres,4.804,tyres:1,tyres:25,25.0,25.0,25.0,25,unit precision,1.0,3383,1269,128,27.104,81.528,2.0,4.0,0.35,0.375,0.54,4.2,4.2,0.0,5.0,True
r_068,Car Body Manufacturing,industrial_factory,car_body,11.071,car_body:1,car_body:14,14.0,14.0,14.0,14,unit precision,1.0,5472,2052,207,43.834,93.369,2.0,7.0,0.435,0.42,0.44,7.5,7.5,5.0,10.0,True
r_069,Lightweight Car Bodies,assembly_plant,car_body,11.071,car_body:1,car_body:20,20.0,14.0,19.894,20,unit precision,1.0,3774,3356,1130,80.454,93.491,2.0,13.0,0.3,0.6,0.41,30.0,31.17,20.0,60.0,True
r_071,ICE Engine Manufacturing,industrial_factory,engine,44.713,engine:1,engine:6,6.0,6.0,6.0,6,unit precision,1.0,7114,2668,270,57.018,193.037,2.0,7.0,0.825,0.18,0.72,7.5,7.5,5.0,10.0,True
r_072,V8 Engine Manufacturing,industrial_factory,engine,44.713,engine:1,engine:5,6.0,6.0,5.166,5,unit precision,0.833,5995,2248,227,48.029,157.576,2.0,7.0,0.66,0.15,0.57,15.0,7.581,5.0,30.0,True
r_073,Large Vehicle Engine Manufacturing,assembly_plant,large_engine,41.196,large_engine:1,large_engine:11,11.0,11.0,11.0,11,unit precision,1.0,5863,5213,1755,124.966,295.483,2.0,13.0,1.29,0.33,1.09,15.0,15.0,5.0,30.0,True
r_074,Hybrid Engine Manufacturing,assembly_plant,engine,44.713,engine:1,engine:7,7.0,6.0,6.995,7,unit precision,1.0,3863,3434,1157,82.352,199.468,2.0,13.0,0.38,0.21,0.37,15.0,15.213,5.0,30.0,True
r_076,Electric Arc Steelmaking,eaf,steel,1.748,steel:1,steel:50,50.0,48.0,51.112,50,approved industrial batch,1.0,1356,515,51,10.915,30.229,14.0,2.0,0.36,0.75,1.06,30.0,28.083,20.0,60.0,True
r_077,HIsarna Steel Making,furnace,steel,1.748,steel:1,steel:45,50.0,48.0,43.179,45,multiple of 5,0.9,820,308,50,7.181,21.145,14.0,1.0,0.45,0.675,1.07,30.0,33.137,20.0,60.0,True
r_078,Methane Pyrolysis,electrolyser,hydrogen,3.3,hydrogen:2|graphite:1,hydrogen:16|graphite:8,16.0,14.0,12.704,16,approved industrial batch,1.0,818,307,50,7.165,44.609,14.0,1.0,0.48,0.6,2.16,30.0,55.354,20.0,60.0,True
r_079,Water Electrolysis,electrolyser,hydrogen,3.3,hydrogen:2|oxygen:1,hydrogen:14|oxygen:7,14.0,14.0,14.417,14,approved industrial batch,1.0,784,294,50,6.931,6.296,24.0,1.0,0.42,0.63,2.52,7.5,6.153,5.0,10.0,True
r_080,Membraneless Electrolysis,electrolyser,hydrogen,3.3,hydrogen:2|oxygen:1,hydrogen:22|oxygen:11,22.0,14.0,21.383,22,approved industrial batch,1.0,784,294,50,6.931,6.296,24.0,1.0,0.42,0.99,3.72,30.0,31.993,20.0,60.0,True
r_081,Fluidised Bed Reactor + CZ Silicon,chem_plant,polysilicon,24.503,polysilicon:1,polysilicon:6,6.0,3.0,5.668,6,approved industrial batch,1.0,2408,903,91,19.286,30.801,24.0,4.0,0.195,0.09,0.51,60.0,68.136,30.0,100.0,True
r_082,Electric Calcination Alumina,chem_plant,alumina,1.924,alumina:1,alumina:54,54.0,30.0,54.151,54,approved industrial batch,1.0,3440,1290,130,27.552,41.98,20.0,4.0,0.6,0.81,1.74,7.5,7.213,5.0,10.0,True
r_083,ELYSIS Aluminium,eaf,aluminium,5.498,aluminium:15|alloy_ingots:1,aluminium:15|alloy_ingots:1,15.0,20.0,17.351,15,integer ratio batch,1.0,1389,528,52,11.178,33.173,20.0,2.0,0.315,0.24,0.37,30.0,16.872,20.0,60.0,False
r_084,Aluminium Direct Carbothermic Electrolysis,eaf,aluminium,5.498,aluminium:1,aluminium:24,23.0,20.0,24.033,24,unit precision,1.043,1322,502,50,10.65,68.4,20.0,2.0,0.285,0.36,0.43,30.0,29.82,20.0,60.0,True
r_087,Nitrogen Air Separation,chem_plant,nitrogen,1.176,nitrogen:1,nitrogen:50,50.0,50.0,50.0,50,multiple of 5,1.0,2408,903,91,19.286,0,14.0,4.0,0.0,1.5,5.0,15.0,15.0,5.0,30.0,True
r_099,Lithium Phosphate Batteries,high_tech_manufactory,lithium_battery,25.0,lithium_battery:1,lithium_battery:8,8.0,6.0,8.247,8,approved industrial batch,1.0,2518,2239,752,53.616,95.719,2.0,9.0,0.285,0.12,0.44,45.0,38.82,30.0,60.0,True
r_101,Alkaline Battery Manufacturing,industrial_factory,alkaline_battery,4.921,alkaline_battery:1,alkaline_battery:24,24.0,24.0,24.0,24,unit precision,1.0,6627,2486,251,53.104,46.799,2.0,7.0,0.66,0.36,0.68,7.5,7.5,5.0,10.0,True
r_102,Sodium Ion Battery Manufacturing,assembly_plant,sodium_battery,15.0,sodium_battery:1,sodium_battery:6,6.0,6.0,8.861,6,approved industrial batch,1.0,3157,2807,945,67.29,22.026,0.2,13.0,0.105,0.09,0.13,30.0,-12.841,20.0,60.0,False
r_105,Water Treatment,water_recycling,pure_water,0.428,pure_water:1,pure_water:120,120.0,48.0,121.44,120,multiple of 12,1.0,1467,224,50,8.445,1.84,2.0,1.0,0.72,3.6,4.32,30.0,29.47,20.0,60.0,True
r_106,Scrap Recycling,eaf,steel,1.748,steel:1,steel:29,27.0,48.0,28.566,29,unit precision,1.074,1485,564,56,11.958,20.16,7.0,2.0,0.36,0.435,0.53,7.5,8.247,5.0,10.0,True
r_107,E-Waste Recycling,recycling_plant,copper_wiring,3.83,copper_wiring:2|rubber:3|aluminium:3|alloy_ingots:3,copper_wiring:2|rubber:3|aluminium:3|alloy_ingots:3,2.0,32.0,2.562,2,integer ratio batch,1.0,1670,630,62,13.376,18.9,2.0,2.0,0.45,0.14,0.41,15.0,3.586,5.0,30.0,False
r_108,Biowaste Recycling,recycling_plant,biomass,0.664,biomass:1,biomass:65,48.0,24.0,65.92,65,multiple of 5,1.354,1670,630,62,13.376,9.45,2.0,2.0,0.3,0.65,0.95,15.0,14.408,5.0,30.0,True
r_114,Hydrochloric Acid Production,industrial_factory,industrial_acids,3.47,industrial_acids:1,industrial_acids:45,45.0,45.0,44.101,45,multiple of 5,1.0,5995,2248,227,48.029,73.09,7.0,7.0,1.08,1.35,8.1,7.5,10.501,5.0,10.0,False
r_115,Sulphuric Acid Production,industrial_factory,industrial_acids,3.47,industrial_acids:1,industrial_acids:30,3.0,45.0,29.567,30,unit precision,10.0,6159,2310,233,49.341,28.868,7.0,7.0,0.825,0.9,3.72,5.0,6.446,0.0,10.0,True
r_116,Generic Acid Production,industrial_factory,industrial_acids,3.47,industrial_acids:1,industrial_acids:36,36.0,45.0,31.362,36,approved industrial batch,1.0,5995,2248,227,48.029,53.06,7.0,7.0,0.72,1.08,5.04,-12.5,2.991,-20.0,-5.0,False
r_117,ICE Car Production,industrial_factory,ice_car,97.876,ice_car:1,ice_car:6,6.0,6.0,6.0,6,unit precision,1.0,6994,2623,265,56.042,505.391,2.0,7.0,0.975,0.18,0.67,15.0,15.0,0.0,30.0,True
r_118,Automated ICE Car Assembly,assembly_plant,ice_car,97.876,ice_car:1,ice_car:9,9.0,6.0,8.576,9,approved industrial batch,1.0,5863,5213,1755,124.966,657.041,2.0,13.0,1.25,0.27,0.87,40.0,81.489,30.0,50.0,False
r_119,EV Assembly,assembly_plant,ev_car,135.774,ev_car:1,ev_car:5,5.0,5.0,5.0,5,unit precision,1.0,5524,4912,1654,117.76,479.739,2.0,13.0,0.72,0.15,0.5,65.0,65.0,30.0,100.0,True
r_120,Basic Circuit Soldering,industrial_factory,circuit_board,14.789,circuit_board:1,circuit_board:12,12.0,12.0,12.0,12,unit precision,1.0,5192,1947,197,41.61,118.567,2.0,7.0,0.285,0.12,0.39,7.5,7.5,5.0,10.0,True
r_121,Circuit Printing,assembly_plant,circuit_board,14.789,circuit_board:1,circuit_board:11,11.0,12.0,11.317,11,unit precision,1.0,3157,2807,945,67.29,54.604,2.0,13.0,0.13,0.11,0.23,30.0,25.319,20.0,60.0,True
r_122,Semiconductor Fabbing,assembly_plant,cpu,70.811,cpu:1,cpu:5,5.0,5.0,4.979,5,unit precision,1.0,3863,3434,1157,82.352,264.532,2.0,13.0,0.285,0.05,0.36,-10.0,-8.524,-50.0,-1.0,True
r_123,Fabless Semiconductors,high_tech_manufactory,cpu,70.811,cpu:1,cpu:4,5.0,5.0,3.997,4,unit precision,0.8,2275,2023,679,48.429,158.339,2.0,9.0,0.125,0.04,0.13,65.0,65.182,30.0,100.0,True
r_124,Semiconductor 3D Printing,high_tech_manufactory,cpu,70.811,cpu:1,cpu:5,5.0,5.0,3.531,5,approved industrial batch,1.0,2275,2023,679,48.429,130.386,2.0,9.0,0.085,0.05,0.11,60.0,163.995,40.0,80.0,False
r_125,Computer Assembly,assembly_plant,computer,51.335,computer:1,computer:9,9.0,9.0,9.0,9,unit precision,1.0,3157,2807,945,67.29,371.792,2.0,13.0,0.13,0.09,0.21,7.5,7.5,5.0,10.0,True
r_126,Electrical Components Production,industrial_factory,electrical_components,11.047,electrical_components:1,electrical_components:12,12.0,12.0,12.0,12,unit precision,1.0,4686,1758,178,37.568,77.735,2.0,7.0,0.245,0.18,0.34,7.5,7.5,5.0,10.0,True
r_127,Precision Electrical Components,high_tech_manufactory,electrical_components,11.047,electrical_components:1,electrical_components:22,21.0,12.0,21.577,22,unit precision,1.048,2784,2475,831,59.261,137.103,2.0,9.0,0.245,0.33,0.44,30.0,34.663,20.0,60.0,True
r_131,Hydrogen Power,coal_power,power,0.06,power:1,power:485,2540.0,,485.193,485,multiple of 5,0.191,500,126,66,4.922,6.93,0.0,2.0,0.06,0.0,0.2,15.0,14.988,5.0,30.0,True
r_132,Alloy Metal Smelting,furnace,alloy_ingots,1.682,alloy_ingots:1,alloy_ingots:30,30.0,30.0,30.0,30,unit precision,1.0,719,270,50,6.493,20.213,14.0,1.0,0.3,0.45,0.5,7.5,7.5,5.0,10.0,True
r_133,Alloy Metal Electrolysis,electrolyser,alloy_ingots,1.682,alloy_ingots:1,alloy_ingots:50,50.0,30.0,50.838,50,multiple of 5,1.0,1023,384,50,8.56,23.521,20.0,1.0,0.45,0.75,1.2,30.0,28.611,20.0,60.0,True
r_134,Alloy Metal Mining,mine,alloy_ore,0.962,alloy_ore:1,alloy_ore:24,24.0,24.0,24.0,24,unit precision,1.0,1806,273,50,10.0,0,3.0,2.0,0.0,0.36,0.24,7.5,7.5,5.0,10.0,True
r_135,Fibreglass Production,industrial_factory,fibreglass,11.693,fibreglass:1,fibreglass:6,6.0,6.0,6.0,6,unit precision,1.0,3831,1437,145,30.694,22.721,2.0,7.0,0.06,0.06,0.12,7.5,7.5,5.0,10.0,True
r_136,Iron Air Batteries,industrial_factory,iron_battery,5.0,iron_battery:1,iron_battery:6,6.0,6.0,12.281,6,approved industrial batch,1.0,3997,1499,152,32.045,15.804,0.5,7.0,0.33,0.09,0.48,5.0,-26.248,0.0,10.0,False
r_145,Offshore Wind Power Generation,offshore_wind_farm,power,0.06,power:1,power:245,245.0,,244.333,245,multiple of 5,1.0,500,100,50,4.16,0,0.0,3.0,0.0,0.0,0.0,7.5,7.54,5.0,10.0,True
r_146,Solar Power Generation,solar_farm,power,0.06,power:1,power:228,228.0,,227.667,228,multiple of 12,1.0,500,100,50,4.16,0,0.0,2.0,0.0,0.0,0.0,7.5,7.52,5.0,10.0,True
r_150,Petroleum Needle Coke Calcination,petro_refinery,graphite,9.071,graphite:1,graphite:10,10.0,10.0,10.0,10,unit precision,1.0,789,300,50,7.005,50.554,24.0,1.0,0.24,0.15,0.26,7.5,7.5,5.0,10.0,True
r_151,Petroleum Needle Coke Power,petro_refinery,power,0.06,power:1,power:680,680.0,,679.191,680,multiple of 5,1.0,756,287,50,6.774,25.277,0.0,1.0,0.12,0.0,0.08,7.5,7.549,5.0,10.0,True
r_154,Coal Liquefaction,chem_plant,fuels,2.367,fuels:1,fuels:31,85.0,22.0,31.177,31,unit precision,0.365,2408,903,91,19.286,11.13,7.0,4.0,0.21,0.93,1.23,30.0,29.592,20.0,60.0,True
r_165,Radial Axial Tire Production,industrial_factory,tyres,4.804,tyres:1,tyres:40,36.0,25.0,38.846,40,multiple of 5,1.111,6850,2569,260,54.902,113.142,2.0,7.0,0.625,0.6,0.87,7.5,13.016,0.0,15.0,True
r_175,PVC Polymerisation,poly_plant,pvc,5.548,pvc:1,pvc:16,16.0,16.0,16.0,16,unit precision,1.0,736,438,88,9.376,60.184,7.0,1.0,0.78,0.16,2.76,7.5,7.5,5.0,10.0,True
r_177,Shale Oil Fracking,fracking_oil_well,crude_oil,1.066,crude_oil:1,crude_oil:29,29.0,20.0,29.5,29,unit precision,1.0,1722,266,50,9.664,0,3.0,2.0,0.0,0.87,0.87,15.0,14.497,5.0,30.0,True
r_178,Offshore Oil Extraction,offshore_oil_platform,crude_oil,1.066,crude_oil:1,crude_oil:45,45.0,20.0,44.417,45,multiple of 5,1.0,1722,266,50,9.664,0,3.0,2.0,0.0,1.35,1.35,30.0,30.586,20.0,60.0,True
