recipe_id,display_name,building_id,building_display,buildable,category,required_research,catalysts,maintenance_cost,labour_unskilled,labour_skilled,labour_h_skilled,labour_source,energy_req,input_1,qty_1,input_1_price,input_2,qty_2,input_2_price,input_3,qty_3,input_3_price,input_4,qty_4,input_4_price,input_5,qty_5,input_5_price,input_6,qty_6,input_6_price,output_1,output_qty_1,output_1_price,output_2,output_qty_2,output_2_price,output_3,output_qty_3,output_3_price,output_4,output_qty_4,output_4_price,output_5,output_qty_5,output_5_price,revenue,input_bill,energy_cost,maintenance,labour_cost,net_standalone,rate_unskilled,rate_skilled,rate_h_skilled,grid_buy_price
r_024,Plastics Manufacturing,poly_plant,Polymerisation Refinery,TRUE,Chemistry,,,2,553,329,66,recipe,70,ethylene,10,4.2262,,,,,,,,,,,,,,,,plastics,12,5.676,,,,,,,,,,,,,68.1120,42.2620,8.4000,2.0000,6.6880,8.7620,0.00304,0.00912,0.0304,0.12
r_025,Basic Oxygen Steelmaking,furnace,Furnace,TRUE,Steel Production,Oxygen-Enriched Blast,,2,804,302,50,recipe,140,iron_ingots,16,1.0868,oxygen,3,0.275,limestone,6,1.0175,,,,,,,,,,steel,40,2.0185,,,,,,,,,,,,,80.7400,24.3188,16.8000,2.0000,6.7184,30.9028,0.00304,0.00912,0.0304,0.12
r_026,Copper Pipe Hot Rolling,furnace,Furnace,TRUE,Copper Products,,,2,616,231,50,recipe,70,copper_ingots,13,2.6004,,,,,,,,,,,,,,,,copper_pipe,18,3.3198,,,,,,,,,,,,,59.7564,33.8052,8.4000,2.0000,5.4994,10.0518,0.00304,0.00912,0.0304,0.12
r_028,Synthetic Rubber Production,poly_plant,Polymerisation Refinery,TRUE,Chemistry,,,2,553,329,66,recipe,70,ethylene,10,4.2262,oxygen,4,0.275,,,,,,,,,,,,,rubber,17,4.2768,,,,,,,,,,,,,72.7056,43.3620,8.4000,2.0000,6.6880,12.2556,0.00304,0.00912,0.0304,0.12
r_029,Concrete Firing,furnace,Furnace,TRUE,Building Materials,,,2,1078,405,50,recipe,140,limestone,20,1.0175,pure_water,10,0.4884,silica,10,2.9183,coal,5,0.44,,,,,,,concrete,22,4.3153,,,,,,,,,,,,,94.9366,56.6170,16.8000,2.0000,8.4907,11.0289,0.00304,0.00912,0.0304,0.12
r_030,Electric Concrete Production,eaf,Electric Arc Furnace,TRUE,Building Materials,,,4,2158,819,81,recipe,140,limestone,25,1.0175,pure_water,13,0.4884,silica,13,2.9183,,,,,,,,,,concrete,28,4.3153,,,,,,,,,,,,,120.8284,69.7246,16.8000,4.0000,16.4920,13.8118,0.00304,0.00912,0.0304,0.12
r_031,Direct Reduced Iron Smelting,furnace,Furnace,TRUE,Iron Smelting,Basic Blast Furnaces,,2,951,357,50,recipe,140,iron_ore,30,0.6457,hydrogen,5,3.63,,,,,,,,,,,,,iron_ingots,80,1.0868,,,,,,,,,,,,,86.9440,37.5210,16.8000,2.0000,7.6669,22.9561,0.00304,0.00912,0.0304,0.12
r_032,Lithium Ion Battery Manufacturing,factory,Industrial Goods Factory,TRUE,Batteries,Lithium Battery Storage,,14,4239,1590,161,recipe,20,lithium_carbonate,9,7.3183,electrical_components,3,12.4146,graphite,3,9.9781,alloy_ingots,3,1.8502,,,,,,,lithium_battery,6,27.5,,,,,,,,,,,,,165.0000,138.5934,2.4000,14.0000,32.2818,-22.2752,0.00304,0.00912,0.0304,0.12
r_033,Construction Equiment Assembly (ICE),factory,Industrial Goods Factory,TRUE,Industrial Equipment,,,14,7114,2668,270,recipe,20,steel,12,2.0185,rubber,9,4.2768,plastics,9,5.676,fuels,12,2.6037,motor,20,10.3356,,,,construction_equipment_ice,12,38.5374,,,,,,,,,,,,,462.4488,351.7536,2.4000,14.0000,54.1667,40.1285,0.00304,0.00912,0.0304,0.12
r_034,Construction Equipment Assembly (EV),factory,Industrial Goods Factory,TRUE,Industrial Equipment,Electric Plant & Machinery,,14,6319,2370,240,recipe,20,steel,10,2.0185,rubber,8,4.2768,plastics,8,5.676,lithium_battery,4,27.5,motor,10,10.3356,,,,construction_equipment_ev,12,36.6201,,,,,,,,,,,,,439.4412,313.1634,2.4000,14.0000,48.1202,61.7576,0.00304,0.00912,0.0304,0.12
r_035,Silica Washing,petro_refinery,Petrochemical Refinery,TRUE,Refining,,,2,882,335,50,recipe,70,sand,10,0.5775,pure_water,10,0.4884,,,,,,,,,,,,,silica,13,2.9183,,,,,,,,,,,,,37.9379,10.6590,8.4000,2.0000,7.2565,9.6224,0.00304,0.00912,0.0304,0.12
r_037,Onshore wind generation,onshore_wind_farm,Onshore Wind Farm,TRUE,Power,,,4,500,100,50,recipe,0,,,,,,,,,,,,,,,,,,,power,228,0.11,,,,,,,,,,,,,25.0800,0.0000,0.0000,4.0000,3.9520,17.1280,0.00304,0.00912,0.0304,0.12
r_038,Gas Combined Cycle Turbines,power_plant,Power plant,TRUE,Power,Combined Cycle Turbines,,4,500,126,66,recipe,0,processed_oil,4,2.9205,,,,,,,,,,,,,,,,power,430,0.11,,,,,,,,,,,,,47.3000,11.6820,0.0000,4.0000,4.6755,26.9425,0.00304,0.00912,0.0304,0.12
r_039,Lithium Electrolysis,electrolyser,Electrolyser,TRUE,Electrochemistry,Solid-Oxide Electrolysis,,2,654,1176,1895,recipe,160,lithium_ore,11,3.1218,,,,,,,,,,,,,,,,lithium_carbonate,9,7.3183,,,,,,,,,,,,,65.8647,34.3398,19.2000,2.0000,70.3213,-59.9964,0.00304,0.00912,0.0304,0.12
r_040,Bayer Process,furnace,Furnace,TRUE,Aluminium Smelting,,,2,851,319,50,recipe,140,bauxite_ore,20,1.265,sodium_hydroxide,8,0.88,,,,,,,,,,,,,alumina,30,2.1692,,,,,,,,,,,,,65.0760,32.3400,16.8000,2.0000,7.0163,6.9197,0.00304,0.00912,0.0304,0.12
r_041,Rare Earth Reduction,electrolyser,Electrolyser,TRUE,Electrochemistry,,,2,915,343,50,recipe,240,ree_ore,10,2.09,sodium_hydroxide,5,0.88,chlorine,5,0.792,,,,,,,,,,refined_ree,6,12.8238,,,,,,,,,,,,,76.9428,29.2600,28.8000,2.0000,7.4298,9.4530,0.00304,0.00912,0.0304,0.12
r_042,Bio-Graphitisation,furnace,Furnace,TRUE,Carbon,Biomass Cracking,,2,682,256,50,recipe,240,carbonised_biomass,16,3.2571,ammonia,2,3.8863,,,,,,,,,,,,,graphite,22,9.9781,,,,,,,,,,,,,219.5182,59.8862,28.8000,2.0000,5.9280,122.9040,0.00304,0.00912,0.0304,0.12
r_043,Biomass Compression,bio_chem_plant,,FALSE,Carbon,,,,500,100,50,recipe,20,biomass,2,0.9999,,,,,,,,,,,,,,,,compressed_biomass,1,0,,,,,,,,,,,,,0.0000,1.9998,2.4000,,3.9520,,0.00304,0.00912,0.0304,0.12
r_044,Silicon Smelting,eaf,Electric Arc Furnace,TRUE,Silicon Smelting,,,4,1162,441,50,recipe,140,silica,10,2.9183,coal,20,0.44,,,,,,,,,,,,,metallurgical_silicon,20,3.8808,,,,,,,,,,,,,77.6160,37.9830,16.8000,4.0000,9.0744,9.7586,0.00304,0.00912,0.0304,0.12
r_045,Polysilicon (Siemens) Smelting,chem_plant,Chemical Plant,TRUE,Chemistry,,,8,2408,903,91,recipe,240,metallurgical_silicon,5,3.8808,,,,,,,,,,,,,,,,polysilicon,3,26.9533,,,,,,,,,,,,,80.8599,19.4040,28.8000,8.0000,18.3221,6.3338,0.00304,0.00912,0.0304,0.12
r_046,Haber Bosch Process,chem_plant,Chemical Plant,TRUE,Chemistry,,,8,2809,1054,107,recipe,140,nitrogen,8,1.2936,hydrogen,12,3.63,,,,,,,,,,,,,ammonia,30,3.8863,,,,,,,,,,,,,116.5890,53.9088,16.8000,8.0000,21.4046,16.4756,0.00304,0.00912,0.0304,0.12
r_047,Fertilisers Production,chem_plant,Chemical Plant,TRUE,Chemistry,,,8,2809,1054,107,recipe,70,ammonia,8,3.8863,chem_salts,8,1.1,biomass,4,0.9999,,,,,,,,,,fertilisers,24,13.3804,,,,,,,,,,,,,321.1296,43.8900,8.4000,8.0000,21.4046,239.4350,0.00304,0.00912,0.0304,0.12
r_048,Direct Lithium Extraction,brine_processing_plant,,FALSE,Mineral Mining,,,,500,100,50,recipe,30,chem_salts,3,1.1,pure_water,10,0.4884,,,,,,,,,,,,,lithium_carbonate,1,7.3183,chlorine,1,0.792,,,,,,,,,,8.1103,8.1840,3.6000,,3.9520,,0.00304,0.00912,0.0304,0.12
r_049,Brine Evaporation,brine_processing_plant,,FALSE,Mineral Mining,,,,500,100,50,recipe,30,,,,,,,,,,,,,,,,,,,sulphur,1,1.0582,chem_salts,5,1.1,basic_salt,3,0.55,,,,,,,8.2082,0.0000,3.6000,,3.9520,,0.00304,0.00912,0.0304,0.12
r_050,Aluminium (Hall Heroult) Smelting,furnace,Furnace,TRUE,Aluminium Smelting,,,2,851,319,50,recipe,240,alumina,20,2.1692,graphite,3,9.9781,chem_salts,5,1.1,,,,,,,,,,aluminium,20,6.2601,,,,,,,,,,,,,125.2020,78.8183,28.8000,2.0000,7.0163,8.5674,0.00304,0.00912,0.0304,0.12
r_051,Desalination,desal_plant,Desalination Plant,TRUE,Water,,,2,1631,252,50,recipe,70,,,,,,,,,,,,,,,,,,,pure_water,40,0.4884,basic_salt,10,0.55,chem_salts,5,1.1,,,,,,,30.5360,0.0000,8.4000,2.0000,8.7765,11.3595,0.00304,0.00912,0.0304,0.12
r_053,Industrial Glassmaking,furnace,Furnace,TRUE,Glassmaking,,,2,1114,418,50,recipe,140,sand,30,0.5775,sodium_hydroxide,9,0.88,limestone,9,1.0175,,,,,,,,,,glass,32,2.3133,,,,,,,,,,,,,74.0256,34.4025,16.8000,2.0000,8.7187,12.1044,0.00304,0.00912,0.0304,0.12
r_054,High Strength Glassmaking,furnace,Furnace,TRUE,Glassmaking,High Strength Glassmaking,,2,616,231,50,recipe,140,silica,6,2.9183,alumina,4,2.1692,sulphur,4,1.0582,,,,,,,,,,glass,31,2.3133,,,,,,,,,,,,,71.7123,30.4194,16.8000,2.0000,5.4994,16.9935,0.00304,0.00912,0.0304,0.12
r_055,uPVC Window Manufacturing,industrial_factory,Industrial Goods Factory,TRUE,Building Materials,,,14,6552,2457,248,recipe,20,glass,32,2.3133,pvc,11,6.2458,,,,,,,,,,,,,windows,18,12.6225,,,,,,,,,,,,,227.2050,142.7294,2.4000,14.0000,49.8651,18.2105,0.00304,0.00912,0.0304,0.12
r_056,Window Manufacturing,industrial_factory,Industrial Goods Factory,TRUE,Building Materials,,,14,6159,2310,293,recipe,40,glass,28,2.3133,aluminium,10,6.2601,,,,,,,,,,,,,windows,17,12.6225,,,,,,,,,,,,,214.5825,127.3734,4.8000,14.0000,48.6978,19.7113,0.00304,0.00912,0.0304,0.12
r_057,Building Frame Manufacture,assembly_plant,Assembly Plant,TRUE,Building Materials,,,26,5208,4631,1559,recipe,20,steel,18,2.0185,windows,12,12.6225,copper_pipe,6,3.3198,electrical_components,4,12.4146,,,,,,,building_frame,26,16.1293,,,,,,,,,,,,,419.3618,257.3802,2.4000,26.0000,105.4606,28.1210,0.00304,0.00912,0.0304,0.12
r_058,Solar Panel Manufacturing,assembly_plant,Assembly Plant,TRUE,Solar Panels,,,26,4435,3943,1328,recipe,20,metallurgical_silicon,20,3.8808,electrical_components,3,12.4146,alloy_ingots,4,1.8502,aluminium,2,6.2601,,,,,,,solar_panel,8,33.9273,,,,,,,,,,,,,271.4184,134.7808,2.4000,26.0000,89.8138,18.4238,0.00304,0.00912,0.0304,0.12
r_059,Wind Turbine Manufacturing,assembly_plant,Assembly Plant,TRUE,Wind Turbines,,,26,3157,2807,945,recipe,20,fibreglass,4,12.8909,refined_ree,2,12.8238,motor,2,10.3356,electrical_components,2,12.4146,,,,,,,wind_turbine,3,76.0001,,,,,,,,,,,,,228.0003,122.7116,2.4000,26.0000,63.9251,12.9636,0.00304,0.00912,0.0304,0.12
r_060,Durable Perovskite Solar Panels,assembly_plant,Assembly Plant,TRUE,Solar Panels,Atomic Layer Deposition,,26,3157,2807,945,recipe,20,polysilicon,6,26.9533,electrical_components,1,12.4146,alloy_ingots,2,1.8502,aluminium,1,6.2601,plastics,3,5.676,,,,solar_panel,12,33.9273,,,,,,,,,,,,,407.1276,201.1229,2.4000,26.0000,63.9251,113.6796,0.00304,0.00912,0.0304,0.12
r_061,Segmented Assembly Wind Turbines,assembly_plant,Assembly Plant,TRUE,Wind Turbines,Segmented Blade Assembly,,26,3157,2807,945,recipe,20,fibreglass,2,12.8909,refined_ree,2,12.8238,motor,2,10.3356,electrical_components,2,12.4146,,,,,,,wind_turbine,3,76.0001,,,,,,,,,,,,,228.0003,96.9298,2.4000,26.0000,63.9251,38.7454,0.00304,0.00912,0.0304,0.12
r_062,Carbon Fibre Wind Turbines,high_tech_manufactory,High Tech Manufactory,FALSE,Wind Turbines,,,18,2275,2023,679,recipe,20,fibreglass,2,12.8909,carbon_fibre,2,0,refined_ree,2,12.8238,,,,,,,,,,wind_turbine,5,76.0001,,,,,,,,,,,,,380.0005,51.4294,2.4000,,46.0074,,0.00304,0.00912,0.0304,0.12
r_063,Heterojunction Solar Panels,high_tech_manufactory,High Tech Manufactory,TRUE,Solar Panels,Heterojunction Cell Lines,,18,2299,2044,686,recipe,20,polysilicon,8,26.9533,electrical_components,1,12.4146,alloy_ingots,2,1.8502,aluminium,1,6.2601,plastics,3,5.676,,,,solar_panel,12,33.9273,,,,,,,,,,,,,407.1276,255.0295,2.4000,18.0000,46.4846,85.2135,0.00304,0.00912,0.0304,0.12
r_064,Triple Tandem Solar Panels,high_tech_manufactory,High Tech Manufactory,TRUE,Solar Panels,Tandem Cell Stacking,,18,2447,2176,731,recipe,20,polysilicon,10,26.9533,electrical_components,2,12.4146,alloy_ingots,2,1.8502,aluminium,1,6.2601,refined_ree,2,12.8238,,,,solar_panel,15,33.9273,,,,,,,,,,,,,508.9095,329.9703,2.4000,18.0000,49.5064,109.0328,0.00304,0.00912,0.0304,0.12
r_065,SynRM Magnetless Motors,assembly_plant,Assembly Plant,TRUE,Industrial Equipment,Synchronous Reluctance Drives,,26,4118,3661,1233,recipe,20,steel,6,2.0185,copper_wiring,16,4.213,plastics,3,5.676,,,,,,,,,,motor,27,10.3356,,,,,,,,,,,,,279.0612,96.5470,2.4000,26.0000,83.3902,70.7240,0.00304,0.00912,0.0304,0.12
r_066,Axial Flux Motors,assembly_plant,Assembly Plant,TRUE,Industrial Equipment,Axial Flux Motor Lines,,26,2073,3639,2802,recipe,20,steel,6,2.0185,copper_wiring,12,4.213,refined_ree,3,12.8238,alloy_ingots,3,1.8502,,,,,,,motor,28,10.3356,,,,,,,,,,,,,289.3968,106.6890,2.4000,26.0000,124.6704,29.6374,0.00304,0.00912,0.0304,0.12
r_067,Rubber Vulcanisation,chem_plant,Chemical Plant,TRUE,Vehicle Components,,,8,3383,1269,128,recipe,20,rubber,17,4.2768,sulphur,12,1.0582,,,,,,,,,,,,,tyres,25,6.0115,,,,,,,,,,,,,150.2875,85.4040,2.4000,8.0000,25.7488,28.7347,0.00304,0.00912,0.0304,0.12
r_068,Car Body Manufacturing,factory,Industrial Goods Factory,TRUE,Vehicle Components,,,14,5472,2052,207,recipe,20,steel,20,2.0185,aluminium,7,6.2601,plastics,3,5.676,,,,,,,,,,car_body,14,12.4344,,,,,,,,,,,,,174.0816,101.2187,2.4000,14.0000,41.6419,14.8210,0.00304,0.00912,0.0304,0.12
r_069,Lightweight Car Bodies,assembly_plant,Assembly Plant,TRUE,Vehicle Components,Composite Panel Pressing,,26,3774,3356,1130,recipe,20,steel,12,2.0185,aluminium,6,6.2601,fibreglass,3,12.8909,,,,,,,,,,car_body,20,12.4344,,,,,,,,,,,,,248.6880,100.4553,2.4000,26.0000,76.4317,43.4010,0.00304,0.00912,0.0304,0.12
r_070,Superlightweight Car Bodies,assembly_plant,Assembly Plant,FALSE,Vehicle Components,,,26,3157,2807,945,recipe,20,aluminium,4,6.2601,carbon_fibre,1,0,,,,,,,,,,,,,car_body,4,12.4344,,,,,,,,,,,,,49.7376,25.0404,2.4000,,63.9251,,0.00304,0.00912,0.0304,0.12
r_071,ICE Engine Manufacturing,factory,Industrial Goods Factory,TRUE,Vehicle Components,,,14,7114,2668,270,recipe,20,steel,18,2.0185,copper_wiring,15,4.213,aluminium,9,6.2601,processed_oil,6,2.9205,alkaline_battery,6,6.0423,,,,engine,6,50.4823,,,,,,,,,,,,,302.8938,209.6457,2.4000,14.0000,54.1667,22.6814,0.00304,0.00912,0.0304,0.12
r_072,V8 Engine Manufacturing,factory,Industrial Goods Factory,TRUE,Vehicle Components,Precision Assembly Lines,,14,2968,3273,1460,recipe,20,steel,12,2.0185,aluminium,8,6.2601,processed_oil,8,2.9205,electrical_components,4,12.4146,alkaline_battery,4,6.0423,,,,engine,6,50.4823,,,,,,,,,,,,,302.8938,171.4944,2.4000,14.0000,83.2565,31.7429,0.00304,0.00912,0.0304,0.12
r_073,Large Vehicle Engine Manufacturing,assembly_plant,Assembly Plant,TRUE,Vehicle Components,Heavy Engine Casting,,26,5863,5213,1755,recipe,20,steel,32,2.0185,aluminium,16,6.2601,processed_oil,12,2.9205,electrical_components,6,12.4146,alkaline_battery,8,6.0423,,,,large_engine,11,46.5641,,,,,,,,,,,,,512.2051,322.6256,2.4000,26.0000,118.7181,42.4614,0.00304,0.00912,0.0304,0.12
r_074,Hybrid Engine Manufacturing,assembly_plant,Assembly Plant,TRUE,Vehicle Components,Hybrid Powertrain Integration,,26,3863,3434,1157,recipe,20,aluminium,8,6.2601,circuit_board,2,16.2679,processed_oil,4,2.9205,lithium_battery,2,27.5,motor,6,10.3356,,,,engine,7,50.4823,,,,,,,,,,,,,353.3761,211.3122,2.4000,26.0000,78.2344,35.4295,0.00304,0.00912,0.0304,0.12
r_076,Electric Arc Steelmaking,eaf,Electric Arc Furnace,TRUE,Steel Production,Electric Arc Refining,,4,1356,515,51,recipe,140,iron_ingots,16,1.0868,hydrogen,4,3.63,,,,,,,,,,,,,steel,50,2.0185,,,,,,,,,,,,,100.9250,31.9088,16.8000,4.0000,10.3694,37.8468,0.00304,0.00912,0.0304,0.12
r_077,HIsarna Steel Making,furnace,Furnace,TRUE,Steel Production,Alloy Heat Treatment,,2,820,308,50,recipe,140,iron_ingots,18,1.0868,oxygen,4,0.275,coal,4,0.44,,,,,,,,,,steel,50,2.0185,,,,,,,,,,,,,100.9250,22.4224,16.8000,2.0000,6.8218,52.8808,0.00304,0.00912,0.0304,0.12
r_078,Methane Pyrolysis,electrolyser,Electrolyser,TRUE,Electrochemistry,Methane Pyrolysis,,2,818,307,50,recipe,140,processed_oil,16,2.9205,,,,,,,,,,,,,,,,hydrogen,16,3.63,graphite,8,9.9781,,,,,,,,,,137.9048,46.7280,16.8000,2.0000,6.8066,65.5702,0.00304,0.00912,0.0304,0.12
r_079,Water Electrolysis,electrolyser,Electrolyser,TRUE,Electrochemistry,,,2,784,294,50,recipe,240,pure_water,14,0.4884,,,,,,,,,,,,,,,,hydrogen,14,3.63,oxygen,7,0.275,,,,,,,,,,52.7450,6.8376,28.8000,2.0000,6.5846,8.5228,0.00304,0.00912,0.0304,0.12
r_080,Membraneless Electrolysis,electrolyser,Electrolyser,TRUE,Electrochemistry,Membraneless Electrolysis,,2,784,294,50,recipe,240,pure_water,14,0.4884,,,,,,,,,,,,,,,,hydrogen,22,3.63,oxygen,11,0.275,,,,,,,,,,82.8850,6.8376,28.8000,2.0000,6.5846,38.6628,0.00304,0.00912,0.0304,0.12
r_081,Fluidised Bed Reactor + CZ Silicon,chem_plant,Chemical Plant,TRUE,Chemistry,Czochralski Crystal Growth,,8,2408,903,91,recipe,240,metallurgical_silicon,4,3.8808,industrial_acids,2,3.817,hydrogen,2,3.63,alloy_ingots,1,1.8502,,,,,,,polysilicon,6,26.9533,,,,,,,,,,,,,161.7198,32.2674,28.8000,8.0000,18.3221,74.3303,0.00304,0.00912,0.0304,0.12
r_082,Electric Calcination Alumina,chem_plant,Chemical Plant,TRUE,Aluminium Smelting,,,8,3440,1290,130,recipe,200,bauxite_ore,20,1.265,hydrogen,4,3.63,sodium_hydroxide,6,0.88,,,,,,,,,,alumina,54,2.1692,,,,,,,,,,,,,117.1368,45.1000,24.0000,8.0000,26.1744,13.8624,0.00304,0.00912,0.0304,0.12
