recipe_id,recipe,building_id,tech_rank,primary_output,deployed_output_qty,deployed_labour_unskilled,deployed_labour_skilled,deployed_labour_h_skilled,target_policy,target_profit,target_min,target_max,gross_market_revenue,market_input_bill,grid_power_bill,maintenance_bill,labour_bill,production_margin_before_market_freight,one_turn_inbound_freight,one_turn_outbound_freight,one_turn_working_inventory_warehouse_reserve,cash_before_tax_after_one_turn_freight,cash_before_tax_after_one_turn_freight_and_warehouse,taxes,dividends,net_cash_after_tax_dividends,in_target_after_one_turn_friction_before_tax,freight_assumption
r_011,Water Pumping,water_pump,0,pure_water,48.0,1197,182,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,21.312,0,2.0,1.0,7.178,11.134,0.0,1.44,1.44,9.694,8.254,1.651,1.321,5.283,mine exception,pipe_1_turn
r_012,Chlor-Alkali Process,chem_plant,0,chlorine,66.0,4472,1677,169,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,820.32,43.613,20.0,4.0,35.818,716.89,1.98,3.42,13.16,711.49,698.33,139.666,111.733,446.931,False,pipe_1_turn+rail_1_turn
r_014,Oil Drilling,oil_well,0,crude_oil,20.0,1498,231,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,21.32,0,3.0,1.0,8.611,8.709,0.0,0.6,0.6,8.109,7.509,1.502,1.201,4.806,mine exception,pipe_1_turn
r_015,Bauxite Mining,mine,0,bauxite_ore,20.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.0,0,3.0,2.0,10.0,8.0,0.0,0.3,0.2,7.7,7.5,1.5,1.2,4.8,mine exception,rail_1_turn
r_016,Lithium Mining,mine,0,lithium_ore,8.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,22.704,0,3.0,2.0,10.0,7.704,0.0,0.12,0.08,7.584,7.504,1.501,1.201,4.803,mine exception,rail_1_turn
r_017,Rare Earth Mining,mine,0,ree_ore,12.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,22.8,0,3.0,2.0,10.0,7.8,0.0,0.18,0.12,7.62,7.5,1.5,1.2,4.8,mine exception,rail_1_turn
r_018,Sand Excavation,mine,0,sand,45.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.625,0,3.0,2.0,10.0,8.625,0.0,0.675,0.45,7.95,7.5,1.5,1.2,4.8,mine exception,rail_1_turn
r_019,Limestone Mining,mine,0,limestone,25.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.125,0,3.0,2.0,10.0,8.125,0.0,0.375,0.25,7.75,7.5,1.5,1.2,4.8,mine exception,rail_1_turn
r_020,Flash Copper Smelting,furnace,2,copper_ingots,65.0,937,352,50,rank II default,30.0,20.0,60.0,153.66,92.129,14.0,1.0,7.978,38.553,0.57,0.975,1.35,37.008,35.658,7.132,5.705,22.821,True,pipe_1_turn+rail_1_turn
r_022,Fuels Refining,petro_refinery,0,fuels,22.0,756,287,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,52.074,27.877,7.0,1.0,6.774,9.422,0.3,0.66,0.96,8.462,7.502,1.5,1.2,4.801,True,pipe_1_turn
r_023,Ethylene Refining,petro_refinery,0,ethylene,13.0,756,287,50,ethylene keeps the upper starter margin,5.0,0.0,5.0,49.946,27.877,7.0,1.0,6.774,7.294,0.3,0.39,1.6,6.604,5.004,1.001,0.801,3.203,False,pipe_1_turn
r_024,Plastics Manufacturing,poly_plant,0,plastics,12.0,553,329,66,plastics keeps the upper starter margin,5.0,0.0,5.0,61.92,40.341,7.0,1.0,7.04,6.539,0.3,0.12,1.12,6.119,4.999,1.0,0.8,3.199,True,pipe_1_turn+rail_1_turn
r_025,Basic Oxygen Steelmaking,furnace,1,steel,40.0,804,302,50,rank I default,15.0,5.0,30.0,73.4,35.026,14.0,1.0,7.072,16.302,0.42,0.6,0.92,15.282,14.362,2.872,2.298,9.192,True,pipe_1_turn+rail_1_turn
r_026,Copper Pipe Hot Rolling,furnace,0,copper_pipe,18.0,616,231,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,54.324,32.269,7.0,1.0,5.789,8.267,0.195,0.27,0.31,7.802,7.492,1.498,1.199,4.795,True,rail_1_turn
r_028,Synthetic Rubber Production,poly_plant,0,rubber,17.0,553,329,66,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,81.838,57.141,7.0,1.0,7.04,9.657,0.42,0.17,1.57,9.067,7.497,1.499,1.2,4.798,True,pipe_1_turn+rail_1_turn
r_029,Concrete Firing,furnace,0,concrete,22.0,1078,405,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,86.306,54.044,14.0,1.0,8.938,8.325,0.825,0.33,0.87,7.17,6.3,1.26,1.008,4.032,True,pipe_1_turn+rail_1_turn
r_030,Electric Concrete Production,eaf,0,concrete,28.0,2158,819,81,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,109.844,66.555,14.0,2.0,17.36,9.929,0.96,0.42,1.05,8.549,7.499,1.5,1.2,4.799,True,pipe_1_turn+rail_1_turn
r_031,Direct Reduced Iron Smelting,furnace,1,iron_ingots,400.0,951,357,50,rank I default,15.0,5.0,30.0,395.2,343.99,14.0,1.0,8.07,28.139,0.6,6.0,4.8,21.539,16.739,3.348,2.678,10.713,True,pipe_1_turn+rail_1_turn
r_032,Lithium Ion Battery Manufacturing,industrial_factory,1,lithium_battery,10.0,4239,1590,161,lithium batteries should be deliberately unprofitable,-10.0,-50.0,-1.0,254.11,220.434,2.0,7.0,33.981,-9.305,0.27,0.15,0.28,-9.725,-10.005,0.0,0.0,-10.005,True,rail_1_turn
r_033,Construction Equiment Assembly (ICE),industrial_factory,0,construction_equipment_ice,12.0,7114,2668,270,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,420.408,344.516,2.0,7.0,57.018,9.875,1.02,0.36,0.98,8.495,7.515,1.503,1.202,4.81,True,pipe_1_turn+rail_1_turn
r_034,Construction Equipment Assembly (EV),industrial_factory,2,construction_equipment_ev,12.0,6319,2370,240,rank II default,30.0,20.0,60.0,399.492,308.433,2.0,7.0,50.653,31.406,0.52,0.36,0.52,30.526,30.006,6.001,4.801,19.204,True,rail_1_turn
r_035,Silica Washing,petro_refinery,0,silica,13.0,882,335,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,34.489,10.175,7.0,1.0,7.638,8.676,0.45,0.195,0.53,8.031,7.501,1.5,1.2,4.801,True,pipe_1_turn+rail_1_turn
r_037,Onshore wind generation,onshore_wind_farm,0,power,228.0,500,100,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,13.68,0,0.0,2.0,4.16,7.52,0.0,0.0,0.0,7.52,7.52,1.504,1.203,4.813,True,grid
r_038,Gas Combined Cycle Turbines,coal_power,0,power,430.0,500,126,66,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,25.8,11.151,0.0,2.0,4.922,7.727,0.12,0.0,0.12,7.607,7.487,1.497,1.198,4.792,True,grid+pipe_1_turn
r_039,Lithium Electrolysis,electrolyser,3,lithium_carbonate,9.0,654,1176,1895,lithium electrolysis remains a modest advanced route,20.0,15.0,25.0,143.82,32.779,16.0,1.0,74.022,20.019,0.165,0.135,0.2,19.719,19.519,3.904,3.123,12.492,True,rail_1_turn
r_040,Bayer Process,furnace,0,alumina,30.0,851,319,50,alumina supports the aluminium starter chain,3.6,0.0,5.0,59.16,30.87,14.0,1.0,7.386,5.904,0.54,0.45,1.3,4.914,3.614,0.723,0.578,2.313,True,pipe_1_turn+rail_1_turn
r_041,Rare Earth Reduction,electrolyser,0,refined_ree,6.0,915,343,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,69.948,27.93,24.0,1.0,7.821,9.197,0.45,0.09,1.16,8.657,7.497,1.499,1.2,4.798,True,pipe_1_turn+rail_1_turn
r_042,Bio-Graphitisation,furnace,3,graphite,22.0,682,256,50,rank III default,60.0,30.0,100.0,199.562,108.938,24.0,1.0,6.24,59.384,0.3,0.33,0.58,58.754,58.174,11.635,9.308,37.232,True,pipe_1_turn+rail_1_turn
r_044,Silicon Smelting,eaf,0,metallurgical_silicon,20.0,1162,441,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,36.8,3.206,14.0,2.0,9.552,8.042,0.03,0.3,0.22,7.712,7.492,1.498,1.199,4.795,True,rail_1_turn
r_045,Polysilicon (Siemens) Smelting,chem_plant,0,polysilicon,3.0,2408,903,91,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,64.647,9.66,24.0,4.0,19.286,7.701,0.075,0.045,0.08,7.581,7.501,1.5,1.2,4.8,True,rail_1_turn
r_046,Haber Bosch Process,chem_plant,0,ammonia,30.0,2809,1054,107,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,845.61,791.078,14.0,4.0,22.531,14.0,0.6,0.9,5.0,12.5,7.5,1.5,1.2,4.8,True,pipe_1_turn
r_047,Fertilisers Production,chem_plant,0,fertilisers,24.0,2809,1054,107,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,291.936,248.989,7.0,4.0,22.531,9.416,0.4,0.36,1.16,8.656,7.496,1.499,1.199,4.798,True,pipe_1_turn+rail_1_turn
r_050,Aluminium (Hall Heroult) Smelting,furnace,0,aluminium,20.0,851,319,50,aluminium keeps the upper starter margin,5.0,0.0,5.0,113.82,75.236,24.0,1.0,7.386,6.199,0.42,0.3,0.48,5.479,4.999,1.0,0.8,3.199,True,rail_1_turn
r_051,Desalination,desal,0,pure_water,40.0,1631,252,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,27.76,0,7.0,1.0,9.238,10.522,0.0,1.425,1.35,9.097,7.747,1.549,1.239,4.958,True,pipe_1_turn+rail_1_turn
r_053,Industrial Glassmaking,furnace,0,glass,32.0,1114,418,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,67.296,32.839,14.0,1.0,9.178,10.28,0.855,0.32,1.61,9.105,7.495,1.499,1.199,4.797,True,pipe_1_turn+rail_1_turn
r_054,High Strength Glassmaking,furnace,1,glass,31.0,616,231,50,rank I default,15.0,5.0,30.0,65.193,29.037,14.0,1.0,5.789,15.368,0.21,0.31,0.45,14.848,14.398,2.88,2.304,9.214,True,rail_1_turn
r_055,uPVC Window Manufacturing,industrial_factory,0,windows,18.0,6552,2457,248,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,206.55,136.242,2.0,7.0,52.49,8.819,0.43,0.27,0.61,8.119,7.509,1.502,1.201,4.806,True,rail_1_turn
r_056,Window Manufacturing,industrial_factory,0,windows,17.0,6159,2310,293,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,195.075,121.584,4.0,7.0,51.261,11.23,0.43,0.255,0.55,10.545,9.995,1.999,1.599,6.397,True,rail_1_turn
r_057,Building Frame Manufacture,assembly_plant,0,building_frame,26.0,5208,4631,1559,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,381.238,245.681,2.0,13.0,111.011,9.546,0.6,0.78,0.66,8.166,7.506,1.501,1.201,4.804,True,rail_1_turn
r_058,Solar Panel Manufacturing,assembly_plant,0,solar_panel,8.0,4435,3943,1328,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,211.296,93.206,2.0,13.0,94.541,8.549,0.435,0.24,0.37,7.874,7.504,1.501,1.201,4.802,True,rail_1_turn
r_059,Wind Turbine Manufacturing,assembly_plant,0,wind_turbine,3.0,3157,2807,945,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,207.273,117.134,2.0,13.0,67.29,7.85,0.13,0.09,0.13,7.63,7.5,1.5,1.2,4.8,True,rail_1_turn
r_060,Durable Perovskite Solar Panels,assembly_plant,3,solar_panel,12.0,3157,2807,945,research-unlocked solar panels should be modestly profitable,50.0,40.0,60.0,316.944,173.371,2.0,13.0,67.29,61.284,0.18,0.36,0.25,60.744,60.494,12.099,9.679,38.716,False,rail_1_turn
r_061,Segmented Assembly Wind Turbines,assembly_plant,2,wind_turbine,3.0,3157,2807,945,rank II default,30.0,20.0,60.0,207.273,92.524,2.0,13.0,67.29,32.459,0.11,0.09,0.11,32.259,32.149,6.43,5.144,20.576,True,rail_1_turn
r_063,Heterojunction Solar Panels,high_tech_manufactory,3,solar_panel,12.0,2299,2044,686,research-unlocked solar panels should be modestly profitable,50.0,40.0,60.0,316.944,218.624,2.0,9.0,48.931,38.389,0.21,0.36,0.27,37.819,37.549,7.51,6.008,24.031,False,rail_1_turn
r_064,Triple Tandem Solar Panels,high_tech_manufactory,3,solar_panel,15.0,2447,2176,731,research-unlocked solar panels should be modestly profitable,50.0,40.0,60.0,396.18,283.955,2.0,9.0,52.112,49.113,0.255,0.45,0.32,48.408,48.088,9.618,7.694,30.777,True,rail_1_turn
r_065,SynRM Magnetless Motors,assembly_plant,3,motor,27.0,4118,3661,1233,rank III default,60.0,30.0,100.0,253.692,92.159,2.0,13.0,87.779,58.754,0.28,0.405,0.52,58.069,57.549,11.51,9.208,36.832,True,rail_1_turn
r_066,Axial Flux Motors,assembly_plant,1,motor,28.0,2073,3639,2802,rank I default,15.0,5.0,30.0,263.088,101.84,2.0,13.0,131.232,15.017,0.3,0.42,0.52,14.297,13.777,2.755,2.204,8.817,True,rail_1_turn
r_067,Rubber Vulcanisation,chem_plant,0,tyres,25.0,3383,1269,128,tyres support modest direct integration,4.2,0.0,5.0,136.625,98.051,2.0,4.0,27.104,5.47,0.35,0.375,0.54,4.745,4.205,0.841,0.673,2.691,True,rail_1_turn
r_068,Car Body Manufacturing,industrial_factory,0,car_body,14.0,5472,2052,207,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,158.256,96.618,2.0,7.0,43.834,8.805,0.435,0.42,0.44,7.95,7.51,1.502,1.202,4.806,True,rail_1_turn
r_069,Lightweight Car Bodies,assembly_plant,2,car_body,20.0,3774,3356,1130,rank II default,30.0,20.0,60.0,226.08,95.889,2.0,13.0,80.454,34.736,0.3,0.6,0.41,33.836,33.426,6.685,5.348,21.393,True,rail_1_turn
r_071,ICE Engine Manufacturing,industrial_factory,0,engine,6.0,7114,2668,270,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,275.358,200.116,2.0,7.0,57.018,9.224,0.825,0.18,0.72,8.219,7.499,1.5,1.2,4.799,True,pipe_1_turn+rail_1_turn
r_072,V8 Engine Manufacturing,industrial_factory,1,engine,6.0,2968,3273,1460,rank I default,15.0,5.0,30.0,275.358,163.699,2.0,7.0,87.638,15.02,0.66,0.18,0.58,14.18,13.6,2.72,2.176,8.704,True,pipe_1_turn+rail_1_turn
r_073,Large Vehicle Engine Manufacturing,assembly_plant,1,large_engine,11.0,5863,5213,1755,rank I default,15.0,5.0,30.0,465.641,307.961,2.0,13.0,124.966,17.714,1.29,0.33,1.09,16.094,15.004,3.001,2.401,9.602,True,pipe_1_turn+rail_1_turn
r_074,Hybrid Engine Manufacturing,assembly_plant,1,engine,7.0,3863,3434,1157,rank I default,15.0,5.0,30.0,321.251,202.57,2.0,13.0,82.352,21.329,0.38,0.21,0.37,20.739,20.369,4.074,3.259,13.036,True,pipe_1_turn+rail_1_turn
r_076,Electric Arc Steelmaking,eaf,2,steel,185.0,1356,515,51,rank II default,30.0,20.0,60.0,339.475,276.998,14.0,2.0,10.915,35.561,0.36,2.775,2.41,32.426,30.016,6.003,4.803,19.21,True,pipe_1_turn+rail_1_turn
r_077,HIsarna Steel Making,furnace,2,steel,50.0,820,308,50,rank II default,30.0,20.0,60.0,91.75,37.153,14.0,1.0,7.181,32.416,0.45,0.75,1.12,31.216,30.096,6.019,4.815,19.261,True,pipe_1_turn+rail_1_turn
r_078,Methane Pyrolysis,electrolyser,2,hydrogen,15.0,818,307,50,rank II default,30.0,20.0,60.0,966.284,44.604,14.0,1.0,7.165,899.515,0.48,0.51,2.02,898.525,896.505,179.301,143.441,573.763,False,pipe_1_turn+rail_1_turn
r_079,Water Electrolysis,electrolyser,0,hydrogen,14.0,784,294,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,892.0,6.527,24.0,1.0,6.931,853.542,0.42,0.6,2.42,852.522,850.102,170.02,136.016,544.065,False,pipe_1_turn
r_080,Membraneless Electrolysis,electrolyser,2,hydrogen,22.0,784,294,50,rank II default,30.0,20.0,60.0,1396.0,6.527,24.0,1.0,6.931,1357.542,0.42,0.9,3.42,1356.222,1352.802,270.56,216.448,865.793,False,pipe_1_turn
r_081,Fluidised Bed Reactor + CZ Silicon,chem_plant,3,polysilicon,14.0,2408,903,91,rank III default,60.0,30.0,100.0,301.686,202.948,24.0,4.0,19.286,51.451,0.195,0.21,0.59,51.046,50.456,10.091,8.073,32.292,True,pipe_1_turn+rail_1_turn
r_082,Electric Calcination Alumina,chem_plant,0,alumina,180.0,3440,1290,130,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,354.96,289.59,20.0,4.0,27.552,13.818,0.6,2.7,3.0,10.518,7.518,1.504,1.203,4.812,True,pipe_1_turn+rail_1_turn
r_083,ELYSIS Aluminium,eaf,2,aluminium,15.0,1389,528,52,rank II default,30.0,20.0,60.0,87.047,37.359,20.0,2.0,11.178,16.51,0.315,0.24,0.37,15.955,15.585,3.117,2.494,9.975,False,rail_1_turn
r_084,Aluminium Direct Carbothermic Electrolysis,eaf,2,aluminium,23.0,1322,502,50,rank II default,30.0,20.0,60.0,130.893,69.157,20.0,2.0,10.65,29.086,0.285,0.345,0.42,28.456,28.036,5.607,4.486,17.943,True,rail_1_turn
r_087,Nitrogen Air Separation,chem_plant,1,nitrogen,50.0,2408,903,91,rank I default,15.0,5.0,30.0,58.8,0,14.0,4.0,19.286,21.514,0.0,1.5,5.0,20.014,15.014,3.003,2.402,9.609,True,pipe_1_turn
r_099,Lithium Phosphate Batteries,high_tech_manufactory,2,lithium_battery,8.0,2275,2023,679,lithium batteries should be deliberately unprofitable,-10.0,-50.0,-1.0,203.288,164.634,2.0,9.0,48.429,-20.774,0.225,0.12,0.4,-21.119,-21.519,0.0,0.0,-21.519,True,pipe_1_turn+rail_1_turn
r_101,Alkaline Battery Manufacturing,industrial_factory,0,alkaline_battery,24.0,6627,2486,251,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,131.832,60.522,2.0,7.0,53.104,9.206,0.66,0.36,0.68,8.186,7.506,1.501,1.201,4.804,True,rail_1_turn
r_102,Sodium Ion Battery Manufacturing,assembly_plant,2,sodium_battery,12.0,5863,5213,1755,rank II default,30.0,20.0,60.0,383.46,211.656,2.0,13.0,124.966,31.838,0.93,0.18,0.74,30.728,29.988,5.998,4.798,19.192,True,rail_1_turn
r_105,Water Treatment,water_recycling,2,pure_water,120.0,1467,224,50,rank II default,30.0,20.0,60.0,53.28,2.52,2.0,1.0,8.445,39.315,0.72,3.6,4.32,34.995,30.675,6.135,4.908,19.632,True,pipe_1_turn
r_106,Scrap Recycling,eaf,0,steel,27.0,1485,564,56,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,49.545,20.16,7.0,2.0,11.958,8.427,0.36,0.405,0.51,7.662,7.152,1.43,1.144,4.577,True,rail_1_turn
r_107,E-Waste Recycling,recycling_plant,1,copper_wiring,2.0,1670,630,62,rank I default,15.0,5.0,30.0,44.221,18.9,2.0,2.0,13.376,7.945,0.45,0.14,0.41,7.355,6.945,1.389,1.111,4.445,True,rail_1_turn
r_108,Biowaste Recycling,recycling_plant,1,biomass,48.0,1670,630,62,rank I default,15.0,5.0,30.0,43.632,9.45,2.0,2.0,13.376,16.806,0.3,0.48,0.78,16.026,15.246,3.049,2.439,9.757,True,rail_1_turn
r_114,Hydrochloric Acid Production,industrial_factory,0,industrial_acids,45.0,5995,2248,227,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,1355.445,1185.408,7.0,7.0,48.029,108.008,1.08,1.35,8.1,105.578,97.478,19.496,15.597,62.386,False,pipe_1_turn
r_115,Sulphuric Acid Production,industrial_factory,0,industrial_acids,3.0,6159,2310,233,sulphuric acid should be modestly profitable,5.0,0.0,10.0,90.363,29.137,7.0,7.0,49.341,-2.115,0.825,0.09,1.02,-3.03,-4.05,0.0,0.0,-4.05,False,pipe_1_turn+rail_1_turn
r_116,Generic Acid Production,industrial_factory,0,industrial_acids,29.0,5995,2248,227,generic acid should be deliberately loss-making,-12.5,-20.0,-5.0,873.509,806.4,7.0,7.0,48.029,5.08,0.72,0.87,4.34,3.49,-0.85,0.0,0.0,-0.85,False,pipe_1_turn+rail_1_turn
r_117,ICE Car Production,industrial_factory,0,ice_car,6.0,6994,2623,265,ICE cars should be slightly profitable,15.0,0.0,30.0,613.824,531.958,2.0,7.0,56.042,16.824,0.975,0.18,0.67,15.669,14.999,3.0,2.4,9.599,True,pipe_1_turn+rail_1_turn
r_118,Automated ICE Car Assembly,assembly_plant,2,ice_car,9.0,5863,5213,1755,automated ICE assembly should beat the base recipe margin,40.0,30.0,50.0,920.736,690.15,2.0,13.0,124.966,90.619,1.25,0.27,0.87,89.099,88.229,17.646,14.117,56.467,False,pipe_1_turn+rail_1_turn
r_119,EV Assembly,assembly_plant,1,ev_car,5.0,5524,4912,1654,unlocked EVs can carry larger base profit,65.0,30.0,100.0,702.045,502.908,2.0,13.0,117.76,66.377,0.72,0.15,0.5,65.507,65.007,13.001,10.401,41.604,True,rail_1_turn
r_120,Basic Circuit Soldering,industrial_factory,0,circuit_board,12.0,5192,1947,197,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,177.468,118.572,2.0,7.0,41.61,8.286,0.285,0.12,0.39,7.881,7.491,1.498,1.199,4.794,True,rail_1_turn
r_121,Circuit Printing,assembly_plant,2,circuit_board,11.0,3157,2807,945,rank II default,30.0,20.0,60.0,162.679,51.062,2.0,13.0,67.29,29.328,0.13,0.11,0.23,29.088,28.858,5.772,4.617,18.469,True,rail_1_turn
r_122,Semiconductor Fabbing,assembly_plant,0,cpu,5.0,3863,3434,1157,base CPU production should be deliberately unprofitable,-10.0,-50.0,-1.0,374.955,286.901,2.0,13.0,82.352,-9.298,0.285,0.05,0.36,-9.633,-9.993,0.0,0.0,-9.993,True,pipe_1_turn+rail_1_turn
r_123,Fabless Semiconductors,high_tech_manufactory,2,cpu,5.0,786,1529,4052,unlocked CPU/computer recipes can carry larger base profit,65.0,30.0,100.0,374.955,147.095,2.0,9.0,146.858,70.003,0.125,0.05,0.14,69.828,69.688,13.938,11.15,44.6,True,rail_1_turn
r_124,Semiconductor 3D Printing,high_tech_manufactory,3,cpu,5.0,844,1818,4860,3D semiconductor printing has a controlled advanced margin,60.0,40.0,80.0,374.955,118.275,2.0,9.0,175.674,70.006,0.085,0.05,0.11,69.871,69.761,13.952,11.162,44.647,True,rail_1_turn
r_125,Computer Assembly,assembly_plant,0,computer,9.0,3157,2807,945,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,479.97,389.753,2.0,13.0,67.29,7.928,0.13,0.09,0.21,7.708,7.498,1.5,1.2,4.799,True,rail_1_turn
r_126,Electrical Components Production,industrial_factory,0,electrical_components,12.0,4686,1758,178,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,135.432,80.598,2.0,7.0,37.568,8.266,0.245,0.18,0.34,7.841,7.501,1.5,1.2,4.801,True,rail_1_turn
r_127,Precision Electrical Components,high_tech_manufactory,2,electrical_components,21.0,2784,2475,831,rank II default,30.0,20.0,60.0,237.006,139.272,2.0,9.0,59.261,27.473,0.245,0.315,0.43,26.913,26.483,5.297,4.237,16.949,True,rail_1_turn
r_131,Hydrogen Power,coal_power,1,power,2540.0,500,126,66,rank I default,15.0,5.0,30.0,152.4,130.2,0.0,2.0,4.922,15.278,0.06,0.0,0.2,15.218,15.018,3.004,2.403,9.612,True,grid+pipe_1_turn
r_132,Alloy Metal Smelting,furnace,0,alloy_ingots,30.0,719,270,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,50.46,20.202,14.0,1.0,6.493,8.765,0.3,0.45,0.5,8.015,7.515,1.503,1.202,4.81,True,rail_1_turn
r_133,Alloy Metal Electrolysis,electrolyser,2,alloy_ingots,50.0,1023,384,50,rank II default,30.0,20.0,60.0,84.1,24.402,20.0,1.0,8.56,30.138,0.45,0.75,1.2,28.938,27.738,5.548,4.438,17.752,True,pipe_1_turn+rail_1_turn
r_134,Alloy Metal Mining,mine,0,alloy_ore,24.0,1806,273,50,start-unlocked after freight and warehouse reserve,7.5,5.0,10.0,23.088,0,3.0,2.0,10.0,8.088,0.0,0.36,0.24,7.728,7.488,1.498,1.198,4.792,mine exception,rail_1_turn
