key,file,line,step_id,chapter,field,active,format_args,text
intro.covers[1],price-of-everything-0.1/scripts/tutorial_intro_panel.gd,19,,,bullet,TRUE,,"Power it, lay cables and pipelines, source water and coal"
intro.covers[2],price-of-everything-0.1/scripts/tutorial_intro_panel.gd,20,,,bullet,TRUE,,"Survey, mine, ship, and integrate a supply chain"
step.welcome.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,70,welcome,Welcome,chapter,TRUE,,Welcome
step.welcome.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,71,welcome,Welcome,title,TRUE,,Welcome to Carbon and Capital
step.welcome.paragraphs[0],price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,74,welcome,Welcome,paragraph,TRUE,,"Carbon and Capital is an industrial simulator where you take over a business and expand it, integrating along the way until you are the biggest company in Taralia."
step.welcome.paragraphs[1],price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,75,welcome,Welcome,paragraph,TRUE,,"This tutorial will take you through the basics of buying and constructing buildings, how to feed your furnaces and factories and get your company up and running. It also covers how loans work, how to unlock research, hire advisors and more."
step.welcome.cta,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,77,welcome,Welcome,cta,TRUE,,Begin
step.ui_primer.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,85,ui_primer,Welcome,chapter,TRUE,,Welcome
step.ui_primer.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,86,ui_primer,Welcome,title,TRUE,,Your control panel
step.ui_primer.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,88,ui_primer,Welcome,body,TRUE,,"A quick tour of the screen. The bar along the bottom is your toolkit — each tool has a keyboard shortcut (the letter in brackets). The top bar is your dashboard: money, victory tracks, the briefing with updates and decisions, your advisors and the menu. You end each turn from the bottom-right. Have a look, then press Next."
step.ui_primer.targets[0].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,90,ui_primer,Welcome,target_label,TRUE,,Build (C)
step.ui_primer.targets[1].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,91,ui_primer,Welcome,target_label,TRUE,,Goods list (R)
step.ui_primer.targets[2].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,92,ui_primer,Welcome,target_label,TRUE,,Buildings (L)
step.ui_primer.targets[3].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,93,ui_primer,Welcome,target_label,TRUE,,Overlays (O)
step.ui_primer.targets[4].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,94,ui_primer,Welcome,target_label,TRUE,,Markets (M)
step.ui_primer.targets[5].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,95,ui_primer,Welcome,target_label,TRUE,,Narrative & Politics (N)
step.ui_primer.targets[6].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,96,ui_primer,Welcome,target_label,TRUE,,Research (R)
step.ui_primer.targets[7].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,97,ui_primer,Welcome,target_label,TRUE,,People (P)
step.ui_primer.targets[8].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,98,ui_primer,Welcome,target_label,TRUE,,Empire view (Tab)
step.ui_primer.targets[9].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,99,ui_primer,Welcome,target_label,TRUE,,"Budgets, charts & loans"
step.ui_primer.targets[10].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,100,ui_primer,Welcome,target_label,TRUE,,Victory tracks — five ways to win
step.ui_primer.targets[11].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,101,ui_primer,Welcome,target_label,TRUE,,Briefing — updates & decisions
step.ui_primer.targets[12].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,102,ui_primer,Welcome,target_label,TRUE,,Advisors
step.ui_primer.targets[13].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,103,ui_primer,Welcome,target_label,TRUE,,Encyclopedia (X)
step.ui_primer.targets[14].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,104,ui_primer,Welcome,target_label,TRUE,,Main menu
step.ui_primer.targets[15].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,105,ui_primer,Welcome,target_label,TRUE,,End turn
step.ui_primer.hints[0],price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,108,ui_primer,Welcome,hint,TRUE,,Press G to open the Goods Graph
step.ui_primer.hints[1],price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,109,ui_primer,Welcome,hint,TRUE,,Press X to open the Encyclopedia search bar
step.ui_primer.hints[2],price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,110,ui_primer,Welcome,hint,TRUE,,Press Tab to view your empire at a glance
step.goto_tile.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,119,goto_tile,First Factory,chapter,TRUE,,First Factory
step.goto_tile.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,120,goto_tile,First Factory,title,TRUE,,Find the factory inland
step.goto_tile.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,121,goto_tile,First Factory,body,TRUE,,"Let's begin with your first building. Pan (drag) and zoom (scroll) inland a little to find it — look for the white building; white means an NPC owns it, and this one is up for sale. Click it (the Industrial Goods Factory, the one Vandel Glassworks is selling) to open its tile."
step.build_open.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,133,build_open,First Factory,chapter,TRUE,,First Factory
step.build_open.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,134,build_open,First Factory,title,TRUE,,What would it cost to build one?
step.build_open.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,135,build_open,First Factory,body,TRUE,,"Before you buy, look at the alternative — building a window factory here from scratch. Open the tile's Build menu."
step.build_pick_recipe.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,146,build_pick_recipe,First Factory,chapter,TRUE,,First Factory
step.build_pick_recipe.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,147,build_pick_recipe,First Factory,title,TRUE,,Pick what it will build
step.build_pick_recipe.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,148,build_pick_recipe,First Factory,body,TRUE,,"This is the Build menu. Every building you construct also runs a recipe — you choose it now, and can always change it later. Here's the Industrial Goods Factory: glass + aluminium in, windows out. Click its recipe to price up a build."
step.build_cost.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,159,build_cost,First Factory,chapter,TRUE,,First Factory
step.build_cost.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,160,build_cost,First Factory,title,TRUE,,Building costs more than buying — for now
step.build_cost.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,161,build_cost,First Factory,body,TRUE,"_build_confirm_cost(""b_007"")","Here's the build bill. Constructing this factory from scratch costs roughly £%d — see the construction cost estimate. Buying the one Vandel already built is cheaper today, so we'll do that instead. (Later, once you make these materials yourself, building your own can win.) Press Next — don't confirm the build."
step.build_close_buy.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,169,build_close_buy,First Factory,chapter,TRUE,,First Factory
step.build_close_buy.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,170,build_close_buy,First Factory,title,TRUE,,Buy it instead
step.build_close_buy.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,171,build_close_buy,First Factory,body,TRUE,,"Close the build panel — we won't build one from scratch. Now open this tile's Buildings for sale yourself, where Vandel's factory is up for grabs."
step.buy_factory.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,186,buy_factory,First Factory,chapter,TRUE,,First Factory
step.buy_factory.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,187,buy_factory,First Factory,title,TRUE,,Buy the window factory
step.buy_factory.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,188,buy_factory,First Factory,body,TRUE,,Vandel Glassworks is selling the Industrial Goods Factory on the coast. Open its buildings market and buy it — this factory is where your first supply chain begins.
step.recipes_intro.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,204,recipes_intro,First Factory,chapter,TRUE,,First Factory
step.recipes_intro.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,205,recipes_intro,First Factory,title,TRUE,,Every building runs a recipe
step.recipes_intro.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,206,recipes_intro,First Factory,body,TRUE,,"Here's your factory. It runs one recipe: glass + aluminium in, windows out. That's the whole game in miniature — buildings turn inputs into outputs. But it can't make a thing yet."
step.diagnose_factory.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,215,diagnose_factory,First Factory,chapter,TRUE,,First Factory
step.diagnose_factory.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,216,diagnose_factory,First Factory,title,TRUE,,Why isn't it running?
step.diagnose_factory.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,217,diagnose_factory,First Factory,body,TRUE,,"Read the Diagnostics. The red Power row is the blocker: the factory has no electricity, so it's switched off. That's the first fault to clear — and it's an easy one."
step.lay_cable_factory.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,226,lay_cable_factory,Power,chapter,TRUE,,Power
step.lay_cable_factory.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,227,lay_cable_factory,Power,title,TRUE,,Lay a cable to power it
step.lay_cable_factory.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,228,lay_cable_factory,Power,body,TRUE,,"Power reaches a building over a physical cable network. In the tile panel's Infrastructure row, click the Cables “+” to lay a cable on this tile."
step.lay_cable_source.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,242,lay_cable_source,Power,chapter,TRUE,,Power
step.lay_cable_source.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,243,lay_cable_source,Power,title,TRUE,,Buy the cable materials
step.lay_cable_source.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,244,lay_cable_source,Power,body,TRUE,,Laying a cable needs a few construction materials you don't have on this tile yet. Choose Buy from market to order them and start the cable — that's all it takes to switch the tile on.
step.run_until_running.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,255,run_until_running,Power,chapter,TRUE,,Power
step.run_until_running.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,256,run_until_running,Power,title,TRUE,,End turns until it runs
step.run_until_running.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,257,run_until_running,Power,body,TRUE,,"The cable takes a turn to build, and your glass and aluminium have to ship in from the port — a couple of turns away. Keep pressing End Turn until the factory reads Running."
step.open_mapmodes.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,268,open_mapmodes,Power,chapter,TRUE,,Power
step.open_mapmodes.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,269,open_mapmodes,Power,title,TRUE,,Where do the inputs come from?
step.open_mapmodes.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,270,open_mapmodes,Power,body,TRUE,,Those inputs don't teleport — they ship in from your port. Open the Map Modes menu on the bottom bar to see how.
step.select_logistics.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,281,select_logistics,Power,chapter,TRUE,,Power
step.select_logistics.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,282,select_logistics,Power,title,TRUE,,Switch to Logistics
step.select_logistics.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,283,select_logistics,Power,body,TRUE,,"Pick Logistics. The map redraws to show every shipment in transit — routes, cargo and turns-to-arrival."
step.view_shipment.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,294,view_shipment,Power,chapter,TRUE,,Power
step.view_shipment.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,295,view_shipment,Power,title,TRUE,,Follow the shipment
step.view_shipment.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,296,view_shipment,Power,body,TRUE,,"The view has pulled back to Stoneshore Docks — the port just south of your factory, where your inputs come ashore. The coloured line running inland is your glass and aluminium in transit; the pentagon on it shows turns to arrival. Zoom in (scroll) and hover it to see what's aboard. (No shipment? End a turn and it reappears.)"
step.transport_ports.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,306,transport_ports,Transport,chapter,TRUE,,Transport
step.transport_ports.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,307,transport_ports,Transport,title,TRUE,,Everything moves through a port
step.transport_ports.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,308,transport_ports,Transport,body,TRUE,,"Here's the rule behind that shipment: everything you BUY from the market comes ashore at your nearest port, and everything you SELL leaves through it. Press Tab to see your empire at a glance — the thick gold line runs from your factory to Stoneshore Docks, the hexagon below it. Every leg of that journey costs money per unit moved. Press Tab again to come back, then press Next."
step.transport_redirect_open.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,318,transport_redirect_open,Transport,chapter,TRUE,,Transport
step.transport_redirect_open.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,319,transport_redirect_open,Transport,title,TRUE,,You choose where output goes
step.transport_redirect_open.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,320,transport_redirect_open,Transport,body,TRUE,,Selling to the market is only the default. A building can ship its output anywhere you own a stockpile — that's how you'll feed factories from your own mines later. Open your factory's Output destination.
step.transport_redirect_pick.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,335,transport_redirect_pick,Transport,chapter,TRUE,,Transport
step.transport_redirect_pick.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,336,transport_redirect_pick,Transport,title,TRUE,,Ship the windows overland
step.transport_redirect_pick.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,337,transport_redirect_pick,Transport,body,TRUE,,"Choose 'Ship to another tile', then click a nearby tile on the map — say the sand flats just north-west of your factory. From next turn your windows truck overland to that tile's stockpile instead of sailing out of the docks."
step.transport_pentagon_revert.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,349,transport_pentagon_revert,Transport,chapter,TRUE,,Transport
step.transport_pentagon_revert.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,350,transport_pentagon_revert,Transport,title,TRUE,,Watch it move — then sell to market
step.transport_pentagon_revert.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,351,transport_pentagon_revert,Transport,body,TRUE,,"End Turn and watch the map: a pentagon sets off from your factory, hauling windows overland — and every unit aboard pays for the trip. Distance and transport mode set the price; market trades pay the same way on the port run, priced into every sale. Seen it move? Those windows just pile up over there, so set it to sell to market: open the factory's Output destination again and choose Global market."
step.margin_motivation.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,363,margin_motivation,Integration,chapter,TRUE,,Integration
step.margin_motivation.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,364,margin_motivation,Integration,title,TRUE,,A wafer-thin margin
step.margin_motivation.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,365,margin_motivation,Integration,body,TRUE,"[_good_price_text(""windows""), _good_price_text(""windows"")]","Open Cost to Produce. Making windows from bought-in glass and aluminium costs you close to the £%s the market pays per window — a wafer-thin margin, about as good as if you'd simply bought the finished windows instead. That won't outrun the loan sharks. Integration — making your own inputs so your cost per window drops well BELOW £%s — is how you turn that sliver into a real profit and expand."
step.cost_lesson.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,377,cost_lesson,Integration,chapter,TRUE,,Integration
step.cost_lesson.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,378,cost_lesson,Integration,title,TRUE,,Where the cost goes
step.cost_lesson.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,379,cost_lesson,Integration,body,TRUE,,"Your cost per unit has a few parts: materials, power, labour, maintenance, transport. Two of them you can INTEGRATE — make your own materials and your own power instead of buying them. Labour and maintenance are fixed per building; only modifiers (research, advisors, labour policies) trim those — you can't build them away."
step.analyse_supply.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,388,analyse_supply,Integration,chapter,TRUE,,Integration
step.analyse_supply.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,389,analyse_supply,Integration,title,TRUE,,Know your supply chain
step.analyse_supply.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,390,analyse_supply,Integration,body,TRUE,,"Before you build, understand the chain. This factory needs GLASS and ALUMINIUM. To integrate, you'll make one of those yourself — but first, let's look up how they're made."
step.explore_encyclopedia.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,399,explore_encyclopedia,Integration,chapter,TRUE,,Integration
step.explore_encyclopedia.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,400,explore_encyclopedia,Integration,title,TRUE,,Look it up in the Encyclopedia
step.explore_encyclopedia.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,401,explore_encyclopedia,Integration,body,TRUE,,"This is the Encyclopedia — press X any time to open it. Search 'glass' (made in a Furnace from sand, and there's sand on your board) and 'aluminium' (smelted in a Furnace). Have a look, then press Next."
step.close_encyclopedia.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,410,close_encyclopedia,Integration,chapter,TRUE,,Integration
step.close_encyclopedia.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,411,close_encyclopedia,Integration,title,TRUE,,Close the Encyclopedia
step.close_encyclopedia.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,412,close_encyclopedia,Integration,body,TRUE,,Press Esc to close any panel — like the Encyclopedia. That clears the map so you can build.
step.revenue_settle.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,424,revenue_settle,Money,chapter,TRUE,,Money
step.revenue_settle.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,425,revenue_settle,Money,title,TRUE,,Watch the shipment sell
step.revenue_settle.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,426,revenue_settle,Money,body,TRUE,,"Your output is on its way to market, but revenue only lands when it arrives. Keep pressing End Turn and watch the shipment travel; this step will continue as soon as the sale goes through."
step.money_open.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,438,money_open,Money,chapter,TRUE,,Money
step.money_open.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,439,money_open,Money,title,TRUE,,Where the money actually goes
step.money_open.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,440,money_open,Money,body,TRUE,,"Your factory is earning. Before you spend any of it, learn to read the books — every decision from here is really a question about this panel. Click your balance in the top-left corner to open it."
step.money_primer.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,451,money_primer,Money,chapter,TRUE,,Money
step.money_primer.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,452,money_primer,Money,title,TRUE,,Reading the books
step.money_primer.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,454,money_primer,Money,body,TRUE,,"Every pound in and out, each turn. Revenue is what your goods sold for. OPERATING COSTS is your maintenance plus wages — the standing cost of simply owning the place, which you pay whether it produces or not. Everything below that is itemised: power bought, transport, goods purchased, warehousing, interest, tax and dividends. Net last turn is the whole lot netted off. For the full ledger, open Balance."
step.money_primer.targets[0].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,456,money_primer,Money,target_label,TRUE,,Everything you have to spend right now
step.money_primer.targets[1].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,457,money_primer,Money,target_label,TRUE,,Last turn's profit — revenue minus every cost below
step.money_primer.targets[2].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,458,money_primer,Money,target_label,TRUE,,"Full itemised ledger, if you want the detail"
step.money_primer.targets[3].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,459,money_primer,Money,target_label,TRUE,,Borrow against future earnings
step.money_primer.hints[0],price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,462,money_primer,Money,hint,TRUE,,Revenue minus costs is the number that decides whether you're winning
step.money_primer.hints[1],price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,463,money_primer,Money,hint,TRUE,,Press Esc to close any panel
step.money_take_loan.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,475,money_take_loan,Money,chapter,TRUE,,Money
step.money_take_loan.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,476,money_take_loan,Money,title,TRUE,,Borrow to grow
step.money_take_loan.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,477,money_take_loan,Money,body,TRUE,"[TUTORIAL_LOAN_AMOUNT, TUTORIAL_LOAN_AMOUNT]","Waiting to save up is the slowest way to play. Borrow £%d for the integration you are about to build. Press Take loan — that opens the Loans tab — then set the amount to £%d and confirm. Nothing is locked while you do it, so take your time."
step.money_loan_terms.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,492,money_loan_terms,Money,chapter,TRUE,,Money
step.money_loan_terms.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,493,money_loan_terms,Money,title,TRUE,,What you just signed
step.money_loan_terms.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,494,money_loan_terms,Money,body,TRUE,"[ EconomyConfig.LOAN_GRACE_TURNS, EconomyConfig.LOAN_TERM_TURNS, int(round(EconomyConfig.LOAN_INTEREST_RATE * 100.0))]","Borrowed. Nothing is due for the first %d turns — that's your grace period, and it's the window to turn the money into something that earns. After it, the loan converts and you repay over %d turns, with interest of %d%% across the term. Plan for the repayment landing before it starts, not after."
step.buy_land.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,507,buy_land,Integration,chapter,TRUE,,Integration
step.buy_land.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,508,buy_land,Integration,title,TRUE,,Buy the land to build on
step.buy_land.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,509,buy_land,Integration,body,TRUE,"[ _land_lesson_shortfall(), int(MatchState.LAND_PATCH_COST), MatchState.LAND_PATCH_SIZE]","One more thing before you build: every building needs land YOU own. Your factory came with its own plot, but a furnace or smelter needs room of its own. On the factory tile's land rail, click Buy Land and buy at least %d — land is cheap (£%d per %d units), and the bracket on the size chart shows what you own."
step.choose_integration.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,525,choose_integration,Integration,chapter,TRUE,,Integration
step.choose_integration.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,526,choose_integration,Integration,title,TRUE,,Two ways integration pays
step.choose_integration.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,527,choose_integration,Integration,body,TRUE,"_recipe_input_qty(""r_056"", ""glass"")","Pick one to make yourself. GLASS is your biggest input — %d units per window run — and cheaper to make than to buy, so integrating it flips you into profit. That's the play, and research can push it further. Or ALUMINIUM, the smaller input: a smelter makes more than you need and the surplus sells each turn — a taste of a new revenue line, though glass is where the real money is."
step.choose_integration.choices[0].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,531,choose_integration,Integration,choice_label,TRUE,,Cut costs: make glass
step.choose_integration.choices[1].label,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,532,choose_integration,Integration,choice_label,TRUE,,New income: make aluminium
step.build_glass_open.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,539,build_glass_open,Integration · Margin,chapter,TRUE,,Integration · Margin
step.build_glass_open.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,540,build_glass_open,Integration · Margin,title,TRUE,,Build a glass furnace
step.build_glass_open.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,541,build_glass_open,Integration · Margin,body,TRUE,,"Build the furnace right here, on your factory's own tile. Making glass on-site means it's consumed where it's made — no shipping, no wobbling market top-up, a flat input bill. One catch: glassmaking needs a hazardous liquid the docks pipe in — we'll sort that out. Open the build tile and click Build."
step.build_glass_recipe.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,555,build_glass_recipe,Integration · Margin,chapter,TRUE,,Integration · Margin
step.build_glass_recipe.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,556,build_glass_recipe,Integration · Margin,title,TRUE,,Pick Industrial Glassmaking
step.build_glass_recipe.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,557,build_glass_recipe,Integration · Margin,body,TRUE,,A Furnace can make lots of things — click the highlighted Industrial Glassmaking recipe.
step.build_glass_confirm.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,568,build_glass_confirm,Integration · Margin,chapter,TRUE,,Integration · Margin
step.build_glass_confirm.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,569,build_glass_confirm,Integration · Margin,title,TRUE,,Confirm the build
step.build_glass_confirm.body,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,570,build_glass_confirm,Integration · Margin,body,TRUE,,The panel prices the furnace up on this tile. Press Confirm to start construction right here.
step.build_glass_source.chapter,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,581,build_glass_source,Integration · Margin,chapter,TRUE,,Integration · Margin
step.build_glass_source.title,price-of-everything-0.1/scripts/tutorial/tutorial_steps.gd,582,build_glass_source,Integration · Margin,title,TRUE,,Buy the build materials
