id,nickname,type,deposits,solar_potential,wind_potential,build_capacity,buildings_present,tile_price,infrastructure_present,has_river,river_type,road_type,road_hsms,road_density,city_id,city_name,tile_role,road_seed
tile_3_15,Blackfarm Old Quarter,urban,,,,200,,,cables,false,,,,,,,,
tile_3_16,,sea,,,,200,,,,false,,,,,,,,
tile_3_17,Blackfarm Coast,rural,,,,200,,,cables,false,,,,,,,,
tile_3_18,Holyfinger Shore - West,rural,,,,200,,,cables,false,,,,,,,,
tile_3_19,Holyfinger Shore - Southwest,rural,,,,200,,,cables,false,,,,,,,,
tile_3_20,,sea,,,,200,,,,false,,,,,,,,
tile_4_1,,sea,,,,200,,,,false,,,,,,,,
tile_4_2,Shoulderland Beach,hill,sand(1000),,,200,,,cables,false,,,,,,,,
tile_4_3,Pepper Valley Meadows,rural,,,,200,,,cables,false,,,,,,,,
tile_4_4,Prado's Valley,rural,water,,,200,,,cables,true,river_single_225,,,,,,,
tile_4_5,Amber River Valley,rural,water,,,200,,,cables,true,river_single_071,,,,,,,
tile_4_6,,rural,,,,200,,,cables,false,,,,,,,,
tile_4_7,,sea,,,,200,,,,false,,,,,,,,
tile_4_8,Crying Shore Coast,rural,,,,200,,,roads|cables,false,,through,HSM2|HSM4,sparse,,,through,4008
tile_4_9,Stoneshore,urban,,,,200,,,roads|cables,false,,city_beltway,HSM1|HSM2,dense,stoneshore,Stoneshore,city,4009
tile_4_10,Stoneshore Old Quarter,urban,,,,200,,,roads|cables,false,,city_beltway,,dense,stoneshore,Stoneshore,city,4010
tile_4_11,,sea,,,,200,,,,false,,,,,,,,
tile_4_12,,sea,,,,200,,,,false,,,,,,,,
tile_4_13,,rural,limestone,,,200,,,,false,,,,,,,,
tile_4_14,,rural,,,,200,,,,false,,,,,,,,
tile_4_15,Blackfarm Beach,rural,shale_oil,,,200,,,cables,false,,,,,,,,
tile_4_16,,sea,,,,200,,,,false,,,,,,,,
tile_4_17,Holyfinger Coast,rural,,,,200,,,cables,false,,,,,,,,
tile_4_18,Holyfinger Beach,rural,,,,200,,,cables,false,,,,,,,,
tile_4_19,,sea,,,,200,,,,false,,,,,,,,
tile_4_20,,sea,,,,200,,,,false,,,,,,,,
tile_5_1,,sea,,,,200,,,,false,,,,,,,,
tile_5_2,Shoulderland Coast,mountain,,,,200,,,,false,,,,,,,,
tile_5_3,Shoulderland Hills - Southwest,hill,bauxite_ore,,,200,,,cables,false,,,,,,,,
tile_5_4,Pepper Valley,urban,,,,200,,,cables,false,,,,,,,,
tile_5_5,Seasalt Flats,rural,water,,,200,,,cables,true,river_single_144,,,,,,,
tile_5_6,Pepper Valley Fields,rural,,,,200,,,cables,false,,,,,,,,
tile_5_7,,rural,sand(3000),,,200,,,,false,,,,,,,,
tile_5_8,Crying Shore Beach,rural,basic_salt(5000),,,200,,,roads|cables,false,,finger_junction,HSM2|HSM4|HSM5,sparse,,,junction,5008
tile_5_9,Stoneshore Fields,rural,,,,200,,,roads,false,,finger_junction,HSM1|HSM2|HSM5,sparse,,,junction,5009
tile_5_10,Stoneshore Docks,urban,,,,200,,,roads|cables,false,,city_beltway,HSM2,dense,stoneshore,Stoneshore Docks,city,5010
tile_5_11,,sea,,,,200,,,,false,,,,,,,,
tile_5_12,,sea,,,,200,,,,false,,,,,,,,
tile_5_13,,rural,sulphur,,,200,,,,false,,,,,,,,
tile_5_14,Fort Silversworth Docks,urban,,,,200,,,cables,false,,,,,,,,
tile_5_15,,sea,,,,200,,,,false,,,,,,,,
tile_5_16,,hill,,,,200,,,,false,,,,,,,,
tile_5_17,Holyfinger Shore - Northeast,rural,basic_salt(2000),,,200,,,cables,false,,,,,,,,
tile_5_18,Holyfinger Shore - East,rural,,,,200,,,cables,false,,,,,,,,
tile_5_19,,sea,,,,200,,,,false,,,,,,,,
tile_5_20,,sea,,,,200,,,,false,,,,,,,,
tile_6_1,Shoulderland Shore - Northeast,mountain,alloy_ore,,,200,,,,false,,,,,,,,
tile_6_2,Shoulderland Heights,hill,,,,200,,,cables,false,,,,,,,,
tile_6_3,Shoulderland Hills - Southeast,hill,,,,200,,,cables,false,,,,,,,,
tile_6_4,Pepper Valley Farmlands,rural,,,,200,,,cables,false,,,,,,,,
tile_6_5,Pepper Valley Lanes,urban,water,,,200,,,cables,true,river_single_150,,,,,,,
tile_6_6,,rural,,,,200,,,cables,false,,,,,,,,
tile_6_7,,rural,,,,200,,,roads,false,,dead_end,HSM5,sparse,,,dead_end,6007
tile_6_8,,hill,coal(2000),,,200,,,roads,false,,through,HSM2|HSM5,sparse,,,through,6008
tile_6_9,Stoneshore Coast,rural,water,,,200,,,roads|cables,true,river_single_068,finger_junction,HSM2|HSM3|HSM5,sparse,,,junction,6009
tile_6_10,,sea,,,,200,,,,false,,,,,,,,
tile_6_11,,sea,,,,200,,,,false,,,,,,,,
tile_6_12,Fort Silversworth Works,urban,,,,200,,,cables,false,,,,,,,,
tile_6_13,Fort Silversworth,urban,,,,200,,,cables,false,,,,,,,,
tile_6_14,Fort Silversworth Old Quarter,urban,,,,200,,,cables,false,,,,,,,,
tile_6_15,Peatsfield Shore - Northwest,hill,coal|bauxite_ore(2000),,,200,,,cables,false,,,,,,,,
tile_6_16,Peatsfield Heights,hill,,,,200,,,cables,false,,,,,,,,
tile_6_17,Holyfinger Shore - Centre,rural,,,,200,,,cables,false,,,,,,,,
tile_6_18,,sea,,,,200,,,,false,,,,,,,,
tile_6_19,,urban,,,,200,,,,false,,,,,,,,
tile_6_20,,sea,,,,200,,,,false,,,,,,,,
tile_7_1,,mountain,,,,200,,,,false,,,,,,,,
tile_7_2,Slate Mountain Arc,mountain,iron_ore,,,200,,,,false,,,,,,,,
tile_7_3,Klades Bourne Heights,hill,,,,200,,,cables,false,,,,,,,,
tile_7_4,,rural,coal,,,200,,,cables,false,,,,,,,,
tile_7_5,,rural,,,,200,,,cables,false,,,,,,,,
tile_7_6,,rural,water,,,200,,,cables,true,river_single_075,,,,,,,
tile_7_7,,urban,,,,200,,,,false,,,,,,,,
tile_7_8,,rural,water,,,200,,,roads,true,river_single_068,through,HSM3|HSM5,sparse,,,through,7008
tile_7_9,,rural,water,,,200,,,roads,true,river_single_059,through,HSM2|HSM5,sparse,,,through,7009
tile_7_10,Snare Harbour Coast,rural,iron_ore(4000),,,200,,,roads,false,,through,HSM3|HSM6,sparse,,,through,7010
tile_7_11,Snare Harbour,urban,,,,200,,,cables,false,,,,,,,,
tile_7_12,Snare Harbour Beach,rural,ree_ore(500)|water,,,200,,,cables,true,river_single_075,,,,,,,
tile_7_13,,hill,,,,200,,,,false,,,,,,,,
tile_7_14,,hill,,,,200,,,,false,,,,,,,,
tile_7_15,Peatsfield Fields,rural,,,,200,,,cables,false,,,,,,,,
tile_7_16,Peatsfield Coast,rural,sand|sulphur|shale_oil(2000),,,200,,,cables,false,,,,,,,,
tile_7_17,Peatsfield Beach,rural,,,,200,,,cables,false,,,,,,,,
tile_7_18,,sea,,,,200,,,,false,,,,,,,,
tile_7_19,,rural,,,,200,,,,false,,,,,,,,
tile_7_20,,sea,,,,200,,,,false,,,,,,,,
tile_8_1,Klades Bourne Coast,mountain,,,,200,,,,false,,,,,,,,
tile_8_2,Slate Mountain Summit,mountain,water,,,200,,,,true,river_source_005,,,,,,,
tile_8_3,Klades Bourne Hills - South,hill,water,,,200,,,cables,true,river_single_008,,,,,,,
tile_8_4,,hill,coal|water,,,200,,,cables,true,river_single_008,,,,,,,
tile_8_5,,urban,water,,,200,,,,true,river_single_009,,,,,,,
tile_8_6,,rural,,,,200,,,cables,false,,,,,,,,
tile_8_7,Chainsholme Valley,rural,water,,,200,,,,true,river_single_069,,,,,,,
tile_8_8,Silkstown Fields,rural,,,,200,,,roads|cables,false,,through,HSM5|HSM6,sparse,,,through,8008
tile_8_9,,rural,water,,,200,,,,true,river_single_068,,,,,,,
tile_8_10,Reed River Ford,rural,water,,,200,,,roads,true,river_single_058,dead_end,HSM6,sparse,,,dead_end,8010
tile_8_11,Bramble River Valley,rural,water,,,200,,,cables,true,river_single_059,,,,,,,
tile_8_12,,hill,copper_ore(5000),,,200,,,,false,,,,,,,,
tile_8_13,,hill,,,,200,,,,false,,,,,,,,
tile_8_14,Arin Hold Heights,hill,,,,200,,,cables,false,,,,,,,,
tile_8_15,Arin Hold Coast,hill,iron_ore,,,200,,,cables,false,,,,,,,,
tile_8_16,,sea,,,,200,,,,false,,,,,,,,
tile_8_17,,sea,,,,200,,,,false,,,,,,,,
tile_8_18,,sea,,,,200,,,,false,,,,,,,,
tile_8_19,,sea,,,,200,,,,false,,,,,,,,
tile_8_20,,deep_sea,,,,200,,,,false,,,,,,,,
tile_9_1,,sea,,,,200,,,,false,,,,,,,,
tile_9_2,Klades Bourne Beach,mountain,,,,200,,,,false,,,,,,,,
tile_9_3,Slate Mountain - Southeast,mountain,copper_ore,,,200,,,,false,,,,,,,,
tile_9_4,,mountain,alloy_ore,,,200,,,,false,,,,,,,,
tile_9_5,,hill,,,,200,,,cables,false,,,,,,,,
tile_9_6,,hill,limestone|water,,,200,,,cables,true,river_single_068,,,,,,,
tile_9_7,Chainsholme,rural,water,,,200,,,cables,true,river_joint_004,,,,,,,
tile_9_8,Silkstown,urban,water,,,200,,,cables,true,river_single_058,,,,,,,
tile_9_9,Greyroad,urban,water,,,200,,,cables,true,river_single_059,,,,,,,
tile_9_10,Pebble Ridge Heights,hill,copper_ore,,,200,,,cables,false,,,,,,,,
tile_9_11,Green Flats Commons,rural,,,,200,,,cables,false,,,,,,,,
tile_9_12,Green Flats Fields,rural,,,,200,,,,false,,,,,,,,
tile_9_13,Green Flats Farmlands,rural,,,,200,,,,false,,,,,,,,
tile_9_14,Mire River Valley,rural,water,,,200,,,,true,river_single_068,,,,,,,
tile_9_15,Larch River Valley,rural,water,,,200,,,cables,true,river_single_052,,,,,,,
tile_9_16,Arin City Highgate,urban,,,,200,,,cables,false,,,,,,,,
tile_9_17,,sea,,,,200,,,,false,,,,,,,,
tile_9_18,Arin City Millgate,urban,,,,200,,,,false,,,,,,,,
tile_9_19,,sea,,,,200,,,,false,,,,,,,,
tile_9_20,,deep_sea,,,,200,,,,false,,,,,,,,
tile_10_1,,mountain,ree_ore,,,200,,,,false,,,,,,,,
tile_10_2,,hill,,,,200,,,cables,false,,,,,,,,
tile_10_3,Lightning Bourne,urban,water,,,200,,,cables,true,river_single_197,,,,,,,
tile_10_4,,mountain,water,,,200,,,,true,river_source_010,,,,,,,
tile_10_5,,hill,water,,,200,,,cables,true,river_single_059,,,,,,,
tile_10_6,Ember Mountain - West,mountain,,,,200,,,,false,,,,,,,,
tile_10_7,Silkstown Heights,hill,,,,200,,,,false,,,,,,,,
tile_10_8,Pale Mountain Summit,mountain,coal|copper_ore(1000),,,200,,,cables,false,,,,,,,,
tile_10_9,Pale Mountain Arc,mountain,,,,200,,,,false,,,,,,,,
tile_10_10,,rural,water,,,200,,,,true,river_single_068,,,,,,,
tile_10_11,Reed River Bend,rural,water,,,200,,,cables,true,river_single_058,,,,,,,
tile_10_12,Reed River Valley,rural,water,,,200,,,,true,river_single_058,,,,,,,
tile_10_13,Bramble River Bend,rural,water,,,200,,,,true,river_single_059,,,,,,,
tile_10_14,,hill,,,,200,,,,false,,,,,,,,
tile_10_15,,rural,water,,,200,,,,true,river_single_353,,,,,,,
tile_10_16,Arin City Old Quarter,urban,,,,200,,,cables,false,,,,,,,,
tile_10_17,Arin City Docks,urban,,,,200,,,cables,false,,,,,,,,
tile_10_18,Arin City The Wharf,urban,,,,200,,,,false,,,,,,,,
tile_10_19,,sea,,,,200,,,,false,,,,,,,,
tile_10_20,,deep_sea,,,,200,,,,false,,,,,,,,
tile_11_1,,mountain,,,,200,,,,false,,,,,,,,
tile_11_2,,rural,water,,,200,,,cables,true,river_single_198,,,,,,,
tile_11_3,,rural,water,,,200,,,cables,true,river_single_271,,,,,,,
tile_11_4,Storm Mountain Summit,mountain,iron_ore|ree_ore(2000)|water,,,200,,,cables,true,river_source_019,,,,,,,
tile_11_5,Ember Mountain Summit,mountain,,,,200,,,,false,,,,,,,,
tile_11_6,Kindling Mountains Heights,hill,water,,,200,,,cables,true,river_single_068,,,,,,,
tile_11_7,Kindling Mountains Hills - South,hill,water,,,200,,,cables,true,river_single_052,,,,,,,
tile_11_8,Pebble Valley Fields,rural,,,,200,,,cables,false,,,,,,,,
tile_11_9,,rural,,,,200,,,,false,,,,,,,,
tile_11_10,Otter River Bend,rural,water,,,200,,,cables,true,river_single_069,,,,,,,
tile_11_11,Green Flats Pastures,rural,,,,200,,,,false,,,,,,,,
tile_11_12,Green Flats,urban,,,,200,,,cables,false,,,,,,,,
tile_11_13,Green Flats Meadows,rural,,,,200,,,,false,,,,,,,,
tile_11_14,,hill,,,,200,,,,false,,,,,,,,
tile_11_15,,rural,,,,200,,,,false,,,,,,,,
tile_11_16,Arin City Industrial Zone,urban,water,,,200,,,cables,true,river_single_359,,,,,,,
tile_11_17,Arin City,urban,water,,,200,,,cables,true,river_single_058,,,,,Arin Estuary Docks,,
tile_11_18,,sea,,,,200,,,,false,,,,,,,,
tile_11_19,,sea,crude_oil(2000),,,200,,,,false,,,,,,,,
tile_11_20,,sea,,,,200,,,,false,,,,,,,,
tile_12_1,Extra Test,mountain,iron_ore|coal,,,200,,,,false,,,,,,,,
tile_12_2,Miney McMineface,rural,water,0,0.8,200,mine1|mine2|furnace,15,roads|railways|cables,true,river_single_347,,,,,,,
tile_12_3,Thistle River Valley,rural,water,,,200,,,cables,true,river_single_278,,,,,,,
tile_12_4,Lightning Bourne Heights,hill,limestone,,,200,,,cables,false,,,,,,,,
tile_12_5,Ember Mountain Lake,mountain,coal|ree_ore|water,,,200,,,,true,river_source_007,,,,,,,
tile_12_6,Ember Mountain - Southeast,mountain,,,,200,,,,false,,,,,,,,
tile_12_7,,hill,water,,,200,,,,true,river_single_347,,,,,,,
tile_12_8,Copperstown Old Quarter,urban,,,,200,,,cables,false,,,,,,,,
tile_12_9,Copperstown Edge,urban,water,,,200,,,cables,true,river_joint_022,,,,,,,
tile_12_10,,rural,water,,,200,,,,true,river_single_052,,,,,,,
tile_12_11,,hill,,,,200,,,,false,,,,,,,,
tile_12_12,,rural,,,,200,,,,false,,,,,,,,
tile_12_13,,rural,,,,200,,,,false,,,,,,,,
tile_12_14,Tomash Heights,hill,coal(2000),,,200,,,cables,false,,,,,,,,
tile_12_15,Tomash Coast,hill,,,,200,,,,false,,,,,,,,
tile_12_16,Arin City Foundry,urban,,,,200,,,cables,false,,,,,,,,
tile_12_17,Arin City Market Row,urban,limestone(5000),,,200,,,cables,false,,,,,,,,
tile_12_18,,sea,,,,200,,,,false,,,,,,,,
tile_12_19,,deep_sea,,,,200,,,,false,,,,,,,,
tile_12_20,,deep_sea,,,,200,,,,false,,,,,,,,
tile_13_1,,sea,,,,200,,,,false,,,,,,,,
tile_13_2,Port Lightning Old Quarter,urban,water,,,200,,,cables,true,river_single_278,,,,,,,
tile_13_3,,rural,,,,200,,,cables,false,,,,,,,,
tile_13_4,Sable River Reach,rural,water,,,200,,,cables,true,river_single_353,,,,,,,
tile_13_5,Lightning Bourne Hills - Southeast,hill,,,,200,,,cables,false,,,,,,,,
tile_13_6,,hill,,,,200,,,cables,false,,,,,,,,
tile_13_7,,hill,ree_ore|water,,,200,,,,true,river_single_272,,,,,,,
tile_13_8,,hill,limestone,,,200,,,,false,,,,,,,,
tile_13_9,Copperstown,urban,water,,,200,,,cables,true,river_single_069,,,,,,,
tile_13_10,,hill,,,,200,,,,false,,,,,,,,
tile_13_11,,rural,water,,,200,,,,true,river_single_359,,,,,,,
tile_13_12,,rural,water,,,200,,,,true,river_single_058,,,,,,,
tile_13_13,,rural,water,,,200,,,,true,river_single_052,,,,,,,
tile_13_14,Tomash Hills - Northeast,hill,copper_ore|alloy_ore(500),,,200,,,cables,false,,,,,,,,
tile_13_15,Tomash,urban,,,,200,,,cables,false,,,,,,,,
tile_13_16,,sea,,,,200,,,,false,,,,,,,,
tile_13_17,,sea,,,,200,,,,false,,,,,,,,
tile_13_18,,sea,,,,200,,,,false,,,,,,,,
tile_13_19,,deep_sea,,,,200,,,,false,,,,,,,,
tile_13_20,,deep_sea,,,,200,,,,false,,,,,,,,
tile_14_1,,sea,,,,200,,,,false,,,,,,,,
tile_14_2,Port Lightning,urban,water,,,200,,,cables,true,river_single_346,,,,,,,
tile_14_3,Port Lightning Heights,urban,,,,200,,,cables,false,,,,,,,,
tile_14_4,,hill,water,,,200,,,cables,true,river_single_347,,,,,,,
tile_14_5,Arinnal Commons,rural,,,,200,,,cables,false,,,,,,,,
tile_14_6,Arinnal,urban,water,,,200,,,cables,true,river_single_272,,,,,,,
tile_14_7,,hill,,,,200,,,,false,,,,,,,,
tile_14_8,,hill,water,,,200,,,,true,river_single_069,,,,,,,
tile_14_9,Copperstown Works,urban,,,,200,,,cables,false,,,,,,,,
tile_14_10,Grey Peaks Heights,hill,,,,200,,,cables,false,,,,,,,,
tile_14_11,Grey Mountain - Southwest,mountain,copper_ore,,,200,,,,false,,,,,,,,
tile_14_12,,hill,,,,200,,,,false,,,,,,,,
tile_14_13,Sable River Mouth,rural,water,,,200,,,cables,true,river_single_353,,,,,,,
tile_14_14,New Tegan Shore - West,rural,,,,200,,,,false,,,,,,,,
tile_14_15,,sea,,,,200,,,,false,,,,,,,,
tile_14_16,,sea,,,,200,,,,false,,,,,,,,
tile_14_17,Lighthaven,urban,,,,200,,,cables,false,,,,,,,,
tile_14_18,Lighthaven Docks,urban,,,,200,,,cables,false,,,,,,,,
tile_14_19,,sea,,,,200,,,,false,,,,,,,,
tile_14_20,,sea,,,,200,,,,false,,,,,,,,
tile_15_1,,sea,,,,200,,,,false,,,,,,,,
tile_15_2,Port Lightning Industrial Zone,urban,,,,200,,,cables,false,,,,,,,,
tile_15_3,,hill,iron_ore,,,200,,,cables,false,,,,,,,,
tile_15_4,,hill,coal|water,,,200,,,cables,true,river_single_272,,,,,,,
tile_15_5,Arinnal Fields,rural,limestone,,,200,,,cables,false,,,,,,,,
tile_15_6,Thistle River Bend,rural,water,,,200,,,cables,true,river_single_278,,,,,,,
tile_15_7,,hill,,,,200,,,,false,,,,,,,,
tile_15_8,,hill,water,,,200,,,,true,river_single_069,,,,,,,
tile_15_9,Grey Mountain Arc,mountain,iron_ore,,,200,,,,false,,,,,,,,
tile_15_10,Grey Mountain Summit,mountain,,,,200,,,,false,,,,,,,,
tile_15_11,Tegan Valley Meadows,rural,basic_salt,,,200,,,cables,false,,,,,,,,
tile_15_12,Tegan Valley Farmlands,rural,,,,200,,,cables,false,,,,,,,,
tile_15_13,Tegan Valley Commons,rural,basic_salt,,,200,,,cables,false,,,,,,,,
tile_15_14,New Tegan,urban,water,,,200,,,cables,true,river_single_353,,,,,,,
tile_15_15,,sea,,,,200,,,,false,,,,,,,,
tile_15_16,Lighthaven Beach,hill,,,,200,,,,false,,,,,,,,
tile_15_17,Lighthaven Coast,hill,,,,200,,,,false,,,,,,,,
tile_15_18,Lighthaven Shore - Southeast,hill,,,,200,,,,false,,,,,,,,
tile_15_19,,sea,,,,200,,,,false,,,,,,,,
tile_15_20,,sea,,,,200,,,,false,,,,,,,,
tile_16_1,,hill,,,,200,,,cables,false,,,,,,,,
tile_16_2,,hill,,,,200,,,cables,false,,,,,,,,
tile_16_3,Bright Valley,rural,water,,,200,,,cables,true,river_single_272,,,,,,,
tile_16_4,Arinnal Meadows,rural,basic_salt,,,200,,,cables,false,,,,,,,,
tile_16_5,Arinnal Heights,hill,,,,200,,,cables,false,,,,,,,,
tile_16_6,Sable River Valley,rural,water,,,200,,,cables,true,river_single_353,,,,,,,
tile_16_7,,hill,water,,,200,,,,true,river_single_144,,,,,,,
tile_16_8,Snowhaven,mountain,water,,,200,,,,true,river_source_003,,,,,,,
tile_16_9,Cloudcut,mountain,alloy_ore,,,200,,,,false,,,,,,,,
tile_16_10,Hardmound,hill,iron_ore|bauxite_ore,,,200,,,cables,false,,,,,,,,
tile_16_11,Tegan Valley Fields,rural,,,,200,,,cables,false,,,,,,,,
tile_16_12,,rural,,,,200,,,,false,,,,,,,,
tile_16_13,,hill,iron_ore,,,200,,,,false,,,,,,,,
tile_16_14,New Tegan Coast,rural,water,,,200,,,cables,true,river_joint_070,,,,,,,
tile_16_15,New Tegan Beach,rural,water,,,200,,,,true,river_single_052,,,,,,,
tile_16_16,,rural,,,,200,,,,false,,,,,,,,
tile_16_17,,hill,,,,200,,,,false,,,,,,,,
tile_16_18,,rural,,,,200,,,,false,,,,,,,,
tile_16_19,,urban,,,,200,,,,false,,,,,,,,
tile_16_20,,sea,,,,200,,,,false,,,,,,,,
tile_17_1,Bald Mountain,mountain,,,,200,,,cables,false,,,,,,,,
tile_17_2,Queens Blood Fields,rural,,,,200,,,cables,false,,,,,,,,
tile_17_3,Kitt Valley,rural,water,,,200,,,cables,true,river_single_279,,,,,,,
tile_17_4,Deepdean,rural,basic_salt|water,,,200,,,cables,true,river_joint_001,,,,,,,
tile_17_5,Goat Valley,rural,water,,,200,,,cables,true,river_single_002,,,,,,,
tile_17_6,Arinnal Farmlands,rural,limestone,,,200,,,cables,false,,,,,,,,
tile_17_7,Sable River Bend,rural,basic_salt|water,,,200,,,cables,true,river_single_353,,,,,,,
tile_17_8,Artists Quarter,urban,water,,,200,,,cables,true,river_joint_059,,,,,,,
tile_17_9,Stonestream,hill,,,,200,,,,false,,,,,,,,
tile_17_10,Patransland Heights,hill,,,,200,,,cables,false,,,,,,,,
tile_17_11,Spruce Hills,hill,,,,200,,,cables,false,,,,,,,,
tile_17_12,Tegan Valley Pastures,rural,basic_salt,,,200,,,cables,false,,,,,,,,
tile_17_13,,hill,,,,200,,,,false,,,,,,,,
tile_17_14,,hill,,,,200,,,,false,,,,,,,,
tile_17_15,,rural,water,,,200,,,,true,river_single_347,,,,,,,
tile_17_16,,rural,water,,,200,,,,true,river_single_353,,,,,,,
tile_17_17,Ashmouth Fields,rural,,,,200,,,,false,,,,,,,,
tile_17_18,Ashmouth Beach,rural,,,,200,,,,false,,,,,,,,
tile_17_19,,sea,,,,200,,,,false,,,,,,,,
tile_17_20,,deep_sea,,,,200,,,,false,,,,,,,,
tile_18_1,Red Mountain Arc,mountain,alloy_ore,,,200,,,,false,,,,,,,,
tile_18_2,Leathertown Hills - West,hill,bauxite_ore,,,200,,,cables,false,,,,,,,,
tile_18_3,Leathertown,urban,,,,200,,,cables,false,,,,,,,,
tile_18_4,Jagged Peaks,mountain,water,,,200,,,,true,river_source_008,,,,,,,
tile_18_5,Sable River Ford,rural,water,,,200,,,cables,true,river_single_353,,,,,,,
tile_18_6,,mountain,alloy_ore(2000),,,200,,,,false,,,,,,,,
tile_18_7,Patran City Old Quarter,urban,water,,,200,,,cables,true,river_merge_001,,,,,,,
tile_18_8,Patran City,urban,,,,200,,,cables,false,,,,,,,,
tile_18_9,Patran City Works,urban,,,,200,,,cables,false,,,,,,,,
tile_18_10,Green Peaks,hill,copper_ore,,,200,,,cables,false,,,,,,,,
tile_18_11,Teganfort Hills - Northwest,hill,coal,,,200,,,,false,,,,,,,,
tile_18_12,Teganfort Heights,hill,,,,200,,,,false,,,,,,,,
tile_18_13,Teganfort Hills - Southwest,hill,,,,200,,,,false,,,,,,,,
tile_18_14,Teganfort Industrial Zone,urban,water,,,200,,,cables,true,river_single_272,,,,,,,
tile_18_15,,rural,,,,200,,,,false,,,,,,,,
tile_18_16,Ashmouth,urban,water,,,200,,,cables,true,river_single_359,,,,,,,
tile_18_17,Reed River Reach,rural,water,,,200,,,cables,true,river_single_058,,,,,,,
tile_18_18,Ashmouth Coast,rural,bauxite_ore(500)|crude_oil|water,,,200,,,cables,true,river_single_058,,,,,,,
tile_18_19,,sea,,,,200,,,,false,,,,,,,,
tile_18_20,,deep_sea,,,,200,,,,false,,,,,,,,
tile_19_1,Silver Mountain,mountain,,,,200,,,,false,,,,,,,,
tile_19_2,Leathertown Heights,hill,bauxite_ore,,,200,,,cables,false,,,,,,,,
