recipe_id,display_name,building_id,input_1,qty_1,input_2,qty_2,input_3,qty_3,input_4,qty_4,input_5,qty_5,input_6,qty_6,energy_req,output_1,output_qty_1,output_2,output_qty_2,output_3,output_qty_3,output_4,output_qty_4,output_5,output_qty_5,requirements,pollution_output,pollution_sensitivity,category,terminal_turns,required_research,labour_unskilled_required,labour_skilled_required,labour_h_skilled_required,catalysts
r_029,Concrete Firing,furnace,limestone,20,pure_water,10,silica,10,coal,5,,,,,140,concrete,22,,,,,,,,,,,,Building Materials,,,1078,405,50,
r_030,Electric Concrete Production,eaf,limestone,25,pure_water,13,silica,13,,,,,,,140,concrete,28,,,,,,,,,,,,Building Materials,,,2158,819,81,
r_031,Direct Reduced Iron Smelting,furnace,iron_ore,30,hydrogen,5,,,,,,,,,140,iron_ingots,80,,,,,,,,,,,,Iron Smelting,,Basic Blast Furnaces,951,357,50,
r_032,Lithium Ion Battery Manufacturing,factory,lithium_carbonate,9,electrical_components,3,graphite,3,alloy_ingots,3,,,,,20,lithium_battery,6,,,,,,,,,,,,Batteries,,Lithium Battery Storage,4239,1590,161,
r_033,Construction Equiment Assembly (ICE),factory,steel,12,rubber,9,plastics,9,fuels,12,motor,20,,,20,construction_equipment_ice,12,,,,,,,,,,,,Industrial Equipment,,,7114,2668,270,
r_034,Construction Equipment Assembly (EV),factory,steel,10,rubber,8,plastics,8,lithium_battery,4,motor,10,,,20,construction_equipment_ev,12,,,,,,,,,,,,Industrial Equipment,,Electric Plant & Machinery,6319,2370,240,
r_035,Silica Washing,petro_refinery,sand,10,pure_water,10,,,,,,,,,70,silica,13,,,,,,,,,,,,Refining,,,882,335,50,
r_037,Onshore wind generation,onshore_wind_farm,,,,,,,,,,,,,0,power,228,,,,,,,,,,,,Power,,,500,100,50,
r_038,Gas Combined Cycle Turbines,power_plant,processed_oil,4,,,,,,,,,,,0,power,430,,,,,,,,,,,,Power,,,500,126,66,
r_039,Lithium Electrolysis,electrolyser,lithium_ore,11,,,,,,,,,,,160,lithium_carbonate,9,,,,,,,,,,,,Electrochemistry,,Solid-Oxide Electrolysis,654,1176,1895,
r_040,Bayer Process,furnace,bauxite_ore,20,sodium_hydroxide,8,,,,,,,,,140,alumina,30,,,,,,,,,,,,Aluminium Smelting,,,851,319,50,
r_041,Rare Earth Reduction,electrolyser,ree_ore,10,sodium_hydroxide,5,chlorine,5,,,,,,,240,refined_ree,6,,,,,,,,,,,,Electrochemistry,,,915,343,50,
r_042,Bio-Graphitisation,furnace,carbonised_biomass,16,ammonia,2,,,,,,,,,240,graphite,22,,,,,,,,,,,,Carbon,,Biomass Cracking,682,256,50,
r_043,Biomass Compression,bio_chem_plant,biomass,2,,,,,,,,,,,20,compressed_biomass,1,,,,,,,,,,,,Carbon,,,500,100,50,
r_044,Silicon Smelting,eaf,silica,10,coal,20,,,,,,,,,140,metallurgical_silicon,20,,,,,,,,,,,,Silicon Smelting,,,1162,441,50,
r_045,Polysilicon (Siemens) Smelting,chem_plant,metallurgical_silicon,5,,,,,,,,,,,240,polysilicon,3,,,,,,,,,hydrogen,,,Chemistry,,,2408,903,91,
r_046,Haber Bosch Process,chem_plant,nitrogen,8,hydrogen,12,,,,,,,,,140,ammonia,30,,,,,,,,,,,,Chemistry,,,2809,1054,107,
r_047,Fertilisers Production,chem_plant,ammonia,8,chem_salts,8,biomass,4,,,,,,,70,fertilisers,24,,,,,,,,,,,,Chemistry,,,2809,1054,107,
r_048,Direct Lithium Extraction,brine_processing_plant,chem_salts,3,pure_water,10,,,,,,,,,30,lithium_carbonate,1,chlorine,1,,,,,,,brine_deposit,,,Mineral Mining,,,500,100,50,
r_049,Brine Evaporation,brine_processing_plant,,,,,,,,,,,,,30,sulphur,1,chem_salts,5,basic_salt,3,,,,,brine_deposit,,,Mineral Mining,,,500,100,50,
r_050,Aluminium (Hall Heroult) Smelting,furnace,alumina,20,graphite,3,chem_salts,5,,,,,,,240,aluminium,20,,,,,,,,,,,,Aluminium Smelting,,,851,319,50,
r_051,Desalination,desal_plant,,,,,,,,,,,,,70,pure_water,40,basic_salt,10,chem_salts,5,,,,,,,,Water,,,1631,252,50,
r_053,Industrial Glassmaking,furnace,sand,30,sodium_hydroxide,9,limestone,9,,,,,,,140,glass,32,,,,,,,,,,,,Glassmaking,,,1114,418,50,
r_054,High Strength Glassmaking,furnace,silica,6,alumina,4,sulphur,4,,,,,,,140,glass,31,,,,,,,,,,,,Glassmaking,,High Strength Glassmaking,616,231,50,
r_055,uPVC Window Manufacturing,industrial_factory,glass,32,pvc,11,,,,,,,,,20,windows,18,,,,,,,,,,,,Building Materials,,,6552,2457,248,
r_056,Window Manufacturing,industrial_factory,glass,28,aluminium,10,,,,,,,,,40,windows,17,,,,,,,,,,,,Building Materials,,,6159,2310,293,
r_057,Building Frame Manufacture,assembly_plant,steel,18,windows,12,copper_pipe,6,electrical_components,4,,,,,20,building_frame,26,,,,,,,,,,,,Building Materials,,,5208,4631,1559,
r_058,Solar Panel Manufacturing,assembly_plant,metallurgical_silicon,20,electrical_components,3,alloy_ingots,4,aluminium,2,,,,,20,solar_panel,8,,,,,,,,,,,,Solar Panels,,,4435,3943,1328,
r_059,Wind Turbine Manufacturing,assembly_plant,fibreglass,4,refined_ree,2,motor,2,electrical_components,2,,,,,20,wind_turbine,3,,,,,,,,,,,,Wind Turbines,,,3157,2807,945,
r_060,Durable Perovskite Solar Panels,assembly_plant,polysilicon,6,electrical_components,1,alloy_ingots,2,aluminium,1,plastics,3,,,20,solar_panel,12,,,,,,,,,,,,Solar Panels,,Atomic Layer Deposition,3157,2807,945,
r_061,Segmented Assembly Wind Turbines,assembly_plant,fibreglass,2,refined_ree,2,motor,2,electrical_components,2,,,,,20,wind_turbine,3,,,,,,,,,,,,Wind Turbines,,Segmented Blade Assembly,3157,2807,945,
r_062,Carbon Fibre Wind Turbines,high_tech_manufactory,fibreglass,2,carbon_fibre,2,refined_ree,2,,,,,,,20,wind_turbine,5,,,,,,,,,,,,Wind Turbines,,,2275,2023,679,
r_063,Heterojunction Solar Panels,high_tech_manufactory,polysilicon,8,electrical_components,1,alloy_ingots,2,aluminium,1,plastics,3,,,20,solar_panel,12,,,,,,,,,,,,Solar Panels,,Heterojunction Cell Lines,2299,2044,686,
r_064,Triple Tandem Solar Panels,high_tech_manufactory,polysilicon,10,electrical_components,2,alloy_ingots,2,aluminium,1,refined_ree,2,,,20,solar_panel,15,,,,,,,,,,,,Solar Panels,,Tandem Cell Stacking,2447,2176,731,
r_065,SynRM Magnetless Motors,assembly_plant,steel,6,copper_wiring,16,plastics,3,,,,,,,20,motor,27,,,,,,,,,,,,Industrial Equipment,,Synchronous Reluctance Drives,4118,3661,1233,
r_066,Axial Flux Motors,assembly_plant,steel,6,copper_wiring,12,refined_ree,3,alloy_ingots,3,,,,,20,motor,28,,,,,,,,,,,,Industrial Equipment,,Axial Flux Motor Lines,2073,3639,2802,
r_067,Rubber Vulcanisation,chem_plant,rubber,17,sulphur,12,,,,,,,,,20,tyres,25,,,,,,,,,,,,Vehicle Components,,,3383,1269,128,
r_068,Car Body Manufacturing,factory,steel,20,aluminium,7,plastics,3,,,,,,,20,car_body,14,,,,,,,,,,,,Vehicle Components,,,5472,2052,207,
r_069,Lightweight Car Bodies,assembly_plant,steel,12,aluminium,6,fibreglass,3,,,,,,,20,car_body,20,,,,,,,,,,,,Vehicle Components,,Composite Panel Pressing,3774,3356,1130,
r_070,Superlightweight Car Bodies,assembly_plant,aluminium,4,carbon_fibre,1,,,,,,,,,20,car_body,4,,,,,,,,,,,,Vehicle Components,,,3157,2807,945,
r_071,ICE Engine Manufacturing,factory,steel,18,copper_wiring,15,aluminium,9,processed_oil,6,alkaline_battery,6,,,20,engine,6,,,,,,,,,,,,Vehicle Components,,,7114,2668,270,
r_072,V8 Engine Manufacturing,factory,steel,12,aluminium,8,processed_oil,8,electrical_components,4,alkaline_battery,4,,,20,engine,6,,,,,,,,,,,,Vehicle Components,,Precision Assembly Lines,2968,3273,1460,
r_073,Large Vehicle Engine Manufacturing,assembly_plant,steel,32,aluminium,16,processed_oil,12,electrical_components,6,alkaline_battery,8,,,20,large_engine,11,,,,,,,,,,,,Vehicle Components,,Heavy Engine Casting,5863,5213,1755,
r_074,Hybrid Engine Manufacturing,assembly_plant,aluminium,8,circuit_board,2,processed_oil,4,lithium_battery,2,motor,6,,,20,engine,7,,,,,,,,,,,,Vehicle Components,,Hybrid Powertrain Integration,3863,3434,1157,
r_076,Electric Arc Steelmaking,eaf,iron_ingots,16,hydrogen,4,,,,,,,,,140,steel,50,,,,,,,,,,,,Steel Production,,Electric Arc Refining,1356,515,51,
r_077,HIsarna Steel Making,furnace,iron_ingots,18,oxygen,4,coal,4,,,,,,,140,steel,50,,,,,,,,,,,,Steel Production,,Alloy Heat Treatment,820,308,50,
r_078,Methane Pyrolysis,electrolyser,processed_oil,16,,,,,,,,,,,140,hydrogen,16,graphite,8,,,,,,,,,,Electrochemistry,,Methane Pyrolysis,818,307,50,
r_079,Water Electrolysis,electrolyser,pure_water,14,,,,,,,,,,,240,hydrogen,14,oxygen,7,,,,,,,,,,Electrochemistry,,,784,294,50,
r_080,Membraneless Electrolysis,electrolyser,pure_water,14,,,,,,,,,,,240,hydrogen,22,oxygen,11,,,,,,,,,,Electrochemistry,,Membraneless Electrolysis,784,294,50,
r_081,Fluidised Bed Reactor + CZ Silicon,chem_plant,metallurgical_silicon,4,industrial_acids,2,hydrogen,2,alloy_ingots,1,,,,,240,polysilicon,6,,,,,,,,,,1,,Chemistry,,Czochralski Crystal Growth,2408,903,91,
r_082,Electric Calcination Alumina,chem_plant,bauxite_ore,20,hydrogen,4,sodium_hydroxide,6,,,,,,,200,alumina,54,,,,,,,,,,1,,Aluminium Smelting,,,3440,1290,130,
r_083,ELYSIS Aluminium,eaf,alumina,15,chem_salts,6,,,,,,,,,200,aluminium,15,alloy_ingots,1,,,,,,,,1,,Aluminium Smelting,,Electric Arc Refining,1389,528,52,
r_084,Aluminium Direct Carbothermic Electrolysis,eaf,alumina,15,graphite,4,,,,,,,,,200,aluminium,23,,,,,,,,,,1,,Aluminium Smelting,,Ultra-High-Power Arcs,1322,502,50,
r_085,Oxygen Free High Conductivity Copper,eaf,copper_ore,2,noble_gases,1,,,,,,,,,140,copper_ingots,4,,,,,,,,,,,,Copper Smelting,,,1162,441,50,
r_086,Oxygen Air Separation,chem_plant,,,,,,,,,,,,,140,oxygen,2,noble_gases,4,,,,,,,,,,Chemistry,,,2408,903,91,
r_087,Nitrogen Air Separation,chem_plant,,,,,,,,,,,,,140,nitrogen,50,,,,,,,,,,,,Chemistry,,Process Intensification,2408,903,91,
r_088,Steam Methane Reforming,petro_refinery,methane,3,pure_water,3,,,,,,,,,70,hydrogen,3,,,,,,,,,,2,,Refining,,,756,287,50,
r_089,Direct Injection Hydrogen Engines,assembly_plant,aluminium,3,hq_steel,1,cpu,1,alloy_ingots,1,,,,,20,engine,5,,,,,,,,,,,,Vehicle Components,,,3157,2807,945,
r_090,Sustainable Food Production,farm,fertilisers,1,,,,,,,,,,,10,food,4,biomass,2,waste_water,1,,,,,,,,Farming,,,966,147,50,
r_091,Strip Farming,farm,fertilisers,4,pure_water,2,,,,,,,,,10,food,10,biomass,5,waste_water,3,,,,,,1,,Farming,20,,966,147,50,
r_092,Mixed Crop Sustainable Farming,farm,,,,,,,,,,,,,10,food,4,fabric_crops,1,oil_crops,1,waste_water,1,,,,,,Farming,,,966,147,50,
r_093,Agri Solar Farming,farm,,,,,,,,,,,,,10,food,5,waste_water,1,,,,,,,solar_farm,,,Farming,,Agrivoltaic Integration,966,147,50,
r_094,Livestock Farming,farm,pure_water,3,,,,,,,,,,,10,food,6,biomass,2,waste_water,2,,,,,2 farms,1,,Farming,,,966,147,50,
r_095,Aggressive Logging,forest,,,,,,,,,,,,,10,wood,10,biomass,5,,,,,,,,1,,Forestry,20,,2898,448,50,
r_096,Sustainable Forestry,forest,,,,,,,,,,,,,10,wood,3,biomass,1,,,,,,,,,,Forestry,,,2898,448,50,
r_097,Gentle Pruning,forest,,,,,,,,,,,,,10,wood,2,biomass,1,,,,,,,,,,Forestry,,,2898,448,50,
r_098,National Park Tourism,forest,plastics,1,,,,,,,,,,,10,wood,1,money,20,biomass,2,municipal_waste,1,,,,,,Forestry,,,2898,448,50,
r_099,Lithium Phosphate Batteries,high_tech_manufactory,lithium_carbonate,8,chem_salts,3,copper_wiring,3,graphite,2,industrial_acids,2,,,20,lithium_battery,8,,,,,,,,,,1,,Batteries,,Lithium Iron Phosphate Cells,2275,2023,679,
r_100,Redox Flow Batteries,high_tech_manufactory,chem_salts,4,plastics,4,alloy_ingots,2,industrial_acids,1,copper_pipe,1,,,20,flow_battery,8,,,,,,,,,,,,Batteries,,,2275,2023,679,
r_101,Alkaline Battery Manufacturing,factory,alloy_ingots,20,chem_salts,24,,,,,,,,,20,alkaline_battery,24,,,,,,,,,,1,,Batteries,,,6627,2486,251,
r_102,Sodium Ion Battery Manufacturing,assembly_plant,basic_salt,4,aluminium,2,graphite,1,,,,,,,2,sodium_battery,6,,,,,,,,,,,,Batteries,,Sodium Battery Storage,500,100,50,
r_103,High Quality Steel Alloying,eaf,steel,2,alloy_ingots,1,,,,,,,,,70,hq_steel,2,,,,,,,,,,,,Steel Production,,,1162,441,50,
r_104,Depolymerisation,poly_plant,municipal_waste,5,,,,,,,,,,,20,ethylene,2,,,,,,,,,,,,Recycling,,,553,329,66,
r_105,Water Treatment,water_treatment_plant,waste_water,24,,,,,,,,,,,20,pure_water,120,,,,,,,,,urban AND waste_water,,,Recycling,,Wastewater Bioreactors,1467,224,50,
r_106,Scrap Recycling,eaf,scrap,24,,,,,,,,,,,70,steel,27,,,,,,,,,,,,Recycling,,,1485,564,56,
r_107,E-Waste Recycling,recycling_plant,e_waste,30,,,,,,,,,,,20,copper_wiring,2,rubber,3,aluminium,3,alloy_ingots,3,,,,,,Recycling,,Advanced Oxidation Loops,1670,630,62,
r_108,Biowaste Recycling,recycling_plant,bio_waste,30,,,,,,,,,,,20,biomass,48,,,,,,,,,,,,Recycling,,Biowaste Digestion,1670,630,62,
r_109,Waste to Power,power_plant,compressed_biomass,5,,,,,,,,,,,0,hydrocarbon_power,,,,,,,,,,,1,,Power,,,500,126,66,
r_110,Rare Earth Recycling,recycling_plant,battery_waste,5,sodium_hydroxide,1,,,,,,,,,20,refined_ree,2,,,,,,,,,,1,,Recycling,,,1169,441,50,
r_111,Lithium Recycling,recycling_plant,battery_waste,5,industrial_acids,1,,,,,,,,,20,lithium_carbonate,2,,,,,,,,,,1,,Recycling,,,1169,441,50,
r_112,Open Combined Gas Cycle Turbine,power_plant,methane,4,,,,,,,,,,,0,hydrocarbon_power,1200,,,,,,,,,,,,Power,,,500,126,66,
r_113,Aluminium Recycling,recycling_plant,municipal_waste,10,scrap,5,,,,,,,,,20,aluminium,2,,,,,,,,,,,,Recycling,,,1181,446,50,
r_114,Hydrochloric Acid Production,industrial_goods_factory,chlorine,18,hydrogen,18,,,,,,,,,70,industrial_acids,45,,,,,,,,,,2,,Industrial Acids,,,5995,2248,227,
r_115,Sulphuric Acid Production,industrial_goods_factory,sulphur,21,pure_water,17,,,,,,,,,70,industrial_acids,3,,,,,,,,,,,,Industrial Acids,,,6159,2310,233,
r_116,Generic Acid Production,industrial_goods_factory,chem_salts,24,hydrogen,12,,,,,,,,,70,industrial_acids,36,,,,,,,,,,,,Industrial Acids,,,5995,2248,227,
r_117,ICE Car Production,factory,car_body,6,engine,6,glass,6,tyres,25,fuels,6,,,20,ice_car,6,,,,,,,,,,,,Car And Large Vehicles,,,6994,2623,265,
r_118,Automated ICE Car Assembly,assembly_plant,car_body,8,engine,8,glass,8,tyres,30,fuels,8,,,20,ice_car,9,,,,,,,,,,,,Car And Large Vehicles,,Automated Body-in-White Lines,2592,4807,3711,
r_119,EV Assembly,assembly_plant,car_body,5,motor,8,glass,5,tyres,20,lithium_battery,6,cpu,1,20,ev_car,5,,,,,,,,,,,,Car And Large Vehicles,,Electric Vehicle Assembly,5524,4912,1654,
r_120,Basic Circuit Soldering,factory,copper_wiring,12,plastics,12,alloy_ingots,3,,,,,,,20,circuit_board,12,,,,,,,,,,,,Electronics,,,5192,1947,197,
r_121,Circuit Printing,assembly_plant,copper_wiring,5,plastics,5,metallurgical_silicon,2,,,,,,,20,circuit_board,11,,,,,,,,,,,,Electronics,,300mm Wafer Lines,3157,2807,945,
r_122,Semiconductor Fabbing,assembly_plant,metallurgical_silicon,4,circuit_board,12,industrial_acids,1,refined_ree,5,,,,,20,cpu,5,,,,,,,,,,,,Electronics,,,3863,3434,1157,
r_123,Fabless Semiconductors,high_tech_manufactory,polysilicon,4,circuit_board,2,chem_salts,1,refined_ree,2,,,,,20,cpu,5,,,,,,,,,,,,Electronics,,Advanced Photolithography,786,1529,4052,
r_124,Semiconductor 3D Printing,high_tech_manufactory,polysilicon,4,circuit_board,1,refined_ree,1,,,,,,,20,cpu,5,,,,,,,,,,,,Electronics,,Additive Semiconductor Printing,796,1582,4199,
r_125,Computer Assembly,assembly_plant,circuit_board,3,cpu,4,aluminium,2,,,plastics,3,,,20,computer,9,,,,,,,,,,,,Electronics,,,3157,2807,945,
r_126,Electrical Components Production,industrial_factory,copper_wiring,12,plastics,5,chem_salts,5,,,,,,,20,electrical_components,12,,,,,,,,,,,,Electrical Components,,,4686,1758,178,
r_127,Precision Electrical Components,high_tech_manufactory,copper_wiring,12,pvc,5,refined_ree,5,,,,,,,20,electrical_components,21,,,,,,,,,,,,Electrical Components,,Precision Electronics Assembly,2784,2475,831,
r_128,Inert-Atmosphere Precision Components,high_tech_manufactory,copper_wiring,12,refined_ree,5,noble_gases,6,,,,,,,20,electrical_components,16,,,,,,,,,,,,Electrical Components,,,2846,2531,850,
r_129,Carbon Fibre Weaving,high_tech_manufactory,plastics,6,graphite,2,,,,,,,,,20,carbon_fibre,3,,,,,,,,,,,,Manufacturing,,,2275,2023,679,
r_130,Carbon Fibre 3D Printing,high_tech_manufactory,plastics,6,graphite,2,,,,,,,,,20,carbon_fibre,4,,,,,,,,,,,,Manufacturing,,,2275,2023,679,
r_131,Hydrogen Power,power_plant,hydrogen,2,,,,,,,,,,,0,power,2540,,,,,,,,,,,,Power,,Hydrogen Combustion Turbines,500,126,66,
r_132,Alloy Metal Smelting,furnace,alloy_ore,20,,,,,,,,,,,140,alloy_ingots,30,,,,,,,,,,,,Alloy Metal Smelting,,,719,270,50,
r_133,Alloy Metal Electrolysis,electrolyser,alloy_ore,20,sodium_hydroxide,5,,,,,,,,,200,alloy_ingots,50,,,,,,,,,,,,Alloy Metal Smelting,,Molten Salt Alloy Electrolysis,1023,384,50,
r_134,Alloy Metal Mining,mine,,,,,,,,,,,,,30,alloy_ore,24,,,,,,,,,deposit:alloy_ore,,,Mineral Mining,,,1806,273,50,
r_135,Fibreglass Production,factory,glass,3,plastics,3,,,,,,,,,20,fibreglass,6,,,,,,,,,,,,Manufacturing,,,3831,1437,145,
r_136,Iron Air Batteries,factory,iron_ingots,6,oxygen,2,steel,4,pure_water,4,,,,,5,iron_battery,6,,,,,,,,,,,,Batteries,,Iron-Air Battery Cells,500,100,50,
r_137,Solid State Batteries,high_tech_manufactory,lithium_carbonate,6,noble_gases,4,refined_ree,2,alloy_ingots,4,metallurgical_silicon,2,,,20,solid_battery,2,,,,,,,,,,,,Batteries,,,2518,2239,752,
r_138,Basic Fermentation,bio_chem_plant,oil_crops,10,pure_water,5,,,,,,,,,70,ethanol,10,,,,,,,,,,,,Biofuels,,,500,100,50,
r_139,Celulosic Enzymatic Hydrolysis,bio_chem_plant,wood,10,spec_microbes,2,pure_water,5,,,,,,,70,ethanol,20,,,,,,,,,,,,Biofuels,,,500,100,50,
r_140,Transestesterification,bio_chem_plant,oil_crops,10,methanol,5,,,,,,,,,70,fuels,10,,,,,,,,,alloy_metal_ingots,,,Biofuels,,,500,100,50,
r_141,HEFA Biofuels,bio_chem_plant,oil_crops,10,hydrogen,4,,,,,,,,,70,SAF,10,propane,2,,,,,,,,,,Biofuels,,,500,100,50,
r_142,Crude Distillation,petro_refinery,crude_oil,10,,,,,,,,,,,70,heavy_oil,4,light_oil,4,petro_gases,2,,,,,,,,Refining,,,756,287,50,
r_143,Catalytic Cracking,petro_refinery,crude_oil,10,,,,,,,,,,,70,heavy_oil,2,light_oil,5,petro_gases,3,,,,,,,,Refining,,,756,287,50,
r_144,Gas to Methane,petro_refinery,petro_gases,6,,,,,,,,,,,70,methane,4,propane,1,,,,,,,,,,Refining,,,756,287,50,
r_145,Offshore Wind Power Generation,offshore_wind_farm,,,,,,,,,,,,,0,power,245,,,,,,,,,,,,Power,,,500,100,50,
r_146,Solar Power Generation,solar_farm,,,,,,,,,,,,,0,power,228,,,,,,,,,,,,Power,,,500,100,50,
r_147,Propane Dehydrogenation,petro_refinery,propane,1,,,,,,,,,,,70,hydrogen,1,ethylene,1,,,,,,,,,,Refining,,,756,287,50,
r_148,Steam Cracking,petro_refinery,light_oil,4,pure_water,2,,,,,,,,,70,ethylene,4,petro_gases,2,,,,,,,,,,Refining,,,756,287,50,
r_149,Delayed Coking,petro_refinery,heavy_oil,4,,,,,,,,,,,70,pet_coke,8,,,,,,,,,,,,Carbon,,,756,287,50,
r_150,Petroleum Needle Coke Calcination,petro_refinery,pet_coke,16,,,,,,,,,,,240,graphite,10,,,,,,,,,,,,Carbon,,,789,300,50,
r_151,Petroleum Needle Coke Power,petro_refinery,pet_coke,8,,,,,,,,,,,0,power,680,,,,,,,,,,,,Power,,,756,287,50,
r_152,Alcohol to Jet SAF,chem_plant,ethanol,6,hydrogen,3,,,,,,,,,70,SAF,6,pure_water,3,,,,,,,,,,Chemistry,,,2408,903,91,
r_153,Biomass Gassification,bio_chem_plant,biomass,6,pure_water,4,,,,,,,,,70,fuels,4,,,,,,,,,,,,Biofuels,,,500,100,50,
r_154,Coal Liquefaction,chem_plant,coal,10,hydrogen,2,,,,,,,,,70,fuels,85,,,,,,,,,,,,Chemistry,,Fischer-Tropsch Synthesis,2408,903,91,
r_155,Micro Algae Digestion,bio_chem_plant,biomass,4,spec_microbes,2,pure_water,2,,,,,,,70,ethylene,2,,,,,,,,,,,,Biofuels,,,500,100,50,
r_156,Medical Goods Production,high_tech_manufactory,plastics,10,oxygen,4,refined_ree,2,rubber,10,aluminium,2,glass,2,20,medical_components,4,,,,,,,,,,,,Manufacturing,,,3250,2890,970,
r_157,Thermo Mechanical Pulping,timber_paper_factory,wood,5,pure_water,4,,,,,,,,,70,wood_pulp,5,,,,,,,,,,,,,,,500,100,50,
r_158,Chemical Wood Bleaching,timber_paper_factory,wood,5,sodium_hydroxide,2,,,,,,,,,20,wood_pulp,5,,,,,,,,,,1,,,,,500,100,50,
r_159,Wood Pulp Bleaching,timber_paper_factory,wood_pulp,5,chlorine,2,,,,,,,,,70,paper_pulp,5,,,,,,,,,,,,,,,500,100,50,
r_160,Paper Goods Production,timber_paper_factory,paper_pulp,5,,,,,,,,,,,20,paper_goods,10,,,,,,,,,,,,,,,500,100,50,
r_161,Paper Pulp Oxygen Delignification,timber_paper_factory,wood_pulp,5,oxygen,2,pure_water,2,,,,,,,70,paper_pulp,10,,,,,,,,,,,,,,,500,100,50,
