ID,internal_name,display_name,category,transport_class,transport_cost,transport_duration,transport_method,good_type,decay_rate,base_price,is_buyable,is_sellable,green_sales_premium,is_fossil_fuel,co2_tax_multiplier,goods_graph_tier
g_059,lithium_battery,Lithium Ion Battery,energy,solid_heavy,1,1,vehicle,finished,0.0005,27.5,TRUE,TRUE,0,no,0,finished
g_060,sodium_battery,Sodium Ion Battery,energy,solid_heavy,1,1,vehicle,finished,0.0005,16.5,TRUE,TRUE,0,no,0,finished
g_061,iron_battery,Iron Air Battery,energy,solid_heavy,1,1,vehicle,finished,0.0005,5.5,TRUE,TRUE,0,no,0,finished
g_062,biomass,Biomass,agribio,solid_heavy,1,1,vehicle,raw,0.005,0.9999,TRUE,TRUE,0,no,0,raw
g_063,waste_water,Waste Water,waste,safe_liquid,,,,waste,0,0.11,FALSE,FALSE,0,no,0,raw
g_064,fertilisers,Fertilisers,agribio,solid_heavy,1,1,vehicle,intermediate,0.002,13.3804,TRUE,TRUE,0,no,0,intermediate
g_065,industrial_acids,Industrial Acids,chems,hazard_liquid,1,1,pipe,intermediate,0.001,3.817,TRUE,TRUE,0,no,0,processed
g_066,graphite,Graphite,chems,solid_heavy,1,1,vehicle,intermediate,0.002,9.9781,TRUE,TRUE,0,no,0,processed
g_067,scrap,Scrap Metal,metals,solid_heavy,1,1,vehicle,raw,0.001,0.88,TRUE,TRUE,0,no,0,raw
g_068,nitrogen,Nitrogen,chems,gas,1,1,pipe,intermediate,0.001,1.2936,TRUE,TRUE,0,no,0,raw
g_069,ammonia,Ammonia,chems,hazard_liquid,1,1,pipe,intermediate,0.001,3.8863,TRUE,TRUE,0,no,0,processed
g_070,alkaline_battery,Alkaline Battery,energy,solid_heavy,1,1,vehicle,intermediate,0.0005,6.0423,TRUE,TRUE,0,no,0,intermediate
g_071,construction_equipment_ice,Construction Equipment ICE,construction,ultra_heavy,1,1,vehicle,finished,0.0005,38.5374,TRUE,TRUE,0,no,0,apex
g_072,construction_equipment_ev,Construction Equipment EV,construction,ultra_heavy,1,1,vehicle,finished,0.0005,36.6201,TRUE,TRUE,0,no,0,apex
g_073,bio_waste,Bio Waste,waste,solid_heavy,1,1,vehicle,raw,0.002,0.33,TRUE,TRUE,0,no,0,raw
g_074,e_waste,Electronic Waste,waste,solid_heavy,1,1,vehicle,raw,0.001,0.66,TRUE,TRUE,0,no,0,raw
g_075,pet_coke,Petroleum Needle Coke,petrochem,solid_heavy,1,1,vehicle,intermediate,0.001,3.3099,TRUE,TRUE,0,yes,0,processed
g_076,carbonised_biomass,Carbonised Biomass,agribio,solid_heavy,1,1,vehicle,intermediate,0.002,3.2571,TRUE,TRUE,0.1,no,0,processed
