recipe_id,display_name,building_id,input_1,qty_1,input_2,qty_2,input_3,qty_3,input_4,qty_4,input_5,qty_5,input_6,qty_6,energy_req,output_1,output_qty_1,output_2,output_qty_2,output_3,output_qty_3,output_4,output_qty_4,output_5,output_qty_5,requirements,pollution_output,pollution_sensitivity,category,terminal_turns
r_032,Lithium Ion Battery Manufacturing,factory,refined_lithium,10,electrical_components,5,graphite,10,alloy_ingots,10,,,,,4,battery,5,,,,,,,,,,,,Battery,
r_033,Construction Equiment Assembly (ICE),factory,steel,15,rubber,10,plastics,10,fuels,10,motor,10,,,4,construction_equipment_ice,5,,,,,,,,,,,,Construction Equipment,
r_034,Construction Equipment Assembly (EV),factory,steel,15,rubber,10,plastics,10,lithium_battery,5,motor,10,,,4,construction_equipment_ev,6,,,,,,,,,,,,Construction Equipment,
r_035,Silica Washing,petro_refinery,sand,20,pure_water,20,,,,,,,,,5,silica,20,,,,,,,,,,,,Silica,
r_036,Coal power generation,power_plant,coal,10,,,,,,,,,,,0,power,100,,,,,,,,,,,,Coal,
r_037,Onshore wind generation,onshore_wind_farm,,,,,,,,,,,,,0,power,100,,,,,,,,,,,,Wind,
r_038,Gas Combined Cycle Turbines,power_plant,methane,10,,,,,,,,,,,0,power,100,,,,,,,,,,,,Gas,
r_039,Lithium Electrolysis,electrolyser,lithium_ore,40,,,,,,,,,,,12,refined_lithium,20,,,,,,,,,,,,Lithium,
r_040,Bayer Process,furnace,bauxite_ore,40,sodium_hydroxide,20,,,,,,,,,10,alumina,20,,,,,,,,,,,,Aluminium,
r_041,Rare Earth Reduction,electrolyser,ree_ore,30,sodium_hydroxide,15,chlorine,25,,,,,,,14,refined_ree,20,,,,,,,,,,,,Rare Earths,
r_042,Bio-Graphitisation,furnace,compressed_biomass,40,ammonia,10,,,,,,,,,9,graphite,20,,,,,,,,,,,,Carbon,
r_043,Biomass Compression,bio_chem_plant,biomass,40,,,,,,,,,,,4,compressed_biomass,20,,,,,,,,,,,,Carbon,
r_044,Silicon Smelting,eaf,silica,10,coal,10,,,,,,,,,16,silicon,20,,,,,,,,,,,,Extraction,
r_045,Polysilicon (Siemens) Smelting,chem_plant,silicon,10,,,,,,,,,,,16,polysilicon,10,,,,,,,,,hydrogen,,,Extraction,
r_046,Haber Bosch Process,chem_plant,nitrogen,10,hydrogen,20,,,,,,,,,8,ammonia,20,,,,,,,,,,,,Extraction,
r_047,Fertilisers Production,chem_plant,ammonia,10,chem_salts,20,biomass,10,,,,,,,9,fertilisers,20,,,,,,,,,,,,Extraction,
r_048,Direct Lithium Extraction,brine_processing_plant,chem_salts,40,pure_water,80,,,,,,,,,3,refined_lithium,20,chlorine,20,,,,,,,brine_deposit,,,Extraction,
r_049,Brine Evaporation,brine_processing_plant,,,,,,,,,,,,,3,sulphur,20,chem_salts,100,basic_salt,60,,,,,brine_deposit,,,Extraction,
r_050,Aluminium (Hall Heroult) Smelting,chem_plant,alumina,10,graphite,10,chem_salts,10,,,,,,,20,aluminium,20,,,,,,,,,,,,Extraction,
r_051,Desalination,desal_plant,,,,,,,,,,,,,6,pure_water,40,basic_salt,10,chem_salts,5,,,,,,,,Extraction,
r_052,Traditional Glassblowing,furnace,sand,40,pure_water,20,,,,,,,,,8,glass,20,,,,,,,,,,,,Glass,
r_053,Industrial Glassmaking,furnace,sand,15,sodium_hydroxide,10,limestone,10,,,,,,,10,glass,24,,,,,,,,,,,,Glass,
r_054,High Strength Glassmaking,furnace,silica,15,alumina,10,sulphur,10,,,,,,,12,glass,20,,,,,,,,,,,,Extraction,
r_055,uPVC Window Manufacturing,industrial_factory,glass,10,pvc,10,,,,,,,,,4,windows,12,,,,,,,,,,,,Manufacturing,
r_056,Window Manufacturing,industrial_factory,glass,10,aluminium,10,,,,,,,,,4,windows,10,,,,,,,,,,,,Manufacturing,
r_057,Building Frame Manufacture,assembly_plant,steel,15,windows,5,copper_pipe,10,electrical_components,5,,,,,4,building_frame,5,,,,,,,,,,,,Construction,
r_058,Solar Panel Manufacturing,assembly_plant,silicon,10,electrical_components,5,alloy_ingots,10,aluminium,10,,,,,4,solar_panels,5,,,,,,,,,,,,Extraction,
r_059,Wind Turbine Manufacturing,assembly_plant,fibreglass,10,refined_ree,10,motor,10,electrical_components,5,,,,,4,wind_turbine,5,,,,,,,,,,,,Extraction,
r_060,Durable Perovskite Solar Panels,assembly_plant,polysilicon,10,electrical_components,5,alloy_ingots,10,aluminium,10,plastics,10,,,4,solar_panels,6,,,,,,,,,,,,Extraction,
r_061,Segmented Assembly Wind Turbines,assembly_plant,fibreglass,10,refined_ree,10,motor,10,electrical_components,5,,,,,4,wind_turbine,5,,,,,,,,,,,,Extraction,
r_062,Carbon Fibre Wind Turbines,high_tech_manufactory,fibreglass,10,carbon_fibre,5,refined_ree,10,,,,,,,5,wind_turbine,6,,,,,,,,,,,,Extraction,
r_063,Heterojunction Solar Panels,high_tech_manufactory,polysilicon,10,electrical_components,5,alloy_ingots,10,aluminium,10,plastics,10,,,5,solar_panels,6,,,,,,,,,,,,Extraction,
r_064,Triple Tandem Solar Panels,high_tech_manufactory,polysilicon,10,electrical_components,5,alloy_ingots,10,aluminium,10,refined_ree,10,,,5,solar_panels,8,,,,,,,,,,,,Extraction,
r_065,SynRM Magnetless Motors,assembly_plant,steel,15,copper_wiring,40,plastics,10,,,,,,,4,motor,20,,,,,,,,,,,,Extraction,
r_066,Axial Flux Motors,assembly_plant,steel,15,copper_wiring,15,refined_ree,10,alloy_ingots,10,,,,,4,motor,16,,,,,,,,,,,,Extraction,
r_067,Rubber Vulcanisation,chem_plant,rubber,10,sulphur,10,,,,,,,,,9,tires,10,,,,,,,,,,,,Extraction,
r_068,Car Body Manufacturing,factory,steel,25,,,,,,,,,,,4,car_body,10,,,,,,,,,,,,Extraction,
r_069,Lightweight Car Bodies,assembly_plant,steel,15,aluminium,10,fibreglass,10,,,,,,,4,car_body,12,,,,,,,,,,,,Extraction,
r_070,Superlightweight Car Bodies,assembly_plant,aluminium,10,carbon_fibre,5,,,,,,,,,4,car_body,12,,,,,,,,,,,,Extraction,
r_071,ICE Engine Manufacturing,factory,steel,15,copper_wiring,10,processed_oil,10,aluminium,10,,,,,4,engine,10,,,,,,,,,,,,Extraction,
r_072,V8 Engine Manufacturing,factory,steel,15,aluminium,10,processed_oil,10,electrical_components,5,alkaline_battery,5,,,4,engine,10,,,,,,,,,,,,Extraction,
r_073,Large Vehicle Engine Manufacturing,assembly_plant,steel,15,aluminium,10,processed_oil,10,electrical_components,10,alkaline_battery,5,,,4,large_engine,5,,,,,,,,,,,,Extraction,
r_074,Hybrid Engine Manufacturing,assembly_plant,aluminium,10,circuit_board,5,processed_oil,10,lithium_battery,5,motor,10,,,4,engine,12,,,,,,,,,,,,Extraction,
r_075,Beneficiated Iron Mining,mine,,,,,,,,,,,,,3,iron_ore,20,,,,,,,,,,,,Extraction,
r_076,Electric Arc Steelmaking,eaf,iron_ingots,15,hydrogen,10,,,,,,,,,12,steel,36,,,,,,,,,,,,Extraction,
r_077,HIsarna Steel Making,furnace,iron_ingots,30,oxygen,15,coal,10,,,,,,,11,steel,36,,,,,,,,,,,,Extraction,
r_078,Methane Pyrolysis,electrolyser,processed_oil,30,,,,,,,,,,,14,hydrogen,20,graphite,5,,,,,,,,,,Extraction,
r_079,Water Electrolysis,electrolyser,pure_water,40,,,,,,,,,,,14,hydrogen,20,oxygen,10,,,,,,,,,,Extraction,
r_080,Membraneless Electrolysis,electrolyser,pure_water,30,,,,,,,,,,,14,hydrogen,22,oxygen,10,,,,,,,,,,Extraction,
r_081,Fluidised Bed Reactor + CZ Silicon,chem_plant,silicon,10,industrial_acids,10,hydrogen,10,alloy_ingots,10,,,,,16,polysilicon,10,,,,,,,,,,1,,Extraction,
r_082,Electric Calcination Alumina,chem_plant,bauxite_ore,15,hydrogen,15,sodium_hydroxide,10,,,,,,,12,alumina,20,,,,,,,,,,1,,Extraction,
r_083,ELYSIS Aluminium,eaf,alumina,20,chem_salts,20,,,,,,,,,20,aluminium,24,,,,,,,,,alloy_metal_ingots,1,,Extraction,
r_084,Aluminium Direct Carbothermic Electrolysis,eaf,alumina,15,graphite,10,,,,,,,,,20,aluminium,20,,,,,,,,,,1,,Extraction,
r_085,Oxygen Free High Conductivity Copper,eaf,copper_ore,15,noble_gases,10,,,,,,,,,12,copper_ingots,30,,,,,,,,,,,,Extraction,
r_086,Oxygen Air Separation,chem_plant,,,,,,,,,,,,,12,oxygen,20,noble_gases,40,,,,,,,,,,Extraction,
r_087,Nitrogen Air Separation,chem_plant,,,,,,,,,,,,,10,nitrogen,20,,,,,,,,,,,,Extraction,
r_088,Steam Methane Reforming,petro_refinery,methane,20,pure_water,20,,,,,,,,,5,hydrogen,20,,,,,,,,,,2,,Extraction,
r_089,Direct Injection Hydrogen Engines,assembly_plant,aluminium,10,hq_steel,10,CPU,5,alloy_ingots,10,,,,,4,engine,12,,,,,,,,,,,,Extraction,
r_090,Sustainable Food Production,farm,fertilisers,10,,,,,,,,,,,2,food,20,biomass,10,waste_water,5,,,,,,,,Extraction,
r_091,Strip Farming,farm,fertilisers,10,pure_water,20,,,,,,,,,2,food,20,biomass,10,waste_water,5,,,,,,1,,Extraction,20
r_092,Mixed Crop Sustainable Farming,farm,,,,,,,,,,,,,2,food,20,fabric_crops,5,oil_crops,5,waste_water,5,,,,,,Extraction,
r_093,Agri Solar Farming,farm,,,,,,,,,,,,,2,food,20,waste_water,5,,,,,,,solar_farm,,,Extraction,
r_094,Livestock Farming,farm,pure_water,20,,,,,,,,,,,2,food,20,biomass,5,waste_water,5,,,,,2 farms,1,,Extraction,
r_095,Aggressive Logging,forest,,,,,,,,,,,,,1,wood,20,biomass,10,,,,,,,,1,,Extraction,20
r_096,Sustainable Forestry,forest,,,,,,,,,,,,,1,wood,20,biomass,5,,,,,,,,,,Extraction,
r_097,Gentle Pruning,forest,,,,,,,,,,,,,1,wood,20,biomass,10,,,,,,,,,,Extraction,
r_098,National Park Tourism,forest,plastics,20,,,,,,,,,,,1,wood,20,biomass,40,municipal_waste,20,,,,,,,,Extraction,
r_099,Lithium Phosphate Batteries,high_tech_manufactory,refined_lithium,10,chem_salts,10,copper_wiring,10,graphite,10,industrial_acids,10,,,5,lithium_battery,6,,,,,,,,,,1,,Extraction,
r_100,Redox Flow Batteries,high_tech_manufactory,chem_salts,10,plastics,10,alloy_ingots,10,industrial_acids,10,copper_pipe,10,,,5,flow_battery,6,,,,,,,,,,,,Extraction,
r_101,Alkaline Battery Manufacturing,factory,alloy_ingots,10,chem_salts,10,,,,,,,,,4,alkaline_battery,10,,,,,,,,,,1,,Extraction,
r_102,Sodium Ion Battery Manufacturing,assembly_plant,basic_salt,10,aluminium,10,graphite,10,,,,,,,4,sodium_battery,13,,,,,,,,,,,,Extraction,
r_103,High Quality Steel Alloying,eaf,steel,25,alloy_ingots,10,,,,,,,,,12,hq_steel,20,,,,,,,,,,,,Extraction,
r_104,Depolymerisation,poly_plant,municipal_waste,40,,,,,,,,,,,5,ethylene,20,,,,,,,,,,,,Extraction,
r_105,Water Treatment,water_treatment_plant,waste_water,40,,,,,,,,,,,2,pure_water,40,,,,,,,,,urban AND waste_water,,,Extraction,
r_106,Scrap Recycling,eaf,scrap,40,,,,,,,,,,,12,steel,30,,,,,,,,,,,,Extraction,
r_107,E-Waste Recycling,recycling_plant,municipal_waste,40,,,,,,,,,,,3,copper_wiring,20,rubber,20,aluminium,20,alloy_ingots,20,,,,,,Extraction,
r_108,Biowaste Recycling,recycling_plant,municipal_waste,40,,,,,,,,,,,3,biomass,20,,,,,,,,,,,,Extraction,
r_110,Rare Earth Recycling,recycling_plant,battery_waste,40,sodium_hydroxide,10,,,,,,,,,4,refined_ree,20,,,,,,,,,,1,,Extraction,
r_111,Lithium Recycling,recycling_plant,battery_waste,40,industrial_acids,10,,,,,,,,,3,refined_lithium,20,,,,,,,,,,1,,Extraction,
r_112,Open Combined Gas Cycle Turbine,power_plant,methane,10,,,,,,,,,,,0,hydrocarbon_power,20,,,,,,,,,,,,Extraction,
r_113,Aluminium Recycling,recycling_plant,municipal_waste,40,scrap,40,,,,,,,,,3,aluminium,20,,,,,,,,,,,,Extraction,
r_114,Hydrochloric Acid Production,industrial_goods_factory,chlorine,25,hydrogen,20,,,,,,,,,4,industrial_acids,20,,,,,,,,,,2,,Extraction,
r_115,Sulphuric Acid Production,industrial_goods_factory,sulphur,20,pure_water,20,,,,,,,,,4,industrial_acids,20,,,,,,,,,,,,Extraction,
r_116,Generic Acid Production,industrial_goods_factory,chem_salts,40,hydrogen,40,,,,,,,,,4,industrial_acids,20,,,,,,,,,,,,Extraction,
r_117,ICE Car Production,factory,car_body,5,engine,5,glass,10,tires,10,fuels,10,,,4,ice_car,5,,,,,,,,,,,,Extraction,
r_118,Automated ICE Car Assembly,assembly_plant,car_body,5,engine,5,glass,10,tires,10,fuels,10,,,4,ice_car,6,,,,,,,,,,,,Extraction,
r_119,EV Assembly,assembly_plant,car_body,5,motor,10,glass,10,tires,5,battery,5,CPU,5,4,ev_car,6,,,,,,,,,,,,Extraction,
r_120,Basic Circuit Soldering,factory,copper_wiring,20,plastics,20,alloy_ingots,10,,,,,,,4,circuit_board,10,,,,,,,,,,,,Extraction,
r_121,Circuit Printing,assembly_plant,copper_wiring,10,plastics,10,silicon,10,,,,,,,4,circuit_board,12,,,,,,,,,,,,Extraction,
r_122,Semiconductor Fabbing,assembly_plant,silicon,10,circuit_board,5,industrial_acids,10,refined_ree,10,,,,,4,CPU,5,,,,,,,,,,,,Extraction,
r_123,Fabless Semiconductors,high_tech_manufactory,polysilicon,10,circuit_board,5,chem_salts,10,refined_ree,10,,,,,5,CPU,6,,,,,,,,,,,,Extraction,
r_124,Semiconductor 3D Printing,high_tech_manufactory,polysilicon,5,circuit_board,5,refined_ree,10,,,,,,,5,CPU,6,,,,,,,,,,,,Extraction,
r_125,Computer Assembly,assembly_plant,circuit_board,5,CPU,5,aluminium,10,noble_gases,10,plastics,10,,,4,computer,5,,,,,,,,,,,,Extraction,
r_126,Electrical Components Production,industrial_factory,copper_wiring,10,plastics,10,chem_salts,10,,,,,,,4,electrical_components,10,,,,,,,,,,,,Manufacturing,
r_127,Precision Electrical Components,high_tech_manufactory,copper_wiring,10,pvc,10,refined_ree,10,,,,,,,5,electrical_components,12,,,,,,,,,,,,Manufacturing,
r_128,Inert-Atmosphere Precision Components,high_tech_manufactory,copper_wiring,10,refined_ree,10,noble_gases,10,,,,,,,5,electrical_components,12,,,,,,,,,,,,Manufacturing,
r_129,Carbon Fibre Weaving,high_tech_manufactory,plastics,20,graphite,10,,,,,,,,,5,carbon_fibre,10,,,,,,,,,,,,Extraction,
r_130,Carbon Fibre 3D Printing,high_tech_manufactory,plastics,15,graphite,10,,,,,,,,,5,carbon_fibre,12,,,,,,,,,,,,Extraction,
r_131,Hydrogen Power,power_plant,hydrogen,10,,,,,,,,,,,0,power,100,,,,,,,,,,,,Extraction,
r_132,Alloy Metal Smelting,furnace,alloy_ore,20,,,,,,,,,,,9,alloy_ingots,20,,,,,,,,,,,,smelting,
r_133,Alloy Metal Electrolysis,electrolyser,alloy_ore,15,sodium_hydroxide,10,,,,,,,,,14,alloy_ingots,20,,,,,,,,,,,,smelting,
r_134,Alloy Metal Mining,mine,,,,,,,,,,,,,3,alloy_ore,20,,,,,,,,,deposit:alloy_ore,,,extraction,
r_135,Fibreglass Production,factory,glass,10,plastics,10,,,,,,,,,4,fibreglass,20,,,,,,,,,,,,Extraction,
r_136,Iron Air Batteries,factory,iron_ingots,15,oxygen,10,steel,15,pure_water,20,,,,,4,iron_battery,13,,,,,,,,,,,,Extraction,
r_137,Solid State Batteries,high_tech_manufactory,refined_lithium,15,noble_gases,10,refined_ree,10,alloy_ingots,10,silicon,10,,,5,solid_battery,7,,,,,,,,,,,,Extraction,
r_138,Basic Fermentation,bio_chem_plant,oil_crops,20,pure_water,20,,,,,,,,,4,ethanol,20,,,,,,,,,,,,Extraction,
r_139,Celulosic Enzymatic Hydrolysis,bio_chem_plant,wood,10,spec_microbes,10,pure_water,20,,,,,,,4,ethanol,20,,,,,,,,,,,,Extraction,
r_140,Transestesterification,bio_chem_plant,oil_crops,20,methanol,10,,,,,,,,,4,fuels,20,,,,,,,,,alloy_metal_ingots,,,Extraction,
r_141,HEFA Biofuels,bio_chem_plant,oil_crops,20,hydrogen,10,,,,,,,,,4,SAF,24,propane,5,,,,,,,,,,Extraction,
r_142,Crude Distillation,petro_refinery,crude_oil,40,,,,,,,,,,,5,heavy_oil,20,light_oil,20,petro_gases,10,,,,,,,,Extraction,
r_143,Catalytic Cracking,petro_refinery,crude_oil,40,,,,,,,,,,,5,heavy_oil,22,light_oil,50,petro_gases,30,,,,,,,,Extraction,
r_144,Gas to Methane,petro_refinery,petro_gases,30,,,,,,,,,,,5,methane,20,propane,5,,,,,,,,,,Extraction,
r_145,Offshore Wind Power Generation,offshore_wind_farm,,,,,,,,,,,,,0,power,100,,,,,,,,,,,,Extraction,
r_146,Solar Power Generation,solar_farm,,,,,,,,,,,,,0,power,100,,,,,,,,,,,,Extraction,
r_147,Propane Dehydrogenation,petro_refinery,propane,20,,,,,,,,,,,5,hydrogen,20,ethylene,20,,,,,,,,,,Extraction,
r_148,Steam Cracking,petro_refinery,light_oil,20,pure_water,20,,,,,,,,,5,ethylene,20,petro_gases,10,,,,,,,,,,Extraction,
r_149,Delayed Coking,petro_refinery,heavy_oil,10,,,,,,,,,,,5,petro_coke,20,,,,,,,,,,,,Extraction,
r_150,Petroleum Needle Coke Calcination,petro_refinery,petro_coke,40,,,,,,,,,,,14,graphite,20,,,,,,,,,,,,Extraction,
r_151,Petroleum Needle Coke Power,petro_refinery,petro_coke,10,,,,,,,,,,,0,power,100,,,,,,,,,,,,Extraction,
r_152,Alcohol to Jet SAF,chem_plant,ethanol,20,hydrogen,10,,,,,,,,,9,SAF,24,pure_water,10,,,,,,,,,,Extraction,
r_153,Biomass Gassification,bio_chem_plant,biomass,30,pure_water,20,,,,,,,,,4,fuels,20,,,,,,,,,,,,Extraction,
r_154,Coal Liquefaction,chem_plant,coal,40,hydrogen,10,,,,,,,,,9,fuels,20,,,,,,,,,,,,Extraction,
r_155,Micro Algae Digestion,bio_chem_plant,biomass,40,spec_microbes,20,pure_water,20,,,,,,,4,ethylene,20,,,,,,,,,,,,Extraction,
r_156,Medical Goods Production,high_tech_manufactory,plastics,10,oxygen,10,refined_ree,10,rubber,10,aluminium,10,glass,10,5,medical_components,5,,,,,,,,,,,,Extraction,
r_157,Thermo Mechanical Pulping,timber_paper_factory,wood,20,pure_water,20,,,,,,,,,5,wood_pulp,20,,,,,,,,,,,,,
r_158,Chemical Wood Bleaching,timber_paper_factory,wood,20,sodium_hydroxide,10,,,,,,,,,5,wood_pulp,20,,,,,,,,,,1,,,
r_159,Wood Pulp Bleaching,timber_paper_factory,wood_pulp,20,chlorine,25,,,,,,,,,5,paper_pulp,20,,,,,,,,,,,,,
r_160,Paper Goods Production,timber_paper_factory,paper_pulp,10,,,,,,,,,,,5,paper_goods,10,,,,,,,,,,,,,
r_161,Paper Pulp Oxygen Delignification,timber_paper_factory,wood_pulp,10,oxygen,10,pure_water,20,,,,,,,5,paper_pulp,20,,,,,,,,,,,,,
r_162,Wood Toy Craftsmanship,factory,wood,10,,,,,,,,,,,4,toys,10,,,,,,,,,,,,,
r_163,plastics Toy Manufacturing,factory,plastics,10,,,,,,,,,,,4,toys,10,,,,,,,,,,,,,
r_164,plastics Toy Mass Production,factory,plastics,10,,,,,,,,,,,4,toys,13,,,,,,,,,,,,,
r_165,Radial Axial Tire Production,factory,rubber,10,sulphur,10,steel,15,,,,,,,4,tires,10,,,,,,,,,,,,,
r_166,Food Paper Packaging,consumer_goods_factory,food,10,paper_goods,5,,,,,,,,,3,food_products,10,,,,,,,,,,,,,
r_167,plastics Food Packaging,consumer_goods_factory,food,10,plastics,10,,,,,,,,,3,food_products,10,,,,,,,,,,,,,
r_168,Fabric Crops Farming,farm,pure_water,20,,,,,,,,,,,2,fabric_crops,20,biomass,5,,,,,,,,,,,
r_169,Oil Crops Farming,farm,pure_water,20,,,,,,,,,,,2,oil_crops,20,biomass,5,,,,,,,,,,,
r_170,Intensive Fabric Crops Farming,farm,fertilisers,10,pure_water,20,,,,,,,,,2,fabric_crops,20,biomass,5,,,,,,,,,,,
r_171,Intensive Oil Crops Farming,farm,fertilisers,10,pure_water,20,,,,,,,,,2,oil_crops,20,biomass,5,,,,,,,,,,,
r_172,Pharmaceutical Precuror Production,bio_chem_plant,methanol,20,,,,,,,,,,,4,api,20,,,,,,,,,,,,,
r_173,Specialty Microbe Production,bio_chem_plant,biomass,20,ethanol,10,,,,,,,,,4,spec_microbes,20,,,,,,,,,,,,,
r_174,Methanol Production,petro_refinery,methane,15,hydrogen,10,oxygen,10,,,,,,,5,methanol,20,,,,,,,,,,,,,
r_175,PVC Polymerisation,poly_plant,ethylene,20,chlorine,25,,,,,,,,,5,pvc,20,,,,,,,,,,,,Polymers,
r_176,Silica Glass Manufacturing,eaf,silica,15,pure_water,20,,,,,,,,,14,glass,20,,,,,,,,,,,,Glass,
r_177,Shale Oil Fracking,fracking_oil_well,,,,,,,,,,,,,3,crude_oil,20,,,,,,,,,deposit:shale_oil,,,Extraction,
r_178,Offshore Oil Extraction,offshore_oil_platform,,,,,,,,,,,,,3,crude_oil,20,,,,,,,,,deposit:crude_oil,,,Extraction,
r_179,Sulphur Mining,mine,,,,,,,,,,,,,3,sulphur,20,,,,,,,,,deposit:sulphur,,,extraction,
r_180,Oil Refining,petro_refinery,crude_oil,20,,,,,,,,,,,5,processed_oil,20,,,,,,,,,,,,Oil Refining,
r_181,Oil Power Production,coal_power,processed_oil,10,,,,,,,,,,,0,power,100,,,,,,,,,,,,power,
