name	id	category	land	cash	materials	total	cash_pct	kit_units	kit
Recycling Plant	b_036	production	15	10.00	166.58	176.58	5.7	14	3x Concrete @6.36 = 19, 2x Building Frame @19.62 = 39, 1x Construction Equipment ICE @45.15 = 45, 4x Rubber @6.11 = 24, 4x Plastics @9.66 = 39
Water Recyling Plant	b_022	production	15	10.00	115.40	125.40	8.0	9	3x Concrete @6.36 = 19, 1x Building Frame @19.62 = 20, 1x Construction Equipment ICE @45.15 = 45, 2x Rubber @6.11 = 12, 2x Plastics @9.66 = 19
Cables	b_006	infrastructure	2	20.00	55.30	75.30	26.6	7	5x Copper Wiring @4.97 = 25, 2x Electrical Components @15.22 = 30
Railways	b_019	infrastructure	1	70.00	0.00	70.00	100.0	0	
Farm	b_014	production	20	15.00	45.05	60.05	25.0	13	2x Steel @2.49 = 5, 3x Concrete @6.36 = 19, 8x Biomass @2.62 = 21
Reinforced Pipeworks	b_018	infrastructure	1	50.00	0.00	50.00	100.0	0	
Old Growth Forest	b_016	production	25	25.00	21.00	46.00	54.3	8	8x Biomass @2.62 = 21
New Growth Forest	b_015	production	25	10.00	21.00	31.00	32.3	8	8x Biomass @2.62 = 21
Pipeworks	b_017	infrastructure	1	30.00	0.00	30.00	100.0	0	
Roads	b_005	infrastructure	2	25.00	0.00	25.00	100.0	0	
Landfill	b_023	production	15	1.00	0.00	1.00	100.0	0	
Disused Buildings	b_031	production	15	1.00	0.00	1.00	100.0	0	
